region,RRm_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.17366736,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.15678817,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.17193158,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.15426897,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.15241367,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.14681086,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.16835745,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.17929311,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.28515452,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.141718,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.25572723,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.1629125,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.17604022,RRm,year,precipitation,mm day-1,7
01057_Plön,0.15900287,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.17935887,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.17411005,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.15867381,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.2134984,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.14329706,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.15467542,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.15147276,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.15781108,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.15381546,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.15583755,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.14872372,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.14924003,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.14833015,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.14676027,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.14948249,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.16442738,RRm,year,precipitation,mm day-1,7
03157_Peine,0.15447116,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.15545124,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.17230111,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.14963853,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.13777536,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.14031006,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.15713833,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.14573124,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.14232276,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.13790393,RRm,year,precipitation,mm day-1,7
03351_Celle,0.14835876,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.1945235,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.13611205,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.141543,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.13925089,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.1407073,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.14542079,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.14523521,RRm,year,precipitation,mm day-1,7
03359_Stade,0.16285044,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.13962196,RRm,year,precipitation,mm day-1,7
03361_Verden,0.14973319,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.14033324,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.1345592,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.17391342,RRm,year,precipitation,mm day-1,7
03402_Emden,0.20267217,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.13976118,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.13240194,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.13118152,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.12522583,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.15576598,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.19615857,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.13298613,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.19811387,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.13155407,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.13421854,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.14865021,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.1344916,RRm,year,precipitation,mm day-1,7
03457_Leer,0.141245,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.13284707,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.12855898,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.12905775,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.15530996,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.17333576,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.15967953,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.14300711,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.1836416,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.19778015,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.17311879,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.19090897,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.158767,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.16163719,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.15455554,RRm,year,precipitation,mm day-1,7
05113_Essen,0.15507467,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.14721438,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.15149343,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.14165434,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.13559733,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.17009187,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.16557479,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.14806235,RRm,year,precipitation,mm day-1,7
