region,RRm_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.20484418,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.1919064,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.1903851,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.16712347,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.16748238,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.16387326,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.186724,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.19562456,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.31046796,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.15917149,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.28749362,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.17591392,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.19488491,RRm,year,precipitation,mm day-1,7
01057_Plön,0.17365105,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.2000207,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.20518358,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.176944,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.23395641,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.1618603,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.17253989,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.15433642,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.16127856,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14912678,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.15489472,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.1529981,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.15237413,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.15617234,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.12818807,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.14578244,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.17167377,RRm,year,precipitation,mm day-1,7
03157_Peine,0.16021806,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.1525057,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.17930171,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.1490156,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.14271156,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.13694894,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.15587582,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.14166832,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.14393908,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.13260797,RRm,year,precipitation,mm day-1,7
03351_Celle,0.16229287,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.19380948,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.15172407,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.1582772,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.15830901,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.14115876,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.15674154,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.16097276,RRm,year,precipitation,mm day-1,7
03359_Stade,0.17350692,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.15503608,RRm,year,precipitation,mm day-1,7
03361_Verden,0.16202883,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.14456606,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.13835764,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.1842161,RRm,year,precipitation,mm day-1,7
03402_Emden,0.21698873,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.14271201,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.13623619,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.14315575,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.13647318,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.16098136,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.20784658,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.13326345,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.20979217,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.13973308,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.14787894,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.15272552,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.14794834,RRm,year,precipitation,mm day-1,7
03457_Leer,0.14944127,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.14173228,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.13609223,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.1364026,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.15302962,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.18251559,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.1621252,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.14479126,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.18229109,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.18880455,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.18533243,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,0.20983385,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.1751303,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.1822894,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.16551886,RRm,year,precipitation,mm day-1,7
05113_Essen,0.16798854,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.15914917,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.17063506,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.14327179,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.13522129,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.18532912,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.18276876,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.16415636,RRm,year,precipitation,mm day-1,7
05119_Oberhausen,0.1687991,RRm,year,precipitation,mm day-1,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.20053717,RRm,year,precipitation,mm day-1,7
05120_Remscheid,0.18924166,RRm,year,precipitation,mm day-1,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.20433658,RRm,year,precipitation,mm day-1,7
05122_Solingen,0.21950799,RRm,year,precipitation,mm day-1,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.18597323,RRm,year,precipitation,mm day-1,7
05124_Wuppertal,0.17674498,RRm,year,precipitation,mm day-1,7
05154_Kleve,0.14248078,RRm,year,precipitation,mm day-1,7
05158_Mettmann,0.19945583,RRm,year,precipitation,mm day-1,7
05162_Rhein-Kreis Neuss,0.16709076,RRm,year,precipitation,mm day-1,7
05166_Viersen,0.14260319,RRm,year,precipitation,mm day-1,7
05170_Wesel,0.1569882,RRm,year,precipitation,mm day-1,7
05314_05382_Region_um_Bonn,0.18416272,RRm,year,precipitation,mm day-1,7
05314_Bonn,0.1827849,RRm,year,precipitation,mm day-1,7
05315_Köln,0.20053475,RRm,year,precipitation,mm day-1,7
05316_05315_05378_05158_Region_um_Leverkusen,0.20800444,RRm,year,precipitation,mm day-1,7
05316_Leverkusen,0.2308179,RRm,year,precipitation,mm day-1,7
05334_Städteregion Aachen,0.05929865,RRm,year,precipitation,mm day-1,7
05358_Düren,0.10228367,RRm,year,precipitation,mm day-1,7
05362_Rhein-Erft-Kreis,0.14104904,RRm,year,precipitation,mm day-1,7
05366_Euskirchen,0.08308549,RRm,year,precipitation,mm day-1,7
05370_Heinsberg,0.12437555,RRm,year,precipitation,mm day-1,7
05374_Oberbergischer Kreis,0.19510347,RRm,year,precipitation,mm day-1,7
05378_Rheinisch-Bergischer Kreis,0.21878324,RRm,year,precipitation,mm day-1,7
05382_Rhein-Sieg-Kreis,0.18433523,RRm,year,precipitation,mm day-1,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.15833828,RRm,year,precipitation,mm day-1,7
05512_Bottrop,0.16719824,RRm,year,precipitation,mm day-1,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.15922588,RRm,year,precipitation,mm day-1,7
05513_Gelsenkirchen,0.17032497,RRm,year,precipitation,mm day-1,7
05515_05566_05558_05570_Region_um_Münster,0.1469823,RRm,year,precipitation,mm day-1,7
05515_Münster,0.14523321,RRm,year,precipitation,mm day-1,7
05554_Borken,0.15655303,RRm,year,precipitation,mm day-1,7
05558_Coesfeld,0.14176355,RRm,year,precipitation,mm day-1,7
05562_Recklinghausen,0.15368493,RRm,year,precipitation,mm day-1,7
05566_Steinfurt,0.15191215,RRm,year,precipitation,mm day-1,7
05570_Warendorf,0.14508149,RRm,year,precipitation,mm day-1,7
05711_05754_05758_05766_Region_um_Bielefeld,0.14556353,RRm,year,precipitation,mm day-1,7
05711_Bielefeld,0.15190634,RRm,year,precipitation,mm day-1,7
05754_Gütersloh,0.15850806,RRm,year,precipitation,mm day-1,7
05758_Herford,0.14271365,RRm,year,precipitation,mm day-1,7
05762_Höxter,0.14055121,RRm,year,precipitation,mm day-1,7
05766_Lippe,0.1352453,RRm,year,precipitation,mm day-1,7
05770_Minden-Lübbecke,0.13984102,RRm,year,precipitation,mm day-1,7
05774_Paderborn,0.12228072,RRm,year,precipitation,mm day-1,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.15525702,RRm,year,precipitation,mm day-1,7
05911_Bochum,0.1592291,RRm,year,precipitation,mm day-1,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.14873077,RRm,year,precipitation,mm day-1,7
05913_Dortmund,0.15125029,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.13468872,RRm,year,precipitation,mm day-1,7
05914_Hagen,0.13587238,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.13492388,RRm,year,precipitation,mm day-1,7
05915_Hamm,0.13943405,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,0.15673219,RRm,year,precipitation,mm day-1,7
05916_Herne,0.16682416,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,0.14749454,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,0.092807665,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,0.12238085,RRm,year,precipitation,mm day-1,7
05966_Olpe,0.13728882,RRm,year,precipitation,mm day-1,7
05970_Siegen-Wittgenstein,0.13727942,RRm,year,precipitation,mm day-1,7
05974_Soest,0.11605762,RRm,year,precipitation,mm day-1,7
05978_Unna,0.14072071,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,0.19004737,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,0.19366872,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.19551009,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,0.19281404,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.19464299,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,0.19203135,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.1754548,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,0.19891545,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,0.21958426,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,0.18837851,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,0.20444135,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,0.15232737,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,0.19571728,RRm,year,precipitation,mm day-1,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.1743266,RRm,year,precipitation,mm day-1,7
06436_Main-Taunus-Kreis,0.18896693,RRm,year,precipitation,mm day-1,7
06437_Odenwaldkreis,0.17450066,RRm,year,precipitation,mm day-1,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.19367716,RRm,year,precipitation,mm day-1,7
06438_Offenbach,0.19196174,RRm,year,precipitation,mm day-1,7
06439_Rheingau-Taunus-Kreis,0.15503499,RRm,year,precipitation,mm day-1,7
06440_Wetteraukreis,0.21387617,RRm,year,precipitation,mm day-1,7
06531_Gießen,0.19425912,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,0.14930692,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,0.16888438,RRm,year,precipitation,mm day-1,7
06534_Marburg-Biedenkopf,0.15420225,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,0.15995677,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,0.16872808,RRm,year,precipitation,mm day-1,7
06611_Kassel,0.16814645,RRm,year,precipitation,mm day-1,7
06631_Fulda,0.15774457,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,0.14617473,RRm,year,precipitation,mm day-1,7
06633_Kassel,0.15413907,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,0.15481758,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,0.12465957,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,0.145353,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,0.1510752,RRm,year,precipitation,mm day-1,7
07111_Koblenz,0.17410657,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,0.10751302,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),0.17610922,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,0.13005799,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,0.12164174,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,0.11585718,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,0.13717815,RRm,year,precipitation,mm day-1,7
07138_Neuwied,0.1787357,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,0.1084834,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,0.15249239,RRm,year,precipitation,mm day-1,7
07143_Westerwaldkreis,0.1587233,RRm,year,precipitation,mm day-1,7
07211_07235_Region_um_Trier,0.12531377,RRm,year,precipitation,mm day-1,7
07211_Trier,0.13045925,RRm,year,precipitation,mm day-1,7
07231_Bernkastel-Wittlich,0.108128764,RRm,year,precipitation,mm day-1,7
07232_Eifelkreis Bitburg-Prüm,0.103495374,RRm,year,precipitation,mm day-1,7
07233_Vulkaneifel,0.10189883,RRm,year,precipitation,mm day-1,7
07235_Trier-Saarburg,0.12473234,RRm,year,precipitation,mm day-1,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.21383196,RRm,year,precipitation,mm day-1,7
07311_Frankenthal (Pfalz),0.2060241,RRm,year,precipitation,mm day-1,7
07312_07335_07332_Region_um_Kaiserslautern,0.14410421,RRm,year,precipitation,mm day-1,7
07312_Kaiserslautern,0.13811147,RRm,year,precipitation,mm day-1,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.15335952,RRm,year,precipitation,mm day-1,7
07313_Landau in der Pfalz,0.15247133,RRm,year,precipitation,mm day-1,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.21466886,RRm,year,precipitation,mm day-1,7
07314_Ludwigshafen am Rhein,0.21407528,RRm,year,precipitation,mm day-1,7
07315_07339_06414_06433_Region_um_Mainz,0.18561074,RRm,year,precipitation,mm day-1,7
07315_Mainz,0.1854137,RRm,year,precipitation,mm day-1,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.15272158,RRm,year,precipitation,mm day-1,7
07316_Neustadt an der Weinstraße,0.16167893,RRm,year,precipitation,mm day-1,7
07317_07340_Region_um_Pirmasens,0.15439098,RRm,year,precipitation,mm day-1,7
07317_Pirmasens,0.15719256,RRm,year,precipitation,mm day-1,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.19322272,RRm,year,precipitation,mm day-1,7
07318_Speyer,0.20165631,RRm,year,precipitation,mm day-1,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.18472794,RRm,year,precipitation,mm day-1,7
