region,RRm_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.13138294219970703,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.10603189468383789,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.13429689407348633,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.12383174896240234,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.12040913105010986,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.11180031299591064,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.1299445629119873,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.14431023597717285,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.21740031242370605,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.11559820175170898,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.17711234092712402,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.1254420280456543,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.15705323219299316,RRm,year,precipitation,mm day-1,7
01057_Plön,0.11823320388793945,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.13774144649505615,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.13157320022583008,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.1275501251220703,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.17272257804870605,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.11186599731445312,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.12751173973083496,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.12332427501678467,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.13599848747253418,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.1399061679840088,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.14651036262512207,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.11472201347351074,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.10972893238067627,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.10871005058288574,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.16298460960388184,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.12559843063354492,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.14324212074279785,RRm,year,precipitation,mm day-1,7
03157_Peine,0.13067412376403809,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.14155292510986328,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.14653778076171875,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.1295022964477539,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.1302497386932373,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.10503172874450684,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.1313016414642334,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.12559592723846436,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.1197357177734375,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.11363339424133301,RRm,year,precipitation,mm day-1,7
03351_Celle,0.12810492515563965,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.17922115325927734,RRm,year,precipitation,mm day-1,7
