region,RRm_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.08493542671203613,RRm,year,precipitation,mm day-1,7
01001_Flensburg,-0.07638072967529297,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.047333478927612305,RRm,year,precipitation,mm day-1,7
01002_Kiel,-0.051444053649902344,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.04243111610412598,RRm,year,precipitation,mm day-1,7
01003_Lübeck,-0.04770326614379883,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.040068864822387695,RRm,year,precipitation,mm day-1,7
01004_Neumünster,-0.03814268112182617,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,-0.06744670867919922,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,-0.06466102600097656,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,-0.09563183784484863,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,-0.024967432022094727,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,-0.048580169677734375,RRm,year,precipitation,mm day-1,7
01057_Plön,-0.047298431396484375,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,-0.05508756637573242,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,-0.0851597785949707,RRm,year,precipitation,mm day-1,7
01060_Segeberg,-0.03591203689575195,RRm,year,precipitation,mm day-1,7
01061_Steinburg,-0.045552968978881836,RRm,year,precipitation,mm day-1,7
01062_Stormarn,-0.0526576042175293,RRm,year,precipitation,mm day-1,7
02000_Hamburg,-0.054250121116638184,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.05519592761993408,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,-0.05137670040130615,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.09145402908325195,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,-0.10428309440612793,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.04251360893249512,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,-0.05253434181213379,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,-0.0466616153717041,RRm,year,precipitation,mm day-1,7
03153_Goslar,-0.1311047077178955,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,-0.04531073570251465,RRm,year,precipitation,mm day-1,7
03155_Northeim,-0.08598721027374268,RRm,year,precipitation,mm day-1,7
03157_Peine,-0.050153255462646484,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,-0.08722877502441406,RRm,year,precipitation,mm day-1,7
03159_Göttingen,-0.08509087562561035,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,-0.062293291091918945,RRm,year,precipitation,mm day-1,7
03251_Diepholz,-0.0699458122253418,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,-0.12161624431610107,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,-0.08458399772644043,RRm,year,precipitation,mm day-1,7
03255_Holzminden,-0.10637342929840088,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),-0.04960668087005615,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,-0.12362456321716309,RRm,year,precipitation,mm day-1,7
03351_Celle,-0.0480954647064209,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,-0.0952293872833252,RRm,year,precipitation,mm day-1,7
03353_Harburg,-0.08600199222564697,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,-0.0700293779373169,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,-0.07432687282562256,RRm,year,precipitation,mm day-1,7
03356_Osterholz,-0.0933837890625,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),-0.08254826068878174,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,-0.058690667152404785,RRm,year,precipitation,mm day-1,7
03359_Stade,-0.08588314056396484,RRm,year,precipitation,mm day-1,7
03360_Uelzen,-0.062305450439453125,RRm,year,precipitation,mm day-1,7
03361_Verden,-0.05165994167327881,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.0742034912109375,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,-0.0892024040222168,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,-0.11825394630432129,RRm,year,precipitation,mm day-1,7
03402_Emden,-0.10971570014953613,RRm,year,precipitation,mm day-1,7
