region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09464_09475_Region_um_Hof,0.047198985,RRm,year,precipitation,mm day-1,7
09464_Hof,0.056204434,RRm,year,precipitation,mm day-1,7
09471_Bamberg,0.057265583,RRm,year,precipitation,mm day-1,7
09472_Bayreuth,0.045269795,RRm,year,precipitation,mm day-1,7
09473_Coburg,0.054484423,RRm,year,precipitation,mm day-1,7
09474_Forchheim,0.052197855,RRm,year,precipitation,mm day-1,7
09475_Hof,0.04662164,RRm,year,precipitation,mm day-1,7
09476_Kronach,0.040147237,RRm,year,precipitation,mm day-1,7
09477_Kulmbach,0.048239898,RRm,year,precipitation,mm day-1,7
09478_Lichtenfels,0.05176269,RRm,year,precipitation,mm day-1,7
09479_Wunsiedel i. Fichtelgebirge,0.049695507,RRm,year,precipitation,mm day-1,7
09561_09571_Region_um_Ansbach,0.057169106,RRm,year,precipitation,mm day-1,7
09561_Ansbach,0.056490816,RRm,year,precipitation,mm day-1,7
09562_09572_09564_09563_Region_um_Erlangen,0.06453022,RRm,year,precipitation,mm day-1,7
09562_Erlangen,0.06600093,RRm,year,precipitation,mm day-1,7
09563_09573_09562_09564_Region_um_Fürth,0.06533729,RRm,year,precipitation,mm day-1,7
09563_Fürth,0.065636486,RRm,year,precipitation,mm day-1,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,0.060645357,RRm,year,precipitation,mm day-1,7
09564_Nürnberg,0.06702899,RRm,year,precipitation,mm day-1,7
09565_09576_09564_Region_um_Schwabach,0.06392422,RRm,year,precipitation,mm day-1,7
09565_Schwabach,0.067168556,RRm,year,precipitation,mm day-1,7
09571_Ansbach,0.057205904,RRm,year,precipitation,mm day-1,7
09572_Erlangen-Höchstadt,0.063421935,RRm,year,precipitation,mm day-1,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,0.059272435,RRm,year,precipitation,mm day-1,7
09573_Fürth,0.06410961,RRm,year,precipitation,mm day-1,7
09574_Nürnberger Land,0.05180031,RRm,year,precipitation,mm day-1,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.059482533,RRm,year,precipitation,mm day-1,7
09576_Roth,0.06314951,RRm,year,precipitation,mm day-1,7
09577_Weißenburg-Gunzenhausen,0.065031715,RRm,year,precipitation,mm day-1,7
09661_09671_09676_Region_um_Aschaffenburg,0.05035824,RRm,year,precipitation,mm day-1,7
09661_Aschaffenburg,0.05910563,RRm,year,precipitation,mm day-1,7
09662_09678_Region_um_Schweinfurt,0.05564979,RRm,year,precipitation,mm day-1,7
09662_Schweinfurt,0.05393519,RRm,year,precipitation,mm day-1,7
09663_09679_Region_um_Würzburg,0.055335484,RRm,year,precipitation,mm day-1,7
09663_Würzburg,0.05760281,RRm,year,precipitation,mm day-1,7
09671_Aschaffenburg,0.05043243,RRm,year,precipitation,mm day-1,7
09672_Bad Kissingen,0.047152255,RRm,year,precipitation,mm day-1,7
09673_Rhön-Grabfeld,0.05214261,RRm,year,precipitation,mm day-1,7
09674_Haßberge,0.05676273,RRm,year,precipitation,mm day-1,7
09675_Kitzingen,0.06154408,RRm,year,precipitation,mm day-1,7
09676_Miltenberg,0.049472034,RRm,year,precipitation,mm day-1,7
09677_Main-Spessart,0.04727555,RRm,year,precipitation,mm day-1,7
09678_Schweinfurt,0.055723604,RRm,year,precipitation,mm day-1,7
09679_Würzburg,0.055104617,RRm,year,precipitation,mm day-1,7
09761_09772_09771_Region_um_Augsburg,0.082641676,RRm,year,precipitation,mm day-1,7
09761_Augsburg,0.08700485,RRm,year,precipitation,mm day-1,7
09762_09777_Region_um_Kaufbeuren,0.100921914,RRm,year,precipitation,mm day-1,7
09762_Kaufbeuren,0.08902354,RRm,year,precipitation,mm day-1,7
09763_09780_Region_um_Kempten_(Allgäu),0.1057192,RRm,year,precipitation,mm day-1,7
09763_Kempten (Allgäu),0.100084074,RRm,year,precipitation,mm day-1,7
09764_09778_08436_Region_um_Memmingen,0.09599702,RRm,year,precipitation,mm day-1,7
09764_Memmingen,0.09203437,RRm,year,precipitation,mm day-1,7
09771_Aichach-Friedberg,0.07993258,RRm,year,precipitation,mm day-1,7
09772_Augsburg,0.083982415,RRm,year,precipitation,mm day-1,7
09773_Dillingen a.d. Donau,0.07378449,RRm,year,precipitation,mm day-1,7
09774_Günzburg,0.08155555,RRm,year,precipitation,mm day-1,7
09775_Neu-Ulm,0.08293849,RRm,year,precipitation,mm day-1,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),0.11365139,RRm,year,precipitation,mm day-1,7
09776_Lindau (Bodensee),0.11655637,RRm,year,precipitation,mm day-1,7
09777_Ostallgäu,0.10128988,RRm,year,precipitation,mm day-1,7
09778_Unterallgäu,0.09003458,RRm,year,precipitation,mm day-1,7
09779_Donau-Ries,0.06979912,RRm,year,precipitation,mm day-1,7
09780_Oberallgäu,0.10596634,RRm,year,precipitation,mm day-1,7
10041_Regionalverband Saarbrücken,0.052020304,RRm,year,precipitation,mm day-1,7
10042_Merzig-Wadern,0.04214944,RRm,year,precipitation,mm day-1,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,0.046898317,RRm,year,precipitation,mm day-1,7
10043_Neunkirchen,0.048578802,RRm,year,precipitation,mm day-1,7
10044_Saarlouis,0.051988233,RRm,year,precipitation,mm day-1,7
10045_Saarpfalz-Kreis,0.047972802,RRm,year,precipitation,mm day-1,7
10046_St. Wendel,0.0377231,RRm,year,precipitation,mm day-1,7
11000_Berlin,0.07696856,RRm,year,precipitation,mm day-1,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,0.07400822,RRm,year,precipitation,mm day-1,7
12051_Brandenburg an der Havel,0.074110925,RRm,year,precipitation,mm day-1,7
12052_12071_Region_um_Cottbus,0.0785362,RRm,year,precipitation,mm day-1,7
12052_Cottbus,0.07851328,RRm,year,precipitation,mm day-1,7
12053_12067_12064_Region_um_Frankfurt_(Oder),0.08304761,RRm,year,precipitation,mm day-1,7
12053_Frankfurt (Oder),0.08751417,RRm,year,precipitation,mm day-1,7
12054_12063_12069_11000_12051_Region_um_Potsdam,0.07451342,RRm,year,precipitation,mm day-1,7
12054_Potsdam,0.075170286,RRm,year,precipitation,mm day-1,7
12060_Barnim,0.077681795,RRm,year,precipitation,mm day-1,7
12061_Dahme-Spreewald,0.078262724,RRm,year,precipitation,mm day-1,7
12062_Elbe-Elster,0.073422916,RRm,year,precipitation,mm day-1,7
12063_Havelland,0.07419817,RRm,year,precipitation,mm day-1,7
12064_Märkisch-Oderland,0.082750395,RRm,year,precipitation,mm day-1,7
12065_Oberhavel,0.07476679,RRm,year,precipitation,mm day-1,7
12066_Oberspreewald-Lausitz,0.07838687,RRm,year,precipitation,mm day-1,7
12067_Oder-Spree,0.08303192,RRm,year,precipitation,mm day-1,7
12068_Ostprignitz-Ruppin,0.0703867,RRm,year,precipitation,mm day-1,7
12069_Potsdam-Mittelmark,0.07387141,RRm,year,precipitation,mm day-1,7
12070_Prignitz,0.06882393,RRm,year,precipitation,mm day-1,7
12071_Spree-Neiße,0.078538544,RRm,year,precipitation,mm day-1,7
12072_Teltow-Fläming,0.0749845,RRm,year,precipitation,mm day-1,7
12073_Uckermark,0.08080626,RRm,year,precipitation,mm day-1,7
13003_13072_Region_um_Rostock,0.08151948,RRm,year,precipitation,mm day-1,7
13003_Rostock,0.094437025,RRm,year,precipitation,mm day-1,7
13004_13076_13074_Region_um_Schwerin,0.07739216,RRm,year,precipitation,mm day-1,7
13004_Schwerin,0.07544701,RRm,year,precipitation,mm day-1,7
13071_Mecklenburgische Seenplatte,0.08027097,RRm,year,precipitation,mm day-1,7
13072_Rostock,0.08085054,RRm,year,precipitation,mm day-1,7
13073_Vorpommern-Rügen,0.10197649,RRm,year,precipitation,mm day-1,7
13074_Nordwestmecklenburg,0.083290055,RRm,year,precipitation,mm day-1,7
13075_Vorpommern-Greifswald,0.084909074,RRm,year,precipitation,mm day-1,7
13076_Ludwigslust-Parchim,0.074809626,RRm,year,precipitation,mm day-1,7
14511_14524_14521_14522_Region_um_Chemnitz,0.073595144,RRm,year,precipitation,mm day-1,7
14511_Chemnitz,0.07654896,RRm,year,precipitation,mm day-1,7
14521_Erzgebirgskreis,0.06957571,RRm,year,precipitation,mm day-1,7
14522_Mittelsachsen,0.07295397,RRm,year,precipitation,mm day-1,7
14523_Vogtlandkreis,0.066885166,RRm,year,precipitation,mm day-1,7
14524_Zwickau,0.082179345,RRm,year,precipitation,mm day-1,7
14612_14627_14625_14628_Region_um_Dresden,0.07976505,RRm,year,precipitation,mm day-1,7
14612_Dresden,0.086121224,RRm,year,precipitation,mm day-1,7
14625_Bautzen,0.080463,RRm,year,precipitation,mm day-1,7
14626_Görlitz,0.08340986,RRm,year,precipitation,mm day-1,7
14627_Meißen,0.07548429,RRm,year,precipitation,mm day-1,7
14628_Sächsische Schweiz-Osterzgebirge,0.081216894,RRm,year,precipitation,mm day-1,7
14713_14729_14730_Region_um_Leipzig,0.07176374,RRm,year,precipitation,mm day-1,7
14713_Leipzig,0.07654424,RRm,year,precipitation,mm day-1,7
14729_Leipzig,0.07296134,RRm,year,precipitation,mm day-1,7
14730_Nordsachsen,0.07010424,RRm,year,precipitation,mm day-1,7
15001_15091_15082_Region_um_Dessau-Rolau,0.0759587,RRm,year,precipitation,mm day-1,7
15001_Dessau-Roßlau,0.07879019,RRm,year,precipitation,mm day-1,7
15002_15088_Region_um_Halle_(Saale),0.07328265,RRm,year,precipitation,mm day-1,7
15002_Halle (Saale),0.07596976,RRm,year,precipitation,mm day-1,7
15003_15083_15089_15086_Region_um_Magdeburg,0.073308356,RRm,year,precipitation,mm day-1,7
15003_Magdeburg,0.07142095,RRm,year,precipitation,mm day-1,7
15081_Altmarkkreis Salzwedel,0.07163197,RRm,year,precipitation,mm day-1,7
15082_Anhalt-Bitterfeld,0.0779556,RRm,year,precipitation,mm day-1,7
15083_Börde,0.07105453,RRm,year,precipitation,mm day-1,7
15084_Burgenlandkreis,0.0699767,RRm,year,precipitation,mm day-1,7
15085_Harz,0.06551522,RRm,year,precipitation,mm day-1,7
15086_Jerichower Land,0.07272255,RRm,year,precipitation,mm day-1,7
15087_Mansfeld-Südharz,0.07358107,RRm,year,precipitation,mm day-1,7
15088_Saalekreis,0.0730191,RRm,year,precipitation,mm day-1,7
15089_Salzlandkreis,0.07790699,RRm,year,precipitation,mm day-1,7
15090_Stendal,0.06892814,RRm,year,precipitation,mm day-1,7
15091_Wittenberg,0.07410881,RRm,year,precipitation,mm day-1,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,0.063411556,RRm,year,precipitation,mm day-1,7
16051_Erfurt,0.06893612,RRm,year,precipitation,mm day-1,7
16052_16076_15084_16074_Region_um_Gera,0.07209637,RRm,year,precipitation,mm day-1,7
16052_Gera,0.07415003,RRm,year,precipitation,mm day-1,7
16053_16074_16071_16055_Region_um_Jena,0.0725073,RRm,year,precipitation,mm day-1,7
16053_Jena,0.0750838,RRm,year,precipitation,mm day-1,7
16054_16066_16069_16070_Region_um_Suhl,0.050904457,RRm,year,precipitation,mm day-1,7
16054_Suhl,0.034943163,RRm,year,precipitation,mm day-1,7
16055_16071_Region_um_Weimar,0.0722204,RRm,year,precipitation,mm day-1,7
16055_Weimar,0.069297545,RRm,year,precipitation,mm day-1,7
16056_16063_06636_Region_um_Eisenach,0.06310649,RRm,year,precipitation,mm day-1,7
16056_Eisenach,0.060771927,RRm,year,precipitation,mm day-1,7
16061_Eichsfeld,0.064430825,RRm,year,precipitation,mm day-1,7
16062_Nordhausen,0.066648945,RRm,year,precipitation,mm day-1,7
16063_Wartburgkreis,0.06280028,RRm,year,precipitation,mm day-1,7
16064_Unstrut-Hainich-Kreis,0.067764364,RRm,year,precipitation,mm day-1,7
16065_Kyffhäuserkreis,0.07124232,RRm,year,precipitation,mm day-1,7
16066_Schmalkalden-Meiningen,0.053736206,RRm,year,precipitation,mm day-1,7
16067_Gotha,0.056767054,RRm,year,precipitation,mm day-1,7
16068_Sömmerda,0.0702171,RRm,year,precipitation,mm day-1,7
16069_Hildburghausen,0.04815204,RRm,year,precipitation,mm day-1,7
16070_Ilm-Kreis,0.052693795,RRm,year,precipitation,mm day-1,7
16071_Weimarer Land,0.07255531,RRm,year,precipitation,mm day-1,7
16072_Sonneberg,0.037920374,RRm,year,precipitation,mm day-1,7
16073_Saalfeld-Rudolstadt,0.059776988,RRm,year,precipitation,mm day-1,7
16074_Saale-Holzland-Kreis,0.07243947,RRm,year,precipitation,mm day-1,7
16075_Saale-Orla-Kreis,0.06718628,RRm,year,precipitation,mm day-1,7
16076_Greiz,0.074878976,RRm,year,precipitation,mm day-1,7
16077_Altenburger Land,0.07685719,RRm,year,precipitation,mm day-1,7
