region,RRm_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.09791421890258789,RRm,year,precipitation,mm day-1,7
01001_Flensburg,-0.09070110321044922,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.10547685623168945,RRm,year,precipitation,mm day-1,7
01002_Kiel,-0.10597825050354004,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.08596086502075195,RRm,year,precipitation,mm day-1,7
01003_Lübeck,-0.09750938415527344,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.11289715766906738,RRm,year,precipitation,mm day-1,7
01004_Neumünster,-0.1292552947998047,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,-0.16089463233947754,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,-0.13202190399169922,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,-0.1076202392578125,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,-0.0597914457321167,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,-0.12217354774475098,RRm,year,precipitation,mm day-1,7
01057_Plön,-0.1012735366821289,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,-0.10754013061523438,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,-0.09810328483581543,RRm,year,precipitation,mm day-1,7
01060_Segeberg,-0.1306471824645996,RRm,year,precipitation,mm day-1,7
01061_Steinburg,-0.12870264053344727,RRm,year,precipitation,mm day-1,7
01062_Stormarn,-0.15928387641906738,RRm,year,precipitation,mm day-1,7
02000_Hamburg,-0.15701889991760254,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.0919339656829834,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,-0.1020200252532959,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.06391692161560059,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,-0.06544780731201172,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.10437917709350586,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,-0.1359415054321289,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,-0.08928656578063965,RRm,year,precipitation,mm day-1,7
03153_Goslar,-0.16039514541625977,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,-0.12984824180603027,RRm,year,precipitation,mm day-1,7
03155_Northeim,-0.06720304489135742,RRm,year,precipitation,mm day-1,7
