region,RRm_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4374518394470215,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.4525763988494873,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.43372535705566406,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.39963412284851074,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.42260098457336426,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.41864538192749023,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.43315601348876953,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.45982789993286133,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.916968822479248,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.4298439025878906,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.8071801662445068,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.4483933448791504,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.5081608295440674,RRm,year,precipitation,mm day-1,7
01057_Plön,0.4362483024597168,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.4411146640777588,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.4370558261871338,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.43880558013916016,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.5543060302734375,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.4164097309112549,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.5289220809936523,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.5474643707275391,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.6277801990509033,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.5976662635803223,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.5828661918640137,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.5250720977783203,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.5428500175476074,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.5354125499725342,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.643378734588623,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.49544286727905273,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.6497278213500977,RRm,year,precipitation,mm day-1,7
03157_Peine,0.5961534976959229,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.5545260906219482,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.7311983108520508,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.5802321434020996,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.5174562931060791,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.5004489421844482,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.5856971740722656,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.5511000156402588,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.5477039813995361,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.5424532890319824,RRm,year,precipitation,mm day-1,7
03351_Celle,0.5594632625579834,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.5872578620910645,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.435671329498291,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.5121504068374634,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.49113988876342773,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.5074968338012695,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.497161865234375,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.5294828414916992,RRm,year,precipitation,mm day-1,7
03359_Stade,0.4685196876525879,RRm,year,precipitation,mm day-1,7
03360_Uelzen,0.4614483118057251,RRm,year,precipitation,mm day-1,7
03361_Verden,0.5905492305755615,RRm,year,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5375995635986328,RRm,year,precipitation,mm day-1,7
03401_Delmenhorst,0.5054645538330078,RRm,year,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.5987880229949951,RRm,year,precipitation,mm day-1,7
03402_Emden,0.7727913856506348,RRm,year,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.5321664810180664,RRm,year,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.5136756896972656,RRm,year,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.5202906131744385,RRm,year,precipitation,mm day-1,7
03404_Osnabrück,0.46068763732910156,RRm,year,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.5508148670196533,RRm,year,precipitation,mm day-1,7
03405_Wilhelmshaven,0.7357308864593506,RRm,year,precipitation,mm day-1,7
03451_Ammerland,0.5002093315124512,RRm,year,precipitation,mm day-1,7
03452_Aurich,0.6176586151123047,RRm,year,precipitation,mm day-1,7
03453_Cloppenburg,0.5074870586395264,RRm,year,precipitation,mm day-1,7
03454_Emsland,0.5454616546630859,RRm,year,precipitation,mm day-1,7
03455_Friesland,0.518240213394165,RRm,year,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.5414247512817383,RRm,year,precipitation,mm day-1,7
03457_Leer,0.5574278831481934,RRm,year,precipitation,mm day-1,7
03458_Oldenburg,0.4993703365325928,RRm,year,precipitation,mm day-1,7
03459_Osnabrück,0.488797664642334,RRm,year,precipitation,mm day-1,7
03460_Vechta,0.5099859237670898,RRm,year,precipitation,mm day-1,7
03461_Wesermarsch,0.6036553382873535,RRm,year,precipitation,mm day-1,7
03462_Wittmund,0.5436272621154785,RRm,year,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.5629677772521973,RRm,year,precipitation,mm day-1,7
04011_Bremen,0.620185136795044,RRm,year,precipitation,mm day-1,7
04012_03352_03461_Region_um_Bremerhaven,0.5933465957641602,RRm,year,precipitation,mm day-1,7
04012_Bremerhaven,0.649871826171875,RRm,year,precipitation,mm day-1,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.9438495635986328,RRm,year,precipitation,mm day-1,7
05111_Düsseldorf,1.1271884441375732,RRm,year,precipitation,mm day-1,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.8228495121002197,RRm,year,precipitation,mm day-1,7
05112_Duisburg,0.9252727031707764,RRm,year,precipitation,mm day-1,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.780120849609375,RRm,year,precipitation,mm day-1,7
05113_Essen,0.8151240348815918,RRm,year,precipitation,mm day-1,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.704303503036499,RRm,year,precipitation,mm day-1,7
05114_Krefeld,0.7355427742004395,RRm,year,precipitation,mm day-1,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.6651041507720947,RRm,year,precipitation,mm day-1,7
05116_Mönchengladbach,0.5511703491210938,RRm,year,precipitation,mm day-1,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.9463658332824707,RRm,year,precipitation,mm day-1,7
05117_Mülheim an der Ruhr,0.9046952724456787,RRm,year,precipitation,mm day-1,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.7395825386047363,RRm,year,precipitation,mm day-1,7
05119_Oberhausen,0.9031164646148682,RRm,year,precipitation,mm day-1,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.9106073379516602,RRm,year,precipitation,mm day-1,7
05120_Remscheid,0.8679850101470947,RRm,year,precipitation,mm day-1,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.039222002029419,RRm,year,precipitation,mm day-1,7
05122_Solingen,1.1447052955627441,RRm,year,precipitation,mm day-1,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.8243887424468994,RRm,year,precipitation,mm day-1,7
05124_Wuppertal,0.815854549407959,RRm,year,precipitation,mm day-1,7
05154_Kleve,0.5444259643554688,RRm,year,precipitation,mm day-1,7
05158_Mettmann,1.0422401428222656,RRm,year,precipitation,mm day-1,7
05162_Rhein-Kreis Neuss,0.8108513355255127,RRm,year,precipitation,mm day-1,7
05166_Viersen,0.6010878086090088,RRm,year,precipitation,mm day-1,7
05170_Wesel,0.6473994255065918,RRm,year,precipitation,mm day-1,7
05314_05382_Region_um_Bonn,1.0408551692962646,RRm,year,precipitation,mm day-1,7
05314_Bonn,1.0617449283599854,RRm,year,precipitation,mm day-1,7
05315_Köln,1.1951932907104492,RRm,year,precipitation,mm day-1,7
05316_05315_05378_05158_Region_um_Leverkusen,1.134469747543335,RRm,year,precipitation,mm day-1,7
05316_Leverkusen,1.2869765758514404,RRm,year,precipitation,mm day-1,7
05334_Städteregion Aachen,0.4887540340423584,RRm,year,precipitation,mm day-1,7
05358_Düren,0.5526175498962402,RRm,year,precipitation,mm day-1,7
05362_Rhein-Erft-Kreis,0.766542911529541,RRm,year,precipitation,mm day-1,7
05366_Euskirchen,0.4380946159362793,RRm,year,precipitation,mm day-1,7
05370_Heinsberg,0.6197648048400879,RRm,year,precipitation,mm day-1,7
05374_Oberbergischer Kreis,0.8751201629638672,RRm,year,precipitation,mm day-1,7
05378_Rheinisch-Bergischer Kreis,1.1386802196502686,RRm,year,precipitation,mm day-1,7
05382_Rhein-Sieg-Kreis,1.038238763809204,RRm,year,precipitation,mm day-1,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.6988508701324463,RRm,year,precipitation,mm day-1,7
05512_Bottrop,0.8265359401702881,RRm,year,precipitation,mm day-1,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.7417869567871094,RRm,year,precipitation,mm day-1,7
05513_Gelsenkirchen,0.8880994319915771,RRm,year,precipitation,mm day-1,7
05515_05566_05558_05570_Region_um_Münster,0.5597624778747559,RRm,year,precipitation,mm day-1,7
05515_Münster,0.538745641708374,RRm,year,precipitation,mm day-1,7
05554_Borken,0.5740780830383301,RRm,year,precipitation,mm day-1,7
05558_Coesfeld,0.4965665340423584,RRm,year,precipitation,mm day-1,7
05562_Recklinghausen,0.6744811534881592,RRm,year,precipitation,mm day-1,7
05566_Steinfurt,0.5613503456115723,RRm,year,precipitation,mm day-1,7
05570_Warendorf,0.615598201751709,RRm,year,precipitation,mm day-1,7
05711_05754_05758_05766_Region_um_Bielefeld,0.6119420528411865,RRm,year,precipitation,mm day-1,7
05711_Bielefeld,0.6415858268737793,RRm,year,precipitation,mm day-1,7
05754_Gütersloh,0.6884422302246094,RRm,year,precipitation,mm day-1,7
05758_Herford,0.5621144771575928,RRm,year,precipitation,mm day-1,7
05762_Höxter,0.6084966659545898,RRm,year,precipitation,mm day-1,7
05766_Lippe,0.5647792816162109,RRm,year,precipitation,mm day-1,7
05770_Minden-Lübbecke,0.5552685260772705,RRm,year,precipitation,mm day-1,7
05774_Paderborn,0.7769322395324707,RRm,year,precipitation,mm day-1,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.7150089740753174,RRm,year,precipitation,mm day-1,7
05911_Bochum,0.7580487728118896,RRm,year,precipitation,mm day-1,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.6973092555999756,RRm,year,precipitation,mm day-1,7
05913_Dortmund,0.8076057434082031,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.6077117919921875,RRm,year,precipitation,mm day-1,7
05914_Hagen,0.5893251895904541,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.6409821510314941,RRm,year,precipitation,mm day-1,7
05915_Hamm,0.6903927326202393,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,0.7191736698150635,RRm,year,precipitation,mm day-1,7
05916_Herne,0.918344259262085,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,0.5895342826843262,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,0.46663761138916016,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,0.5672440528869629,RRm,year,precipitation,mm day-1,7
05966_Olpe,0.6861729621887207,RRm,year,precipitation,mm day-1,7
05970_Siegen-Wittgenstein,0.6788418292999268,RRm,year,precipitation,mm day-1,7
05974_Soest,0.734027624130249,RRm,year,precipitation,mm day-1,7
05978_Unna,0.7487332820892334,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,0.7872021198272705,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,0.8539013862609863,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.7408461570739746,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,0.7077949047088623,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.8112342357635498,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,0.765728235244751,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.6156101226806641,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,0.677722692489624,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,0.9970836639404297,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,0.7704606056213379,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,0.8320987224578857,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,0.45533180236816406,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,0.8582837581634521,RRm,year,precipitation,mm day-1,7
