region,RRm_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.3456089496612549,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.3686201572418213,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.33728837966918945,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.34183502197265625,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.2896239757537842,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.28864526748657227,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.33699798583984375,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.3560829162597656,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.7621402740478516,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.28886938095092773,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.7001998424530029,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.317474365234375,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.3418564796447754,RRm,year,precipitation,mm day-1,7
01057_Plön,0.3321084976196289,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.3414652347564697,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.34500598907470703,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.3400242328643799,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.3959519863128662,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.3143327236175537,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.34386777877807617,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.3064044713973999,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.31885480880737305,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.33668017387390137,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.31706082820892334,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.29974687099456787,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.30090487003326416,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.28570103645324707,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.41149210929870605,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.33217132091522217,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.35236096382141113,RRm,year,precipitation,mm day-1,7
03157_Peine,0.3099243640899658,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.32258474826812744,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.3517482280731201,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.3210873603820801,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.2882513999938965,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.3216409683227539,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.3118762969970703,RRm,year,precipitation,mm day-1,7
