region,RRm_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.1637420654296875,RRm,year,precipitation,mm day-1,7
01001_Flensburg,0.17220234870910645,RRm,year,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.15921354293823242,RRm,year,precipitation,mm day-1,7
01002_Kiel,0.1563572883605957,RRm,year,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.13241052627563477,RRm,year,precipitation,mm day-1,7
01003_Lübeck,0.11337518692016602,RRm,year,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.15175235271453857,RRm,year,precipitation,mm day-1,7
01004_Neumünster,0.17312145233154297,RRm,year,precipitation,mm day-1,7
01051_Dithmarschen,0.22604942321777344,RRm,year,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.12874054908752441,RRm,year,precipitation,mm day-1,7
01054_Nordfriesland,0.20481061935424805,RRm,year,precipitation,mm day-1,7
01055_Ostholstein,0.14290952682495117,RRm,year,precipitation,mm day-1,7
01056_Pinneberg,0.16512107849121094,RRm,year,precipitation,mm day-1,7
01057_Plön,0.15070199966430664,RRm,year,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.174424409866333,RRm,year,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.16265153884887695,RRm,year,precipitation,mm day-1,7
01060_Segeberg,0.14354228973388672,RRm,year,precipitation,mm day-1,7
01061_Steinburg,0.19988441467285156,RRm,year,precipitation,mm day-1,7
01062_Stormarn,0.12998712062835693,RRm,year,precipitation,mm day-1,7
02000_Hamburg,0.14049363136291504,RRm,year,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.1444849967956543,RRm,year,precipitation,mm day-1,7
03101_Braunschweig,0.16201543807983398,RRm,year,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14348816871643066,RRm,year,precipitation,mm day-1,7
03102_Salzgitter,0.15600848197937012,RRm,year,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.13998198509216309,RRm,year,precipitation,mm day-1,7
03103_Wolfsburg,0.14212322235107422,RRm,year,precipitation,mm day-1,7
03151_Gifhorn,0.1439042091369629,RRm,year,precipitation,mm day-1,7
03153_Goslar,0.11726713180541992,RRm,year,precipitation,mm day-1,7
03154_Helmstedt,0.14672422409057617,RRm,year,precipitation,mm day-1,7
03155_Northeim,0.1533215045928955,RRm,year,precipitation,mm day-1,7
03157_Peine,0.1571059226989746,RRm,year,precipitation,mm day-1,7
03158_Wolfenbüttel,0.15767967700958252,RRm,year,precipitation,mm day-1,7
03159_Göttingen,0.14671564102172852,RRm,year,precipitation,mm day-1,7
03241_Region Hannover,0.13800358772277832,RRm,year,precipitation,mm day-1,7
03251_Diepholz,0.13786792755126953,RRm,year,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.12343263626098633,RRm,year,precipitation,mm day-1,7
03254_Hildesheim,0.14648795127868652,RRm,year,precipitation,mm day-1,7
03255_Holzminden,0.1260814666748047,RRm,year,precipitation,mm day-1,7
03256_Nienburg (Weser),0.12998652458190918,RRm,year,precipitation,mm day-1,7
03257_Schaumburg,0.13145852088928223,RRm,year,precipitation,mm day-1,7
03351_Celle,0.1376934051513672,RRm,year,precipitation,mm day-1,7
03352_Cuxhaven,0.16850543022155762,RRm,year,precipitation,mm day-1,7
03353_Harburg,0.1187889575958252,RRm,year,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.13162636756896973,RRm,year,precipitation,mm day-1,7
03355_Lüneburg,0.13161969184875488,RRm,year,precipitation,mm day-1,7
03356_Osterholz,0.13726449012756348,RRm,year,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.12833631038665771,RRm,year,precipitation,mm day-1,7
03358_Heidekreis,0.1361687183380127,RRm,year,precipitation,mm day-1,7
03359_Stade,0.15642213821411133,RRm,year,precipitation,mm day-1,7
