region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.0032583288848400116,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.033000532537698746,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.016495581716299057,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.01251714676618576,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.10875846445560455,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.09196746349334717,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.03920893371105194,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.06362631916999817,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.031133603304624557,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.14175385236740112,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,-0.004730174317955971,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.01720036193728447,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.1879740059375763,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.015943145379424095,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.016993192955851555,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.0024782977998256683,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.09507888555526733,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.12074699997901917,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.13447844982147217,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.20230519771575928,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.30643126368522644,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.30647265911102295,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.2542403042316437,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.295036256313324,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.29391762614250183,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.30782127380371094,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.2808944582939148,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.06643618643283844,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.26351648569107056,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.21267490088939667,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.3273286819458008,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.28000396490097046,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.1446051001548767,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.3298191726207733,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.24809420108795166,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.16099536418914795,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.2671196162700653,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.10435648262500763,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.3146621286869049,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.29955005645751953,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.2196313738822937,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.09568893909454346,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.21127596497535706,HSf3,year,hot_spell_frequency,,7
