region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.06669380515813828,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.06634870916604996,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.10616603493690491,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.0969097763299942,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.16197113692760468,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.16128677129745483,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.12650978565216064,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.15546081960201263,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.09394838660955429,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.2251584231853485,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.06717383861541748,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.06713259220123291,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.18131348490715027,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.0710306242108345,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.1262112408876419,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.06582031399011612,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.17074349522590637,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.14615567028522491,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.19251251220703125,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.22982297837734222,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.24826137721538544,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.24211078882217407,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.255240797996521,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.2560332715511322,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.2687877416610718,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.2487391233444214,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.2961159348487854,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.1476103961467743,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.21690894663333893,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.2648220658302307,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.2718930244445801,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.29062187671661377,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.2551628053188324,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.3562673032283783,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.25741058588027954,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.2710269093513489,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.2718663513660431,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.24397128820419312,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.2706565856933594,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.2889649271965027,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.325917512178421,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.13444864749908447,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.25444304943084717,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,0.2630465030670166,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.2561763823032379,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.21896027028560638,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.21064156293869019,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.27500271797180176,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.16593074798583984,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.2659260928630829,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.2648067772388458,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.2325114607810974,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.21121686697006226,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.1094159409403801,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.07422289252281189,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.20196545124053955,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),0.19553625583648682,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,0.33663347363471985,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,0.24056780338287354,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.09671811759471893,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.044857222586870193,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,0.21624571084976196,HSf3,year,hot_spell_frequency,,7
03452_Aurich,0.07717333734035492,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,0.19367796182632446,HSf3,year,hot_spell_frequency,,7
03454_Emsland,0.20496204495429993,HSf3,year,hot_spell_frequency,,7
03455_Friesland,0.09596113860607147,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,0.26347625255584717,HSf3,year,hot_spell_frequency,,7
03457_Leer,0.17017215490341187,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,0.22119849920272827,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,0.31319737434387207,HSf3,year,hot_spell_frequency,,7
03460_Vechta,0.2920885682106018,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,0.1909414380788803,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,0.07506714761257172,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.20797407627105713,HSf3,year,hot_spell_frequency,,7
04011_Bremen,0.27361616492271423,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,0.1439763903617859,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,0.11799776554107666,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.39516782760620117,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,0.41784173250198364,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.37500739097595215,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,0.3893604278564453,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.3505280613899231,HSf3,year,hot_spell_frequency,,7
05113_Essen,0.3526853322982788,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.3572196364402771,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,0.3863122761249542,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.3720451295375824,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,0.3800537586212158,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.3646642565727234,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,0.4106684923171997,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.36125677824020386,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,0.42132923007011414,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.323138564825058,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,0.2666478455066681,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.34099388122558594,HSf3,year,hot_spell_frequency,,7
05122_Solingen,0.3122885823249817,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.29714012145996094,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,0.3193429708480835,HSf3,year,hot_spell_frequency,,7
05154_Kleve,0.30166614055633545,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,0.35767149925231934,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,0.41260725259780884,HSf3,year,hot_spell_frequency,,7
05166_Viersen,0.3673397898674011,HSf3,year,hot_spell_frequency,,7
05170_Wesel,0.31601014733314514,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.39802122116088867,HSf3,year,hot_spell_frequency,,7
05314_Bonn,0.3653193712234497,HSf3,year,hot_spell_frequency,,7
05315_Köln,0.4434543251991272,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,0.3905465602874756,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,0.34161871671676636,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.20710930228233337,HSf3,year,hot_spell_frequency,,7
05358_Düren,0.2792049050331116,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.36159074306488037,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.21743237972259521,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,0.3728581666946411,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,0.261663556098938,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.3615298271179199,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.3956632614135742,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.3635648190975189,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,0.42082393169403076,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.3862730860710144,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,0.44290995597839355,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,0.3168034255504608,HSf3,year,hot_spell_frequency,,7
05515_Münster,0.3187025785446167,HSf3,year,hot_spell_frequency,,7
05554_Borken,0.32177698612213135,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,0.3127461075782776,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,0.3757016360759735,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,0.3194701671600342,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,0.35389578342437744,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,0.28099966049194336,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,0.2884005010128021,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,0.3093688189983368,HSf3,year,hot_spell_frequency,,7
05758_Herford,0.2697550654411316,HSf3,year,hot_spell_frequency,,7
05762_Höxter,0.24057351052761078,HSf3,year,hot_spell_frequency,,7
05766_Lippe,0.2520074248313904,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,0.3231634199619293,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,0.23249369859695435,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.37652385234832764,HSf3,year,hot_spell_frequency,,7
05911_Bochum,0.36726802587509155,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.3757714033126831,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,0.3945496082305908,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.30291685461997986,HSf3,year,hot_spell_frequency,,7
05914_Hagen,0.24699899554252625,HSf3,year,hot_spell_frequency,,7
