region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.5826809406280518,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,1.467620611190796,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,1.9950923919677734,HSf3,year,hot_spell_frequency,,7
01002_Kiel,1.7389284372329712,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,2.381146192550659,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,2.562297821044922,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,2.2120864391326904,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,2.6210644245147705,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,2.159466505050659,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,3.16060471534729,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,1.2802006006240845,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,1.5407675504684448,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,3.0012075901031494,HSf3,year,hot_spell_frequency,,7
01057_Plön,1.7422865629196167,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,2.135831356048584,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,1.5856987237930298,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,2.7352399826049805,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,2.741752862930298,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,2.965350389480591,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,3.1798160076141357,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.956216812133789,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,4.102370262145996,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.696460247039795,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,4.162270545959473,HSf3,year,hot_spell_frequency,,7
