region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4839104,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.47535864,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.6502056,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.62992543,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.8843535,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.90438706,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.73535055,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.8713828,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.6393616,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,1.1465772,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.40934393,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.49677923,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,1.0399259,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.5904751,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.6810907,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.48413467,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.9421031,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.86666864,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,1.0672584,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,1.1857682,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,1.6084685,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,1.6586243,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.4347447,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,1.5779859,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,1.6054714,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,1.6140256,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,1.605099,HSf3,year,hot_spell_frequency,,7
03153_Goslar,1.0525014,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,1.6036971,HSf3,year,hot_spell_frequency,,7
03155_Northeim,1.4859023,HSf3,year,hot_spell_frequency,,7
03157_Peine,1.6462106,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,1.5870045,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,1.4372048,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,1.6031775,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,1.4010075,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,1.4031483,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,1.4919547,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,1.3705741,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),1.530946,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,1.4527593,HSf3,year,hot_spell_frequency,,7
03351_Celle,1.5535723,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.8761063,HSf3,year,hot_spell_frequency,,7
03353_Harburg,1.2243266,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,1.5277424,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,1.353365,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,1.1927854,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),1.2051394,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,1.3902569,HSf3,year,hot_spell_frequency,,7
03359_Stade,1.0156398,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,1.4120431,HSf3,year,hot_spell_frequency,,7
03361_Verden,1.3648361,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.264065,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,1.2830167,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.7767359,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.6292838,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),1.1054171,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),1.1596856,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,1.4800625,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,1.4445814,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.6499209,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.42358717,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,1.0788269,HSf3,year,hot_spell_frequency,,7
03452_Aurich,0.6236789,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,1.2586836,HSf3,year,hot_spell_frequency,,7
03454_Emsland,1.3053739,HSf3,year,hot_spell_frequency,,7
03455_Friesland,0.6897925,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,1.4133127,HSf3,year,hot_spell_frequency,,7
03457_Leer,0.9797408,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,1.2492266,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,1.441639,HSf3,year,hot_spell_frequency,,7
03460_Vechta,1.3977644,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,0.9410536,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,0.6207101,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,1.1491885,HSf3,year,hot_spell_frequency,,7
04011_Bremen,1.2913668,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,0.8944104,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,0.882397,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,2.0161958,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,2.0752149,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.9065821,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,2.0234628,HSf3,year,hot_spell_frequency,,7
