region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.010255418717861176,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,-0.03333333507180214,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,-0.01620582863688469,HSf3,year,hot_spell_frequency,,7
01002_Kiel,-0.012098433449864388,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.022045306861400604,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.005818843841552734,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.006182283163070679,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.0,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,-0.046635501086711884,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,-0.03829473257064819,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,-0.0218508280813694,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,-0.0032166801393032074,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.0029012486338615417,HSf3,year,hot_spell_frequency,,7
01057_Plön,-0.012842761352658272,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,-0.01811060681939125,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,-0.011389870196580887,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.01875070482492447,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,-0.019032122567296028,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.005469068884849548,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.05033101141452789,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.0884094089269638,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,-0.06666666269302368,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.014156728982925415,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,-0.029768869280815125,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,-0.1148977279663086,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,-0.1112692803144455,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,-0.13089732825756073,HSf3,year,hot_spell_frequency,,7
03153_Goslar,-0.007874920964241028,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,-0.07867699861526489,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.020253319293260574,HSf3,year,hot_spell_frequency,,7
03157_Peine,-0.04646797478199005,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,-0.05398905277252197,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,-0.002299360930919647,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.029835030436515808,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.053450971841812134,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.009330488741397858,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.015449896454811096,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,9.346380829811096e-05,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.062296971678733826,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.05311068892478943,HSf3,year,hot_spell_frequency,,7
03351_Celle,-0.0605180487036705,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,-0.022677045315504074,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.0022772476077079773,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,-0.26789215207099915,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,-0.09703902900218964,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.008605696260929108,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.035287514328956604,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.0019136369228363037,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.0067018307745456696,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,-0.10162541270256042,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.05057148635387421,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.05014978349208832,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.06666666269302368,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,-0.12122464179992676,HSf3,year,hot_spell_frequency,,7
03402_Emden,-0.1918622851371765,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.018961511552333832,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),-0.02279088646173477,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,-0.01198432594537735,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,-0.008951973170042038,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,-0.02246832847595215,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,-0.021809440106153488,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,-0.013444110751152039,HSf3,year,hot_spell_frequency,,7
03452_Aurich,-0.12109750509262085,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,0.023764371871948242,HSf3,year,hot_spell_frequency,,7
03454_Emsland,-0.06657552719116211,HSf3,year,hot_spell_frequency,,7
03455_Friesland,-0.025327622890472412,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,-0.030519992113113403,HSf3,year,hot_spell_frequency,,7
03457_Leer,-0.11397695541381836,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,0.034395456314086914,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,-0.006284765899181366,HSf3,year,hot_spell_frequency,,7
03460_Vechta,0.025938406586647034,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,-0.004243820905685425,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,-0.07010716199874878,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.04134321212768555,HSf3,year,hot_spell_frequency,,7
04011_Bremen,0.05014020949602127,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,-0.017781198024749756,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,-0.06737935543060303,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.07224435359239578,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,0.09457139670848846,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.051179707050323486,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,0.064613938331604,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.03278367966413498,HSf3,year,hot_spell_frequency,,7
05113_Essen,0.06852976977825165,HSf3,year,hot_spell_frequency,,7
