region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
04012_03352_03461_Region_um_Bremerhaven,1.4243278503417969,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,1.3060002326965332,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,2.189077615737915,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,2.217576026916504,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.9697171449661255,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,2.151383638381958,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.6868908405303955,HSf3,year,hot_spell_frequency,,7
05113_Essen,1.7098734378814697,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,2.166961193084717,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,2.2933340072631836,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,2.366373062133789,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,2.339022636413574,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.8645001649856567,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,1.821042537689209,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.9358454942703247,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,1.9403104782104492,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.4960331916809082,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,1.4575753211975098,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.679498314857483,HSf3,year,hot_spell_frequency,,7
05122_Solingen,1.757045030593872,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.4371869564056396,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,1.4616243839263916,HSf3,year,hot_spell_frequency,,7
05154_Kleve,1.9839262962341309,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,1.7741553783416748,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,2.490870475769043,HSf3,year,hot_spell_frequency,,7
05166_Viersen,2.2574429512023926,HSf3,year,hot_spell_frequency,,7
05170_Wesel,1.9919047355651855,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,1.9121205806732178,HSf3,year,hot_spell_frequency,,7
05314_Bonn,2.422609329223633,HSf3,year,hot_spell_frequency,,7
05315_Köln,2.538998603820801,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,1.952854037284851,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,2.1206798553466797,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,1.285367488861084,HSf3,year,hot_spell_frequency,,7
05358_Düren,2.0551950931549072,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,2.547234535217285,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,1.1561142206192017,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,2.3573825359344482,HSf3,year,hot_spell_frequency,,7
