region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
04012_03352_03461_Region_um_Bremerhaven,0.6440060138702393,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,0.6997467279434204,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,1.7299399375915527,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,1.7730820178985596,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,1.613162636756897,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,1.800475001335144,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.5644747018814087,HSf3,year,hot_spell_frequency,,7
05113_Essen,1.6017043590545654,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.627990961074829,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,1.8024544715881348,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.7110772132873535,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,1.6530872583389282,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.6829488277435303,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,1.6694995164871216,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.5694072246551514,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,1.7366762161254883,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.3413336277008057,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,1.2121635675430298,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.521925926208496,HSf3,year,hot_spell_frequency,,7
05122_Solingen,1.5565376281738281,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.365264654159546,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,1.314265489578247,HSf3,year,hot_spell_frequency,,7
05154_Kleve,1.3984992504119873,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,1.6100516319274902,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,1.707580804824829,HSf3,year,hot_spell_frequency,,7
05166_Viersen,1.7023791074752808,HSf3,year,hot_spell_frequency,,7
05170_Wesel,1.4696435928344727,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,1.649082899093628,HSf3,year,hot_spell_frequency,,7
05314_Bonn,1.784278154373169,HSf3,year,hot_spell_frequency,,7
05315_Köln,1.9753903150558472,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,1.692521095275879,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,1.815330982208252,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,1.1545774936676025,HSf3,year,hot_spell_frequency,,7
05358_Düren,1.4796180725097656,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,1.8424279689788818,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,1.052778720855713,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,1.617424726486206,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,1.2740823030471802,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,1.5677506923675537,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.6321450471878052,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.5680280923843384,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,1.7022709846496582,HSf3,year,hot_spell_frequency,,7
