region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.14156146,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.13698186,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.19729654,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.19337197,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.2780464,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.28395492,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.22662652,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.28133175,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.18921064,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.36453563,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.12262031,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.14878227,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.33521247,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.1711825,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.21052305,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.14168157,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.2973733,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.26758584,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.33844176,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.39466178,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.50179887,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.5095736,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.43913385,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.48761648,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.5008591,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.50452816,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.49985912,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.29750043,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.50205874,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.449022,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.5162988,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.4967371,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.4290873,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.5063498,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.43438923,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.42568967,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.46305075,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.40844455,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.47884554,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.44990185,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.48262563,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.25812608,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.38756666,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,0.502671,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.4365425,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.364624,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.36905888,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.43833765,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.30756217,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.44794905,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.43363154,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.39050713,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.3965097,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.22199622,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.17678393,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.33652896,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),0.35464862,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,0.43503353,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,0.4143224,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.18633464,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.12218554,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,0.32494146,HSf3,year,hot_spell_frequency,,7
03452_Aurich,0.177656,HSf3,year,hot_spell_frequency,,7
