region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-0.1196541041135788,HSf3,year,hot_spell_frequency,,7
04011_Bremen,-0.08692465722560883,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,-0.13917705416679382,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,-0.19443152844905853,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,-0.12305910885334015,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,-0.12379337847232819,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-0.060908183455467224,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,-0.08615770936012268,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-0.02909903973340988,HSf3,year,hot_spell_frequency,,7
05113_Essen,-0.02687421441078186,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-0.11651790142059326,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,-0.15015557408332825,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-0.18469442427158356,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,-0.19001653790473938,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-0.040069520473480225,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,-0.1038743108510971,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-0.06680405139923096,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,-0.13657495379447937,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-0.03149331361055374,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,-0.0411067008972168,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,-0.012488313019275665,HSf3,year,hot_spell_frequency,,7
05122_Solingen,-0.02753150463104248,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.02523598074913025,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,-0.038408756256103516,HSf3,year,hot_spell_frequency,,7
05154_Kleve,-0.11504721641540527,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,-0.03282332420349121,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,-0.2168625295162201,HSf3,year,hot_spell_frequency,,7
05166_Viersen,-0.14421315491199493,HSf3,year,hot_spell_frequency,,7
05170_Wesel,-0.12260937690734863,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.0025064200162887573,HSf3,year,hot_spell_frequency,,7
05314_Bonn,-0.0311223566532135,HSf3,year,hot_spell_frequency,,7
05315_Köln,-0.15022391080856323,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.044245123863220215,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,-0.10828503966331482,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,-0.0339915007352829,HSf3,year,hot_spell_frequency,,7
05358_Düren,-0.09763118624687195,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,-0.2036948800086975,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,-0.02301902323961258,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,-0.19006218016147614,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,-0.06867821514606476,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-0.02219468355178833,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.006719574332237244,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.04257442057132721,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,-0.055561259388923645,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.02502863109111786,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,-0.02464105188846588,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,-0.07505735754966736,HSf3,year,hot_spell_frequency,,7
05515_Münster,-0.07858163118362427,HSf3,year,hot_spell_frequency,,7
05554_Borken,-0.1254425346851349,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,-0.059744179248809814,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,-0.03614947199821472,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,-0.11038783192634583,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,-0.03913882374763489,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.049930959939956665,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,-0.036247074604034424,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,-0.06781056523323059,HSf3,year,hot_spell_frequency,,7
05758_Herford,-0.04997527599334717,HSf3,year,hot_spell_frequency,,7
05762_Höxter,-0.04022805392742157,HSf3,year,hot_spell_frequency,,7
05766_Lippe,-0.038885802030563354,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,-0.05399861931800842,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,-0.02488952875137329,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.032462768256664276,HSf3,year,hot_spell_frequency,,7
05911_Bochum,-0.0419774204492569,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.039955511689186096,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,-0.07056576013565063,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.01875266432762146,HSf3,year,hot_spell_frequency,,7
05914_Hagen,-0.030685577541589737,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.03639143705368042,HSf3,year,hot_spell_frequency,,7
05915_Hamm,-0.07345657795667648,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,-0.026249781250953674,HSf3,year,hot_spell_frequency,,7
05916_Herne,-0.03627394139766693,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,-0.02927878499031067,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,-0.02370629832148552,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,-0.0427216999232769,HSf3,year,hot_spell_frequency,,7
05966_Olpe,-0.048480916768312454,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,-0.03613339364528656,HSf3,year,hot_spell_frequency,,7
05974_Soest,-0.03644925355911255,HSf3,year,hot_spell_frequency,,7
05978_Unna,-0.06016544997692108,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,-0.17718583345413208,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,-0.1674879789352417,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.0896521806716919,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,-0.22233039140701294,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-0.10334151983261108,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,-0.1666666865348816,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-0.07261908054351807,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,0.004689663648605347,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,-0.08665204048156738,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,-0.17636704444885254,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,-0.1695951223373413,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,0.005127950571477413,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,-0.06066608428955078,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-0.0597974956035614,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,-0.11299428343772888,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,-0.051650479435920715,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-0.11769047379493713,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,-0.18229442834854126,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.0007197671220637858,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,-0.07153710722923279,HSf3,year,hot_spell_frequency,,7
06531_Gießen,0.003416389226913452,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.008217860013246536,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,-0.012042492628097534,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,0.011653739959001541,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,0.0004964784020558,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,-0.03470957279205322,HSf3,year,hot_spell_frequency,,7
06611_Kassel,-0.021745886653661728,HSf3,year,hot_spell_frequency,,7
06631_Fulda,-0.006112605333328247,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,-0.050928354263305664,HSf3,year,hot_spell_frequency,,7
06633_Kassel,-0.0018673315644264221,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,-0.021834593266248703,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,6.650662544416264e-05,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,-0.03479494899511337,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,0.013671129941940308,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,0.0012577474117279053,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,-0.029146023094654083,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),-0.042257510125637054,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,0.0018001720309257507,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,4.151090979576111e-05,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,-0.03667745739221573,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,0.0220840685069561,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,0.0049445852637290955,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,-0.02138660103082657,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,-0.024528861045837402,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,-0.011097975075244904,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,-0.05561722815036774,HSf3,year,hot_spell_frequency,,7
07211_Trier,-0.07347971200942993,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,-0.016741618514060974,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,-0.026000507175922394,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,-0.028710104525089264,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,-0.05359874665737152,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-0.08228659629821777,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),-0.07091307640075684,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,-0.0029809772968292236,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,0.011544672772288322,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,-0.046418577432632446,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,-0.06008884310722351,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-0.08784598112106323,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,-0.08707422018051147,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,-0.11095118522644043,HSf3,year,hot_spell_frequency,,7
07315_Mainz,-0.15785086154937744,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,-0.054428279399871826,HSf3,year,hot_spell_frequency,,7
