region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05112_Duisburg,1.2762647,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,1.1408912,HSf3,year,hot_spell_frequency,,7
05113_Essen,1.1543437,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,1.2078905,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,1.2639207,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,1.2060438,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,1.1829045,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,1.2072333,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,1.2223442,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,1.1788822,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,1.2503175,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.95992047,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,0.85284907,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,1.0993047,HSf3,year,hot_spell_frequency,,7
05122_Solingen,1.0941038,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.9543711,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,0.93512976,HSf3,year,hot_spell_frequency,,7
05154_Kleve,1.0873969,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,1.182979,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,1.2893097,HSf3,year,hot_spell_frequency,,7
05166_Viersen,1.1962272,HSf3,year,hot_spell_frequency,,7
05170_Wesel,1.1467848,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,1.1717663,HSf3,year,hot_spell_frequency,,7
05314_Bonn,1.246197,HSf3,year,hot_spell_frequency,,7
05315_Köln,1.4067063,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,1.2388489,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,1.310233,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.76087856,HSf3,year,hot_spell_frequency,,7
05358_Düren,1.0021293,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,1.2780125,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.7334855,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,1.145312,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,0.8788687,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,1.1264876,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.1624411,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.1755925,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,1.2391769,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.1903863,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,1.251082,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,1.0282989,HSf3,year,hot_spell_frequency,,7
05515_Münster,1.0787115,HSf3,year,hot_spell_frequency,,7
05554_Borken,0.992398,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,1.0579969,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,1.1947471,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,0.96028966,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,1.083935,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,0.9388034,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,0.9700112,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,1.0457222,HSf3,year,hot_spell_frequency,,7
05758_Herford,0.925267,HSf3,year,hot_spell_frequency,,7
05762_Höxter,0.8727277,HSf3,year,hot_spell_frequency,,7
05766_Lippe,0.85429746,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,0.945215,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,0.8370117,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.1152157,HSf3,year,hot_spell_frequency,,7
05911_Bochum,1.1236049,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.0854999,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,1.1172674,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.8937674,HSf3,year,hot_spell_frequency,,7
05914_Hagen,0.8409653,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,1.0260578,HSf3,year,hot_spell_frequency,,7
05915_Hamm,1.1337042,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,1.1927475,HSf3,year,hot_spell_frequency,,7
05916_Herne,1.229627,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.8893705,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.58861065,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,0.7363178,HSf3,year,hot_spell_frequency,,7
05966_Olpe,0.70361066,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,0.6974084,HSf3,year,hot_spell_frequency,,7
05974_Soest,0.8888303,HSf3,year,hot_spell_frequency,,7
05978_Unna,1.111444,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,1.6047266,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,1.6532638,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,1.4445897,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,1.7175103,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,1.4325984,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,1.7618253,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.4670902,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,1.4969033,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,1.5566895,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,1.5431051,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,1.7586162,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,1.2499284,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,1.3034137,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.4273062,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,1.5334449,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,1.2735229,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,1.4827381,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,1.7063634,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,1.2161558,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,1.406065,HSf3,year,hot_spell_frequency,,7
06531_Gießen,1.2823483,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,1.0590637,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,1.1778843,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,1.0902817,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,0.99260205,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,0.91588414,HSf3,year,hot_spell_frequency,,7
06611_Kassel,0.96833545,HSf3,year,hot_spell_frequency,,7
06631_Fulda,0.9199689,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,1.0441424,HSf3,year,hot_spell_frequency,,7
06633_Kassel,0.9436099,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,1.0203985,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,0.83331096,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.96684736,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,1.0811889,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,1.2616893,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,0.87977636,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.91891,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,1.2914642,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,0.97423327,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,1.0595161,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,1.1143315,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,1.1487292,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,1.0061191,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,1.1489918,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,0.9800686,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,1.1099125,HSf3,year,hot_spell_frequency,,7
07211_Trier,1.1805431,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,1.0505773,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.8952757,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,0.7424551,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,1.101931,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.831245,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),1.8430635,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,1.3981191,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,1.2943114,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,1.6075757,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,1.5766777,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,1.8307958,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,1.8455592,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,1.607476,HSf3,year,hot_spell_frequency,,7
07315_Mainz,1.6287135,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,1.5724047,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,1.6186149,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,1.3752496,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,1.3464662,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.6995234,HSf3,year,hot_spell_frequency,,7
07318_Speyer,1.8377802,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.6124119,HSf3,year,hot_spell_frequency,,7
07319_Worms,1.749411,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,1.3678436,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,1.3486646,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,1.5703789,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,1.5222138,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,1.3670993,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,1.8273816,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,1.3027813,HSf3,year,hot_spell_frequency,,7
07336_Kusel,1.2849491,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,1.6119994,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.6788691,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,1.8299856,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,1.5296531,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,1.3772475,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,1.5137911,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,1.6229576,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,1.4136856,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,1.4336818,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,1.1514788,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,1.6501904,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,1.5087816,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,1.6418897,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,1.7101332,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,1.635226,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,1.4377378,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,1.3299582,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,1.3824557,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,1.1914585,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,1.2216179,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,1.3354043,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,1.3079985,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,1.733142,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,1.7630103,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,1.6883785,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,1.3405272,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,1.6626171,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,1.6717367,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,1.6644608,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,1.8206077,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,1.4127263,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,1.6395416,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,1.2130108,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,1.3394843,HSf3,year,hot_spell_frequency,,7
08235_Calw,1.0489396,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,1.417927,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,0.96423787,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.1856413,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,1.419621,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,1.0531677,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,1.401509,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,1.4536831,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,1.0490638,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.8166064,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,0.9492254,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,1.418392,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,1.3304114,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,1.2091612,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,0.93568873,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,1.3921233,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,0.92782545,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,1.1885287,HSf3,year,hot_spell_frequency,,7
08421_Ulm,1.2926018,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,1.127126,HSf3,year,hot_spell_frequency,,7
08426_Biberach,1.188653,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,1.232177,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,1.1185801,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,1.0443203,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,1.4947113,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,1.6153444,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,1.3779087,HSf3,year,hot_spell_frequency,,7
09162_München,1.502317,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,1.1686176,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,1.35395,HSf3,year,hot_spell_frequency,,7
09171_Altötting,1.5742352,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,0.6313798,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.6931071,HSf3,year,hot_spell_frequency,,7
09174_Dachau,1.4490149,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,1.3733535,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,1.4471402,HSf3,year,hot_spell_frequency,,7
09177_Erding,1.451996,HSf3,year,hot_spell_frequency,,7
09178_Freising,1.5041499,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,1.2890382,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.37861526,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,1.0862246,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,0.59129655,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,1.4989097,HSf3,year,hot_spell_frequency,,7
09184_München,1.3127518,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,1.535392,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,1.5095124,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,1.1634797,HSf3,year,hot_spell_frequency,,7
09188_Starnberg,1.1187351,HSf3,year,hot_spell_frequency,,7
09189_Traunstein,1.0464823,HSf3,year,hot_spell_frequency,,7
