region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.15230917930603027,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,0.13369646668434143,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,0.25994381308555603,HSf3,year,hot_spell_frequency,,7
01002_Kiel,0.23276731371879578,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.39877617359161377,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,0.4138292372226715,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.30265259742736816,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,0.4147863984107971,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,0.2893339991569519,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,0.5174734592437744,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,0.1432938575744629,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,0.1708945631980896,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,0.43451303243637085,HSf3,year,hot_spell_frequency,,7
01057_Plön,0.20696716010570526,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,0.2718355059623718,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,0.1536560356616974,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,0.4085630178451538,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,0.4235731363296509,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,0.452223539352417,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,0.523561954498291,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.7750245332717896,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,0.754896342754364,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.6615785956382751,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,0.7575329542160034,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,0.7768071889877319,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,0.7779718041419983,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,0.7845847606658936,HSf3,year,hot_spell_frequency,,7
03153_Goslar,0.44184476137161255,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,0.7462811470031738,HSf3,year,hot_spell_frequency,,7
03155_Northeim,0.6174885630607605,HSf3,year,hot_spell_frequency,,7
03157_Peine,0.7712686061859131,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,0.7421979904174805,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,0.6054736971855164,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,0.7438192367553711,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,0.624266505241394,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,0.6060110330581665,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,0.6751560568809509,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,0.5628437399864197,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),0.7214697599411011,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,0.6588974595069885,HSf3,year,hot_spell_frequency,,7
03351_Celle,0.7497892379760742,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,0.38659006357192993,HSf3,year,hot_spell_frequency,,7
03353_Harburg,0.5211206674575806,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,0.7503018975257874,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,0.5997089743614197,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,0.5296627283096313,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),0.4983958303928375,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,0.6366779208183289,HSf3,year,hot_spell_frequency,,7
03359_Stade,0.4147254228591919,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,0.6355361342430115,HSf3,year,hot_spell_frequency,,7
03361_Verden,0.6126313209533691,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5362017750740051,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,0.5333386063575745,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,0.35428160429000854,HSf3,year,hot_spell_frequency,,7
03402_Emden,0.2550906538963318,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.49072110652923584,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),0.43833234906196594,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,0.7064303159713745,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,0.6999057531356812,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,0.35665470361709595,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,0.16454960405826569,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,0.48024672269821167,HSf3,year,hot_spell_frequency,,7
03452_Aurich,0.30416470766067505,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,0.5394114255905151,HSf3,year,hot_spell_frequency,,7
03454_Emsland,0.5364776849746704,HSf3,year,hot_spell_frequency,,7
03455_Friesland,0.36551010608673096,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,0.6063665151596069,HSf3,year,hot_spell_frequency,,7
03457_Leer,0.452762633562088,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,0.5148221254348755,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,0.6970037817955017,HSf3,year,hot_spell_frequency,,7
03460_Vechta,0.5995982885360718,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,0.45051711797714233,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,0.3135852813720703,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.5043216347694397,HSf3,year,hot_spell_frequency,,7
04011_Bremen,0.5737980604171753,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,0.37600719928741455,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,0.3388858437538147,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.9921857118606567,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,1.071555495262146,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.8964332342147827,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,1.020240306854248,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.8766441345214844,HSf3,year,hot_spell_frequency,,7
05113_Essen,0.8958767056465149,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.9048424959182739,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,0.9771680235862732,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.9256908297538757,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,0.9103487133979797,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.9489753842353821,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,0.9860391020774841,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.8958051204681396,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,1.0213834047317505,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.7243611216545105,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,0.6871669292449951,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.8330538272857666,HSf3,year,hot_spell_frequency,,7
05122_Solingen,0.8367626667022705,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.714620053768158,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,0.7037338018417358,HSf3,year,hot_spell_frequency,,7
05154_Kleve,0.786518931388855,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,0.9086016416549683,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,0.9689852595329285,HSf3,year,hot_spell_frequency,,7
05166_Viersen,0.930922269821167,HSf3,year,hot_spell_frequency,,7
05170_Wesel,0.8832554221153259,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.9649443626403809,HSf3,year,hot_spell_frequency,,7
05314_Bonn,1.0275322198867798,HSf3,year,hot_spell_frequency,,7
05315_Köln,1.1175129413604736,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,0.9826487302780151,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,1.076927661895752,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.5666019320487976,HSf3,year,hot_spell_frequency,,7
05358_Düren,0.7818024754524231,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.982250452041626,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.5457726120948792,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,0.9201306104660034,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,0.6593596935272217,HSf3,year,hot_spell_frequency,,7
