region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.4638288021087646,HSf3,year,hot_spell_frequency,,7
01001_Flensburg,1.4029262065887451,HSf3,year,hot_spell_frequency,,7
01002_01057_01058_Region_um_Kiel,1.8371448516845703,HSf3,year,hot_spell_frequency,,7
01002_Kiel,1.9983359575271606,HSf3,year,hot_spell_frequency,,7
01003_13074_01055_01053_01062_Region_um_Lübeck,2.1807501316070557,HSf3,year,hot_spell_frequency,,7
01003_Lübeck,2.1550798416137695,HSf3,year,hot_spell_frequency,,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.9577350616455078,HSf3,year,hot_spell_frequency,,7
01004_Neumünster,2.2145512104034424,HSf3,year,hot_spell_frequency,,7
01051_Dithmarschen,1.6905474662780762,HSf3,year,hot_spell_frequency,,7
01053_Herzogtum Lauenburg,2.506241798400879,HSf3,year,hot_spell_frequency,,7
01054_Nordfriesland,1.2522006034851074,HSf3,year,hot_spell_frequency,,7
01055_Ostholstein,1.5799593925476074,HSf3,year,hot_spell_frequency,,7
01056_Pinneberg,2.3312268257141113,HSf3,year,hot_spell_frequency,,7
01057_Plön,1.7403762340545654,HSf3,year,hot_spell_frequency,,7
01058_Rendsburg-Eckernförde,1.8763303756713867,HSf3,year,hot_spell_frequency,,7
01059_Schleswig-Flensburg,1.465425968170166,HSf3,year,hot_spell_frequency,,7
01060_Segeberg,2.2466845512390137,HSf3,year,hot_spell_frequency,,7
01061_Steinburg,2.1573550701141357,HSf3,year,hot_spell_frequency,,7
01062_Stormarn,2.387942314147949,HSf3,year,hot_spell_frequency,,7
02000_Hamburg,2.444314479827881,HSf3,year,hot_spell_frequency,,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,3.180631160736084,HSf3,year,hot_spell_frequency,,7
03101_Braunschweig,3.2488417625427246,HSf3,year,hot_spell_frequency,,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.0914459228515625,HSf3,year,hot_spell_frequency,,7
03102_Salzgitter,3.336419105529785,HSf3,year,hot_spell_frequency,,7
03103_03154_03151_Region_um_Wolfsburg,3.0975260734558105,HSf3,year,hot_spell_frequency,,7
03103_Wolfsburg,3.0884292125701904,HSf3,year,hot_spell_frequency,,7
03151_Gifhorn,3.0749197006225586,HSf3,year,hot_spell_frequency,,7
03153_Goslar,2.554072618484497,HSf3,year,hot_spell_frequency,,7
03154_Helmstedt,3.15309739112854,HSf3,year,hot_spell_frequency,,7
03155_Northeim,3.126643180847168,HSf3,year,hot_spell_frequency,,7
03157_Peine,3.284783363342285,HSf3,year,hot_spell_frequency,,7
03158_Wolfenbüttel,3.3172755241394043,HSf3,year,hot_spell_frequency,,7
03159_Göttingen,3.1481244564056396,HSf3,year,hot_spell_frequency,,7
03241_Region Hannover,3.14100980758667,HSf3,year,hot_spell_frequency,,7
03251_Diepholz,2.90108060836792,HSf3,year,hot_spell_frequency,,7
03252_Hameln-Pyrmont,2.9269697666168213,HSf3,year,hot_spell_frequency,,7
03254_Hildesheim,3.2278521060943604,HSf3,year,hot_spell_frequency,,7
03255_Holzminden,2.949693202972412,HSf3,year,hot_spell_frequency,,7
03256_Nienburg (Weser),3.0247836112976074,HSf3,year,hot_spell_frequency,,7
03257_Schaumburg,2.9535622596740723,HSf3,year,hot_spell_frequency,,7
03351_Celle,2.8588461875915527,HSf3,year,hot_spell_frequency,,7
03352_Cuxhaven,2.0924816131591797,HSf3,year,hot_spell_frequency,,7
03353_Harburg,2.490499496459961,HSf3,year,hot_spell_frequency,,7
03354_Lüchow-Dannenberg,2.9592812061309814,HSf3,year,hot_spell_frequency,,7
03355_Lüneburg,2.7066457271575928,HSf3,year,hot_spell_frequency,,7
03356_Osterholz,2.6082324981689453,HSf3,year,hot_spell_frequency,,7
03357_Rotenburg (Wümme),2.5101752281188965,HSf3,year,hot_spell_frequency,,7
03358_Heidekreis,2.6912012100219727,HSf3,year,hot_spell_frequency,,7
03359_Stade,2.27107572555542,HSf3,year,hot_spell_frequency,,7
03360_Uelzen,2.7829158306121826,HSf3,year,hot_spell_frequency,,7
03361_Verden,2.7956290245056152,HSf3,year,hot_spell_frequency,,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,2.570621967315674,HSf3,year,hot_spell_frequency,,7
03401_Delmenhorst,2.5999975204467773,HSf3,year,hot_spell_frequency,,7
03402_03452_03457_Region_um_Emden,1.8699169158935547,HSf3,year,hot_spell_frequency,,7
03402_Emden,1.6211626529693604,HSf3,year,hot_spell_frequency,,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),2.2790818214416504,HSf3,year,hot_spell_frequency,,7
03403_Oldenburg (Oldb),2.2223904132843018,HSf3,year,hot_spell_frequency,,7
03404_03459_05566_Region_um_Osnabrück,2.8053414821624756,HSf3,year,hot_spell_frequency,,7
03404_Osnabrück,2.810610294342041,HSf3,year,hot_spell_frequency,,7
03405_03455_Region_um_Wilhelmshaven,1.6147246360778809,HSf3,year,hot_spell_frequency,,7
03405_Wilhelmshaven,1.237695336341858,HSf3,year,hot_spell_frequency,,7
03451_Ammerland,2.250196933746338,HSf3,year,hot_spell_frequency,,7
03452_Aurich,1.6352355480194092,HSf3,year,hot_spell_frequency,,7
03453_Cloppenburg,2.3618204593658447,HSf3,year,hot_spell_frequency,,7
03454_Emsland,2.512040853500366,HSf3,year,hot_spell_frequency,,7
03455_Friesland,1.6811436414718628,HSf3,year,hot_spell_frequency,,7
03456_Grafschaft Bentheim,2.558809280395508,HSf3,year,hot_spell_frequency,,7
03457_Leer,2.183558940887451,HSf3,year,hot_spell_frequency,,7
03458_Oldenburg,2.5103697776794434,HSf3,year,hot_spell_frequency,,7
03459_Osnabrück,2.783963203430176,HSf3,year,hot_spell_frequency,,7
03460_Vechta,2.7525062561035156,HSf3,year,hot_spell_frequency,,7
03461_Wesermarsch,2.1550817489624023,HSf3,year,hot_spell_frequency,,7
03462_Wittmund,1.5815895795822144,HSf3,year,hot_spell_frequency,,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,2.3637571334838867,HSf3,year,hot_spell_frequency,,7
04011_Bremen,2.648554801940918,HSf3,year,hot_spell_frequency,,7
04012_03352_03461_Region_um_Bremerhaven,2.104539632797241,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,1.8790298700332642,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,3.2980546951293945,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,3.4025301933288574,HSf3,year,hot_spell_frequency,,7
