region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05112_Duisburg,0.51978374,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.4477503,HSf3,year,hot_spell_frequency,,7
05113_Essen,0.4530774,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.4877176,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,0.5176582,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.48808584,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,0.471272,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.4807808,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,0.46850088,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.47179532,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,0.50474846,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.36405808,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,0.32457533,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.43560144,HSf3,year,hot_spell_frequency,,7
05122_Solingen,0.43481138,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.36056843,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,0.35945222,HSf3,year,hot_spell_frequency,,7
05154_Kleve,0.43947354,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,0.47081986,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,0.5270196,HSf3,year,hot_spell_frequency,,7
05166_Viersen,0.47920483,HSf3,year,hot_spell_frequency,,7
05170_Wesel,0.45961198,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.46178213,HSf3,year,hot_spell_frequency,,7
05314_Bonn,0.4984378,HSf3,year,hot_spell_frequency,,7
05315_Köln,0.5998922,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,0.5073425,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,0.54662395,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.27593678,HSf3,year,hot_spell_frequency,,7
05358_Düren,0.3940829,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.528397,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.25280327,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,0.4650806,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,0.31897527,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.45063838,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.45718977,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.46811193,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,0.50229794,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.46970266,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,0.4982078,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,0.3903677,HSf3,year,hot_spell_frequency,,7
05515_Münster,0.40881318,HSf3,year,hot_spell_frequency,,7
05554_Borken,0.39120176,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,0.4087201,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,0.4715626,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,0.36401758,HSf3,year,hot_spell_frequency,,7
