region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
04012_03352_03461_Region_um_Bremerhaven,0.11433745920658112,HSf3,year,hot_spell_frequency,,7
04012_Bremerhaven,0.09487918019294739,HSf3,year,hot_spell_frequency,,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.389438271522522,HSf3,year,hot_spell_frequency,,7
05111_Düsseldorf,0.4313259720802307,HSf3,year,hot_spell_frequency,,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.3713430166244507,HSf3,year,hot_spell_frequency,,7
05112_Duisburg,0.4188694655895233,HSf3,year,hot_spell_frequency,,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.316897451877594,HSf3,year,hot_spell_frequency,,7
05113_Essen,0.3356723189353943,HSf3,year,hot_spell_frequency,,7
05114_05112_05162_05166_05170_Region_um_Krefeld,0.39218050241470337,HSf3,year,hot_spell_frequency,,7
05114_Krefeld,0.43694642186164856,HSf3,year,hot_spell_frequency,,7
05116_05370_05166_05162_Region_um_Mönchengladbach,0.35670405626296997,HSf3,year,hot_spell_frequency,,7
05116_Mönchengladbach,0.3487294018268585,HSf3,year,hot_spell_frequency,,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.36904722452163696,HSf3,year,hot_spell_frequency,,7
05117_Mülheim an der Ruhr,0.37788665294647217,HSf3,year,hot_spell_frequency,,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.3452160358428955,HSf3,year,hot_spell_frequency,,7
05119_Oberhausen,0.395595520734787,HSf3,year,hot_spell_frequency,,7
05120_05124_05122_05378_05374_Region_um_Remscheid,0.21432644128799438,HSf3,year,hot_spell_frequency,,7
05120_Remscheid,0.1999811828136444,HSf3,year,hot_spell_frequency,,7
05122_05158_05124_05378_05120_Region_um_Solingen,0.3079412579536438,HSf3,year,hot_spell_frequency,,7
05122_Solingen,0.3169897198677063,HSf3,year,hot_spell_frequency,,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.22536951303482056,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,0.19868114590644836,HSf3,year,hot_spell_frequency,,7
05154_Kleve,0.4036276042461395,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,0.3556337356567383,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,0.39608731865882874,HSf3,year,hot_spell_frequency,,7
05166_Viersen,0.37009841203689575,HSf3,year,hot_spell_frequency,,7
05170_Wesel,0.3399219214916229,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,0.32902657985687256,HSf3,year,hot_spell_frequency,,7
