region,DD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-12.289794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-12.682052612304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-14.110885620117188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-13.520278930664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-15.404159545898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-12.504379272460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-13.776473999023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-14.612228393554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-12.603683471679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-12.874618530273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-11.288238525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-12.307586669921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-15.101654052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-11.68377685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-14.764450073242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-16.664260864257812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-15.559463500976562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-14.514572143554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-12.376846313476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-16.46728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-10.5517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-12.919418334960938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-15.501815795898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-15.828262329101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-14.717315673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-15.759674072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-17.4837646484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-13.011367797851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-14.584945678710938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-13.689544677734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-15.0655517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-18.4185791015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-15.254653930664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-15.243316650390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-19.09326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,-14.100051879882812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-12.037704467773438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-14.102371215820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,-18.17388916015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),-17.649215698242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,-16.347030639648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,-16.519241333007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-11.059768676757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,-18.347091674804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,-17.464447021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-21.99884033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),-17.863540649414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,-14.051193237304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,-20.665435791015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,-18.736541748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,-21.52703857421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,-18.922225952148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,-19.713302612304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,-19.14178466796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,-18.917770385742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,-20.40966796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,-16.538650512695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,-16.518905639648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,-17.5872802734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,-20.248275756835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,-19.469863891601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,-18.282440185546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
