region,DD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,20.17413330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,17.803497314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,16.792526245117188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,19.02874755859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,18.54925537109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,16.85162353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,19.780181884765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,17.982681274414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,17.776382446289062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,18.026947021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,20.182830810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,18.362838745117188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,18.364227294921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,17.677078247070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,18.520904541015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,14.963607788085938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,15.369384765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,15.835922241210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,16.376754760742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,18.710601806640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,22.49945068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,16.069381713867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,18.839950561523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,15.59564208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,14.484832763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,16.336959838867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,18.831405639648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,20.425491333007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,17.756240844726562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,20.335113525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,18.142318725585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),18.38018798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,19.91009521484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,17.647567749023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,19.161178588867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
