region,DD_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,1.3200475,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,0.78480744,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,0.47963166,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,0.459221,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-0.71915126,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,0.6255892,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-0.4982993,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,0.24541621,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,0.7606472,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,0.3978285,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,0.6766944,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,0.8792789,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-0.1124297,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,0.82934225,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,0.36734116,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-0.48150688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-0.6396998,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,0.06929016,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,0.3829466,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,0.46786284,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,1.8125969,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-0.21563293,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,0.46771562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-0.23586099,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-0.72303796,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,0.43635854,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,1.1419493,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,1.0795336,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-0.04545165,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,1.1209149,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,0.13566911,DD,year,days_with_precipitation_amount_below_threshold,days,7
