region,DD_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-12.71942138671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-12.514373779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-11.900604248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-13.61700439453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-17.76019287109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-13.594406127929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-17.064346313476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-10.53021240234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-11.7613525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-13.27490234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-13.067962646484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-12.826263427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-16.314041137695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-13.071121215820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-15.335952758789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-14.652435302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-14.708938598632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-13.164566040039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-12.651809692382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-15.787841796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-13.271224975585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-12.564987182617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-13.061965942382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-14.143264770507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-14.270126342773438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-13.653823852539062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-14.562896728515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-11.645004272460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-13.088104248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-12.689239501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-16.619781494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-14.91424560546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-13.545028686523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-14.704208374023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-16.61846923828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,-14.284988403320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-13.64630126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-14.602767944335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,-15.516342163085938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),-16.693634033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,-15.286224365234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,-16.553680419921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-12.323699951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,-16.217208862304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,-13.854232788085938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-17.552383422851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),-14.42816162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,-14.518524169921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
