region,ci_name,ci_frequency,standard_name,units,mid_month,DD_year_3C_rcp85_ensemble-robustness
12073_Uckermark,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13003_Rostock,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13004_Schwerin,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13072_Rostock,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13076_Ludwigslust-Parchim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13071_Mecklenburgische Seenplatte,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13073_Vorpommern-Rügen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13074_Nordwestmecklenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13075_Vorpommern-Greifswald,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14511_Chemnitz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14522_Mittelsachsen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14523_Vogtlandkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14521_Erzgebirgskreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14524_Zwickau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14612_Dresden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14626_Görlitz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14625_Bautzen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14627_Meißen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14628_Sächsische Schweiz-Osterzgebirge,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14713_Leipzig,DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
14729_Leipzig,DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
14730_Nordsachsen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15001_Dessau-Roßlau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15082_Anhalt-Bitterfeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15091_Wittenberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15002_Halle (Saale),DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
15084_Burgenlandkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15088_Saalekreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
15087_Mansfeld-Südharz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15003_Magdeburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15085_Harz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15086_Jerichower Land,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15083_Börde,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15090_Stendal,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15089_Salzlandkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15081_Altmarkkreis Salzwedel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16051_Erfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
16052_Gera,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16053_Jena,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16054_Suhl,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
16055_Weimar,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16056_Eisenach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16061_Eichsfeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16062_Nordhausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16063_Wartburgkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16064_Unstrut-Hainich-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16065_Kyffhäuserkreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16066_Schmalkalden-Meiningen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
16067_Gotha,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16068_Sömmerda,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16069_Hildburghausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
16070_Ilm-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16071_Weimarer Land,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16072_Sonneberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
16073_Saalfeld-Rudolstadt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16074_Saale-Holzland-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16075_Saale-Orla-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16076_Greiz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16077_Altenburger Land,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01001_01059_Region_um_Flensburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01002_01057_01058_Region_um_Kiel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01003_13074_01055_01053_01062_Region_um_Lübeck,DD,year,days_with_precipitation_amount_below_threshold,days,7,
01004_01058_01060_01057_01002_Region_um_Neumünster,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03103_03154_03151_Region_um_Wolfsburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03401_03458_04011_03251_03461_Region_um_Delmenhorst,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03402_03452_03457_Region_um_Emden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),DD,year,days_with_precipitation_amount_below_threshold,days,7,
03404_03459_05566_Region_um_Osnabrück,DD,year,days_with_precipitation_amount_below_threshold,days,7,
03405_03455_Region_um_Wilhelmshaven,DD,year,days_with_precipitation_amount_below_threshold,days,7,
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
04012_03352_03461_Region_um_Bremerhaven,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05111_05162_05158_05112_Region_um_Düsseldorf,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05114_05112_05162_05166_05170_Region_um_Krefeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05116_05370_05166_05162_Region_um_Mönchengladbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05120_05124_05122_05378_05374_Region_um_Remscheid,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05122_05158_05124_05378_05120_Region_um_Solingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05314_05382_Region_um_Bonn,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05316_05315_05378_05158_Region_um_Leverkusen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05515_05566_05558_05570_Region_um_Münster,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05711_05754_05758_05766_Region_um_Bielefeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05914_05954_05913_05978_05962_Region_um_Hagen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
05915_05978_05974_05570_05558_Region_um_Hamm,DD,year,days_with_precipitation_amount_below_threshold,days,7,
05916_05513_05562_05911_Region_um_Herne,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06411_06432_06438_Region_um_Darmstadt,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06413_06438_06435_06412_Region_um_Offenbach_am_Main,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
06611_06633_03159_Region_um_Kassel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
07111_07137_07141_07143_Region_um_Koblenz,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07211_07235_Region_um_Trier,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),DD,year,days_with_precipitation_amount_below_threshold,days,7,
07312_07335_07332_Region_um_Kaiserslautern,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07313_07337_Region_um_Landau_in_der_Pfalz,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,DD,year,days_with_precipitation_amount_below_threshold,days,7,
07315_07339_06414_06433_Region_um_Mainz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07317_07340_Region_um_Pirmasens,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,DD,year,days_with_precipitation_amount_below_threshold,days,7,
07320_07340_10045_07317_Region_um_Zweibrücken,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08111_08115_08116_08118_08119_Region_um_Stuttgart,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08121_08125_Region_um_Heilbronn,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08211_08216_Region_um_Baden-Baden,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08212_08215_07334_Region_um_Karlsruhe,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08221_08226_08222_Region_um_Heidelberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08231_08236_08235_Region_um_Pforzheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08311_08316_08315_Region_um_Freiburg_im_Breisgau,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
08421_08425_09775_Region_um_Ulm,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09161_09176_09185_09186_Region_um_Ingolstadt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09162_09184_09179_09174_Region_um_München,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09163_09187_Region_um_Rosenheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09261_09274_Region_um_Landshut,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09262_09275_Region_um_Passau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09263_09278_Region_um_Straubing,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09361_09371_Region_um_Amberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09362_09375_Region_um_Regensburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09363_09374_Region_um_Weiden_in_der_Oberpfalz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09461_09471_Region_um_Bamberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09462_09472_Region_um_Bayreuth,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09463_09473_Region_um_Coburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09464_09475_Region_um_Hof,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09561_09571_Region_um_Ansbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09562_09572_09564_09563_Region_um_Erlangen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09563_09573_09562_09564_Region_um_Fürth,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09565_09576_09564_Region_um_Schwabach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09661_09671_09676_Region_um_Aschaffenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09662_09678_Region_um_Schweinfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09663_09679_Region_um_Würzburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09761_09772_09771_Region_um_Augsburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09762_09777_Region_um_Kaufbeuren,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09763_09780_Region_um_Kempten_(Allgäu),DD,year,days_with_precipitation_amount_below_threshold,days,7,
09764_09778_08436_Region_um_Memmingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12052_12071_Region_um_Cottbus,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12053_12067_12064_Region_um_Frankfurt_(Oder),DD,year,days_with_precipitation_amount_below_threshold,days,7,
12054_12063_12069_11000_12051_Region_um_Potsdam,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13003_13072_Region_um_Rostock,DD,year,days_with_precipitation_amount_below_threshold,days,7,
13004_13076_13074_Region_um_Schwerin,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14511_14524_14521_14522_Region_um_Chemnitz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14612_14627_14625_14628_Region_um_Dresden,DD,year,days_with_precipitation_amount_below_threshold,days,7,
14713_14729_14730_Region_um_Leipzig,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15001_15091_15082_Region_um_Dessau-Rolau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
15002_15088_Region_um_Halle_(Saale),DD,year,days_with_precipitation_amount_below_threshold,days,7,-1.0
15003_15083_15089_15086_Region_um_Magdeburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16052_16076_15084_16074_Region_um_Gera,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16053_16074_16071_16055_Region_um_Jena,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16054_16066_16069_16070_Region_um_Suhl,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
16055_16071_Region_um_Weimar,DD,year,days_with_precipitation_amount_below_threshold,days,7,
16056_16063_06636_Region_um_Eisenach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
