region,DD_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,11.71185302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,11.692428588867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,11.570281982421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,12.392822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,11.9898681640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,11.358657836914062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,11.909927368164062,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,11.731719970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,11.6092529296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,11.317840576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,11.68731689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,10.9454345703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,12.58453369140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,11.510543823242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,11.84332275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,8.525314331054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,10.600173950195312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,8.744354248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,9.004684448242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,10.615127563476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,13.529296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,8.723312377929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,10.722244262695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,9.187164306640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,9.949676513671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,9.461349487304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,11.106338500976562,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,12.581649780273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,10.443603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,12.117477416992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,11.903350830078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),10.099609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,12.5982666015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,10.016693115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,11.37628173828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
