region,DD_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,3.6770706176757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,1.473052978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,1.714385986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,2.1781768798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,1.3310775756835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,2.03228759765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,2.4085922241210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,2.0416336059570312,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,2.6696243286132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,1.69818115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,2.8061904907226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,2.6149444580078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,2.43359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,2.9692840576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,2.9784011840820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,3.594451904296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,1.9411392211914062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,3.9736251831054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,3.8619308471679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,3.8323211669921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,5.665168762207031,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,3.0619049072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,3.7571792602539062,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,2.975799560546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,2.464569091796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,2.7573089599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,4.778923034667969,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,3.4754638671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,3.2559661865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,3.6617279052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,2.845489501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),3.34716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,3.7738189697265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,4.2932586669921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,3.0633468627929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,3.7877197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,2.3256759643554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,2.6719436645507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,3.6549301147460938,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),3.97149658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
