region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,4.768552780151367,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,5.628883361816406,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,4.863725662231445,DSx5,year,dry_spell_duration,days,7
01002_Kiel,4.984859466552734,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,4.73183536529541,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,4.932384490966797,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,4.801565170288086,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,4.934980392456055,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,4.957000732421875,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,3.826300621032715,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,4.971395492553711,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,5.646257400512695,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,5.918645858764648,DSx5,year,dry_spell_duration,days,7
01057_Plön,5.446030616760254,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,4.765464782714844,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,4.745983123779297,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,5.282953262329102,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,5.62584114074707,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,5.196907043457031,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,5.645481109619141,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,5.627410888671875,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,5.621677398681641,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,5.3570709228515625,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,5.418806076049805,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,5.732301712036133,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,6.775922775268555,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,5.30511474609375,DSx5,year,dry_spell_duration,days,7
03153_Goslar,5.005285263061523,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,6.406745910644531,DSx5,year,dry_spell_duration,days,7
03155_Northeim,5.050926208496094,DSx5,year,dry_spell_duration,days,7
03157_Peine,4.880535125732422,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,5.955194473266602,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,5.87187385559082,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,5.018745422363281,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,3.6923084259033203,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,5.353618621826172,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,5.474042892456055,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,5.334362030029297,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),3.411447525024414,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,4.95140266418457,DSx5,year,dry_spell_duration,days,7
03351_Celle,5.2324371337890625,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,4.958637237548828,DSx5,year,dry_spell_duration,days,7
03353_Harburg,5.210365295410156,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,4.126058578491211,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,3.6825199127197266,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,4.513863563537598,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),4.894514083862305,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,3.6737117767333984,DSx5,year,dry_spell_duration,days,7
03359_Stade,6.200771331787109,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,4.260837554931641,DSx5,year,dry_spell_duration,days,7
03361_Verden,4.721306800842285,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,3.628790855407715,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,4.106281280517578,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,4.8600616455078125,DSx5,year,dry_spell_duration,days,7
03402_Emden,5.235979080200195,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),3.9215545654296875,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),3.733936309814453,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,4.066860198974609,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,4.453161239624023,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,6.316762924194336,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,5.764553070068359,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,4.185680389404297,DSx5,year,dry_spell_duration,days,7
03452_Aurich,4.88853645324707,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,4.045772552490234,DSx5,year,dry_spell_duration,days,7
03454_Emsland,4.643489837646484,DSx5,year,dry_spell_duration,days,7
03455_Friesland,6.414043426513672,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,4.303550720214844,DSx5,year,dry_spell_duration,days,7
03457_Leer,4.785785675048828,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,4.0149688720703125,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,4.280170440673828,DSx5,year,dry_spell_duration,days,7
