region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,10.157476425170898,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,10.202543258666992,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,10.740888595581055,DSx5,year,dry_spell_duration,days,7
01002_Kiel,9.954483032226562,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,12.416561126708984,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,12.168886184692383,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,11.249963760375977,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,11.295867919921875,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,10.735973358154297,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,14.120140075683594,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,9.57015609741211,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,10.891042709350586,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,13.877641677856445,DSx5,year,dry_spell_duration,days,7
01057_Plön,10.565162658691406,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,10.872394561767578,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,10.156293869018555,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,12.532424926757812,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,11.950815200805664,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,13.774402618408203,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,16.428550720214844,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,19.311368942260742,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,18.862430572509766,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,19.96521759033203,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,20.32062530517578,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,18.961891174316406,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,19.006227493286133,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,18.895936965942383,DSx5,year,dry_spell_duration,days,7
03153_Goslar,19.512039184570312,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,19.102102279663086,DSx5,year,dry_spell_duration,days,7
03155_Northeim,18.62908935546875,DSx5,year,dry_spell_duration,days,7
03157_Peine,20.63648223876953,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,19.332988739013672,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,19.652250289916992,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,20.239063262939453,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,20.748376846313477,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,19.016477584838867,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,20.528976440429688,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,18.688827514648438,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),21.89276123046875,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,20.621145248413086,DSx5,year,dry_spell_duration,days,7
03351_Celle,18.68189239501953,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,12.868049621582031,DSx5,year,dry_spell_duration,days,7
03353_Harburg,16.3641357421875,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,17.8920955657959,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,16.761049270629883,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,15.518945693969727,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),15.541540145874023,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,19.19171714782715,DSx5,year,dry_spell_duration,days,7
03359_Stade,13.050661087036133,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,19.160165786743164,DSx5,year,dry_spell_duration,days,7
03361_Verden,18.837841033935547,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,19.35451889038086,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,18.891389846801758,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,14.716148376464844,DSx5,year,dry_spell_duration,days,7
03402_Emden,14.26043701171875,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),17.5777530670166,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),16.74787139892578,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,19.971403121948242,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,18.90345573425293,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,15.929332733154297,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,16.442686080932617,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,16.253694534301758,DSx5,year,dry_spell_duration,days,7
03452_Aurich,14.067392349243164,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,19.451557159423828,DSx5,year,dry_spell_duration,days,7
03454_Emsland,19.12743377685547,DSx5,year,dry_spell_duration,days,7
03455_Friesland,15.83890151977539,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,19.400035858154297,DSx5,year,dry_spell_duration,days,7
03457_Leer,15.558860778808594,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,20.358224868774414,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,19.083372116088867,DSx5,year,dry_spell_duration,days,7
03460_Vechta,19.895540237426758,DSx5,year,dry_spell_duration,days,7
03461_Wesermarsch,15.348888397216797,DSx5,year,dry_spell_duration,days,7
03462_Wittmund,15.24287223815918,DSx5,year,dry_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,16.75200653076172,DSx5,year,dry_spell_duration,days,7
04011_Bremen,17.949453353881836,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,13.600605010986328,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,14.496702194213867,DSx5,year,dry_spell_duration,days,7
