region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
09676_Miltenberg,DSx5,year,dry_spell_duration,days,7,
09677_Main-Spessart,DSx5,year,dry_spell_duration,days,7,
09678_Schweinfurt,DSx5,year,dry_spell_duration,days,7,
09679_Würzburg,DSx5,year,dry_spell_duration,days,7,
09761_09772_09771_Region_um_Augsburg,DSx5,year,dry_spell_duration,days,7,
09761_Augsburg,DSx5,year,dry_spell_duration,days,7,
09762_09777_Region_um_Kaufbeuren,DSx5,year,dry_spell_duration,days,7,
09762_Kaufbeuren,DSx5,year,dry_spell_duration,days,7,
09763_09780_Region_um_Kempten_(Allgäu),DSx5,year,dry_spell_duration,days,7,
09763_Kempten (Allgäu),DSx5,year,dry_spell_duration,days,7,
09764_09778_08436_Region_um_Memmingen,DSx5,year,dry_spell_duration,days,7,
09764_Memmingen,DSx5,year,dry_spell_duration,days,7,
09771_Aichach-Friedberg,DSx5,year,dry_spell_duration,days,7,
09772_Augsburg,DSx5,year,dry_spell_duration,days,7,
09773_Dillingen a.d. Donau,DSx5,year,dry_spell_duration,days,7,
09774_Günzburg,DSx5,year,dry_spell_duration,days,7,
09775_Neu-Ulm,DSx5,year,dry_spell_duration,days,7,
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),DSx5,year,dry_spell_duration,days,7,
09776_Lindau (Bodensee),DSx5,year,dry_spell_duration,days,7,
09777_Ostallgäu,DSx5,year,dry_spell_duration,days,7,
09778_Unterallgäu,DSx5,year,dry_spell_duration,days,7,
09779_Donau-Ries,DSx5,year,dry_spell_duration,days,7,
09780_Oberallgäu,DSx5,year,dry_spell_duration,days,7,
10041_Regionalverband Saarbrücken,DSx5,year,dry_spell_duration,days,7,1.0
10042_Merzig-Wadern,DSx5,year,dry_spell_duration,days,7,
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,DSx5,year,dry_spell_duration,days,7,
10043_Neunkirchen,DSx5,year,dry_spell_duration,days,7,
10044_Saarlouis,DSx5,year,dry_spell_duration,days,7,
10045_Saarpfalz-Kreis,DSx5,year,dry_spell_duration,days,7,
10046_St. Wendel,DSx5,year,dry_spell_duration,days,7,
11000_Berlin,DSx5,year,dry_spell_duration,days,7,
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,DSx5,year,dry_spell_duration,days,7,
12051_Brandenburg an der Havel,DSx5,year,dry_spell_duration,days,7,
12052_12071_Region_um_Cottbus,DSx5,year,dry_spell_duration,days,7,
12052_Cottbus,DSx5,year,dry_spell_duration,days,7,
12053_12067_12064_Region_um_Frankfurt_(Oder),DSx5,year,dry_spell_duration,days,7,
12053_Frankfurt (Oder),DSx5,year,dry_spell_duration,days,7,-1.0
12054_12063_12069_11000_12051_Region_um_Potsdam,DSx5,year,dry_spell_duration,days,7,
12054_Potsdam,DSx5,year,dry_spell_duration,days,7,
12060_Barnim,DSx5,year,dry_spell_duration,days,7,
12061_Dahme-Spreewald,DSx5,year,dry_spell_duration,days,7,
12062_Elbe-Elster,DSx5,year,dry_spell_duration,days,7,
12063_Havelland,DSx5,year,dry_spell_duration,days,7,
12064_Märkisch-Oderland,DSx5,year,dry_spell_duration,days,7,-1.0
12065_Oberhavel,DSx5,year,dry_spell_duration,days,7,
12066_Oberspreewald-Lausitz,DSx5,year,dry_spell_duration,days,7,
12067_Oder-Spree,DSx5,year,dry_spell_duration,days,7,
12068_Ostprignitz-Ruppin,DSx5,year,dry_spell_duration,days,7,
12069_Potsdam-Mittelmark,DSx5,year,dry_spell_duration,days,7,
12070_Prignitz,DSx5,year,dry_spell_duration,days,7,
12071_Spree-Neiße,DSx5,year,dry_spell_duration,days,7,
12072_Teltow-Fläming,DSx5,year,dry_spell_duration,days,7,
12073_Uckermark,DSx5,year,dry_spell_duration,days,7,
13003_13072_Region_um_Rostock,DSx5,year,dry_spell_duration,days,7,
13003_Rostock,DSx5,year,dry_spell_duration,days,7,
13004_13076_13074_Region_um_Schwerin,DSx5,year,dry_spell_duration,days,7,
13004_Schwerin,DSx5,year,dry_spell_duration,days,7,
13071_Mecklenburgische Seenplatte,DSx5,year,dry_spell_duration,days,7,
13072_Rostock,DSx5,year,dry_spell_duration,days,7,
13073_Vorpommern-Rügen,DSx5,year,dry_spell_duration,days,7,
13074_Nordwestmecklenburg,DSx5,year,dry_spell_duration,days,7,
13075_Vorpommern-Greifswald,DSx5,year,dry_spell_duration,days,7,
13076_Ludwigslust-Parchim,DSx5,year,dry_spell_duration,days,7,
14511_14524_14521_14522_Region_um_Chemnitz,DSx5,year,dry_spell_duration,days,7,
14511_Chemnitz,DSx5,year,dry_spell_duration,days,7,
14521_Erzgebirgskreis,DSx5,year,dry_spell_duration,days,7,
14522_Mittelsachsen,DSx5,year,dry_spell_duration,days,7,
14523_Vogtlandkreis,DSx5,year,dry_spell_duration,days,7,
14524_Zwickau,DSx5,year,dry_spell_duration,days,7,
14612_14627_14625_14628_Region_um_Dresden,DSx5,year,dry_spell_duration,days,7,
14612_Dresden,DSx5,year,dry_spell_duration,days,7,
14625_Bautzen,DSx5,year,dry_spell_duration,days,7,
14626_Görlitz,DSx5,year,dry_spell_duration,days,7,
14627_Meißen,DSx5,year,dry_spell_duration,days,7,
14628_Sächsische Schweiz-Osterzgebirge,DSx5,year,dry_spell_duration,days,7,
14713_14729_14730_Region_um_Leipzig,DSx5,year,dry_spell_duration,days,7,
14713_Leipzig,DSx5,year,dry_spell_duration,days,7,
14729_Leipzig,DSx5,year,dry_spell_duration,days,7,
14730_Nordsachsen,DSx5,year,dry_spell_duration,days,7,
15001_15091_15082_Region_um_Dessau-Rolau,DSx5,year,dry_spell_duration,days,7,
15001_Dessau-Roßlau,DSx5,year,dry_spell_duration,days,7,
15002_15088_Region_um_Halle_(Saale),DSx5,year,dry_spell_duration,days,7,
15002_Halle (Saale),DSx5,year,dry_spell_duration,days,7,
15003_15083_15089_15086_Region_um_Magdeburg,DSx5,year,dry_spell_duration,days,7,
15003_Magdeburg,DSx5,year,dry_spell_duration,days,7,
15081_Altmarkkreis Salzwedel,DSx5,year,dry_spell_duration,days,7,
15082_Anhalt-Bitterfeld,DSx5,year,dry_spell_duration,days,7,
15083_Börde,DSx5,year,dry_spell_duration,days,7,
15084_Burgenlandkreis,DSx5,year,dry_spell_duration,days,7,
15085_Harz,DSx5,year,dry_spell_duration,days,7,
15086_Jerichower Land,DSx5,year,dry_spell_duration,days,7,
15087_Mansfeld-Südharz,DSx5,year,dry_spell_duration,days,7,
15088_Saalekreis,DSx5,year,dry_spell_duration,days,7,
15089_Salzlandkreis,DSx5,year,dry_spell_duration,days,7,
15090_Stendal,DSx5,year,dry_spell_duration,days,7,
15091_Wittenberg,DSx5,year,dry_spell_duration,days,7,
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,DSx5,year,dry_spell_duration,days,7,
16051_Erfurt,DSx5,year,dry_spell_duration,days,7,
16052_16076_15084_16074_Region_um_Gera,DSx5,year,dry_spell_duration,days,7,
16052_Gera,DSx5,year,dry_spell_duration,days,7,
16053_16074_16071_16055_Region_um_Jena,DSx5,year,dry_spell_duration,days,7,
16053_Jena,DSx5,year,dry_spell_duration,days,7,
16054_16066_16069_16070_Region_um_Suhl,DSx5,year,dry_spell_duration,days,7,
16054_Suhl,DSx5,year,dry_spell_duration,days,7,
16055_16071_Region_um_Weimar,DSx5,year,dry_spell_duration,days,7,
16055_Weimar,DSx5,year,dry_spell_duration,days,7,
16056_16063_06636_Region_um_Eisenach,DSx5,year,dry_spell_duration,days,7,
16056_Eisenach,DSx5,year,dry_spell_duration,days,7,
16061_Eichsfeld,DSx5,year,dry_spell_duration,days,7,
16062_Nordhausen,DSx5,year,dry_spell_duration,days,7,
16063_Wartburgkreis,DSx5,year,dry_spell_duration,days,7,
16064_Unstrut-Hainich-Kreis,DSx5,year,dry_spell_duration,days,7,
16065_Kyffhäuserkreis,DSx5,year,dry_spell_duration,days,7,
16066_Schmalkalden-Meiningen,DSx5,year,dry_spell_duration,days,7,
16067_Gotha,DSx5,year,dry_spell_duration,days,7,
16068_Sömmerda,DSx5,year,dry_spell_duration,days,7,
16069_Hildburghausen,DSx5,year,dry_spell_duration,days,7,
16070_Ilm-Kreis,DSx5,year,dry_spell_duration,days,7,
16071_Weimarer Land,DSx5,year,dry_spell_duration,days,7,
16072_Sonneberg,DSx5,year,dry_spell_duration,days,7,
16073_Saalfeld-Rudolstadt,DSx5,year,dry_spell_duration,days,7,
16074_Saale-Holzland-Kreis,DSx5,year,dry_spell_duration,days,7,
16075_Saale-Orla-Kreis,DSx5,year,dry_spell_duration,days,7,
16076_Greiz,DSx5,year,dry_spell_duration,days,7,
16077_Altenburger Land,DSx5,year,dry_spell_duration,days,7,
