region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-2.391909599304199,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-2.654684066772461,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-2.2407703399658203,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-2.8048362731933594,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-2.3576297760009766,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-2.50850772857666,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-2.0368165969848633,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-2.452145576477051,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,-3.0358238220214844,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-2.446017265319824,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-2.522977828979492,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-2.532979965209961,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,-1.7359790802001953,DSx5,year,dry_spell_duration,days,7
01057_Plön,-2.6837615966796875,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,-2.416537284851074,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-2.4116477966308594,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-2.142007827758789,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,-2.458113670349121,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-2.243678092956543,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-2.0060977935791016,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-1.8274974822998047,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-2.272367477416992,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-2.1113710403442383,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,-2.774661064147949,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-2.1884593963623047,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,-2.417093276977539,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,-2.216891288757324,DSx5,year,dry_spell_duration,days,7
03153_Goslar,-1.3973503112792969,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,-2.3427295684814453,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-1.7072114944458008,DSx5,year,dry_spell_duration,days,7
03157_Peine,-2.183927536010742,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,-2.7833147048950195,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-1.9408807754516602,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-2.715238571166992,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-2.283466339111328,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,-2.4057540893554688,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,-2.1106910705566406,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,-2.0162696838378906,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),-1.7252349853515625,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,-2.2650146484375,DSx5,year,dry_spell_duration,days,7
03351_Celle,-1.8564014434814453,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,-1.9877395629882812,DSx5,year,dry_spell_duration,days,7
03353_Harburg,-2.0531139373779297,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-2.4659194946289062,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,-2.498554229736328,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,-2.1433677673339844,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),-1.8190288543701172,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,-2.106090545654297,DSx5,year,dry_spell_duration,days,7
03359_Stade,-1.7465991973876953,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,-2.3094615936279297,DSx5,year,dry_spell_duration,days,7
03361_Verden,-1.9360370635986328,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-2.3098697662353516,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,-2.5773067474365234,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,-2.4118213653564453,DSx5,year,dry_spell_duration,days,7
03402_Emden,-2.6076488494873047,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-2.3773250579833984,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),-2.801881790161133,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,-2.0261802673339844,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,-2.5204391479492188,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,-2.855710983276367,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,-2.936983108520508,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,-2.945280075073242,DSx5,year,dry_spell_duration,days,7
03452_Aurich,-2.702909469604492,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,-2.4569969177246094,DSx5,year,dry_spell_duration,days,7
03454_Emsland,-2.2862071990966797,DSx5,year,dry_spell_duration,days,7
03455_Friesland,-2.853860855102539,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,-2.0031375885009766,DSx5,year,dry_spell_duration,days,7
03457_Leer,-2.7627639770507812,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,-2.8550872802734375,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,-2.0750198364257812,DSx5,year,dry_spell_duration,days,7
03460_Vechta,-2.5787487030029297,DSx5,year,dry_spell_duration,days,7
03461_Wesermarsch,-2.1763153076171875,DSx5,year,dry_spell_duration,days,7
03462_Wittmund,-2.5366172790527344,DSx5,year,dry_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-1.9335002899169922,DSx5,year,dry_spell_duration,days,7
04011_Bremen,-2.3922500610351562,DSx5,year,dry_spell_duration,days,7
