region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,1.0961769,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,1.0330688,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.145212,DSx5,year,dry_spell_duration,days,7
01002_Kiel,1.2063962,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.92208797,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,1.0227559,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.1335576,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,0.9610803,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,0.98804814,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,0.92206043,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,0.83177364,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,0.93847644,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,1.0286092,DSx5,year,dry_spell_duration,days,7
01057_Plön,1.1479976,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.140403,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,1.0978321,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,1.1145418,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,1.0287778,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,1.0289187,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,0.9832742,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.83439326,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,0.75313556,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.89792454,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,0.83326375,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.8425204,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,0.86450833,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,0.850199,DSx5,year,dry_spell_duration,days,7
03153_Goslar,1.0018693,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,0.81780165,DSx5,year,dry_spell_duration,days,7
03155_Northeim,0.76760274,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.8128952,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,0.8451368,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,0.79360163,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,0.8772002,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,0.89686596,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,0.99217665,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,0.9198444,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,0.91494924,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),0.9529975,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,0.9228418,DSx5,year,dry_spell_duration,days,7
03351_Celle,0.85013205,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,0.8404891,DSx5,year,dry_spell_duration,days,7
03353_Harburg,0.92582715,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,0.6756018,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,0.94594723,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,0.79561156,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),0.8576517,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,0.8932579,DSx5,year,dry_spell_duration,days,7
03359_Stade,0.9463393,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,0.8964344,DSx5,year,dry_spell_duration,days,7
03361_Verden,0.75663286,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.8790243,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,0.78130114,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,0.8586311,DSx5,year,dry_spell_duration,days,7
