region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,2.00448,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,1.952886,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,1.9553473,DSx5,year,dry_spell_duration,days,7
01002_Kiel,1.9948771,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.5858344,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,1.7366582,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.9340556,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,1.8592553,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,1.7897968,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,1.6187052,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,1.6854345,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,1.6252444,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,1.829695,DSx5,year,dry_spell_duration,days,7
01057_Plön,1.869602,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,1.9958456,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,2.0058327,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,1.8848144,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,1.8285784,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,1.757979,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,1.7160642,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,2.0647867,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,2.0784175,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,2.1828957,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,2.1051834,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,2.0544581,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,2.0575542,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,2.0212507,DSx5,year,dry_spell_duration,days,7
03153_Goslar,2.2156825,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,2.131005,DSx5,year,dry_spell_duration,days,7
03155_Northeim,2.25127,DSx5,year,dry_spell_duration,days,7
03157_Peine,2.1080346,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,2.05186,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,2.2045982,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,2.1798735,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,2.0353324,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,2.2062712,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,2.3001747,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,2.3006506,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),2.2227654,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,2.1699414,DSx5,year,dry_spell_duration,days,7
03351_Celle,1.9676116,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,1.7944382,DSx5,year,dry_spell_duration,days,7
03353_Harburg,1.7358325,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,1.7993314,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,1.7324982,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,1.6599307,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),1.7800473,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,1.9240333,DSx5,year,dry_spell_duration,days,7
03359_Stade,1.8306361,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,1.9178876,DSx5,year,dry_spell_duration,days,7
03361_Verden,1.8131309,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,1.948485,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,1.8812258,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,1.838099,DSx5,year,dry_spell_duration,days,7
03402_Emden,1.808751,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),1.8894005,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),1.9141835,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,2.0384808,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,1.9549378,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,1.8948843,DSx5,year,dry_spell_duration,days,7
