region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.9380531311035156,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,0.7977256774902344,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,0.9315338134765625,DSx5,year,dry_spell_duration,days,7
01002_Kiel,1.0041160583496094,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.6680173873901367,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,0.7840347290039062,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,1.0129680633544922,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,0.8455095291137695,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,0.7594509124755859,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,0.6204319000244141,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,0.7013893127441406,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,0.9275588989257812,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,0.9746227264404297,DSx5,year,dry_spell_duration,days,7
01057_Plön,0.9957180023193359,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,0.8985214233398438,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,0.9476261138916016,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,0.9470462799072266,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,0.7264633178710938,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,0.5947284698486328,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,0.5085182189941406,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.5500755310058594,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,0.4576301574707031,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.4754962921142578,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,0.5464763641357422,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,0.6258649826049805,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,0.40943145751953125,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,0.715092658996582,DSx5,year,dry_spell_duration,days,7
03153_Goslar,0.3243694305419922,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,0.17229843139648438,DSx5,year,dry_spell_duration,days,7
03155_Northeim,0.53167724609375,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.5372486114501953,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,0.5094928741455078,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,0.48247432708740234,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,0.5641098022460938,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,0.5370378494262695,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,0.8481502532958984,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,0.66156005859375,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,0.757868766784668,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),0.6057405471801758,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,0.5617637634277344,DSx5,year,dry_spell_duration,days,7
03351_Celle,0.4085197448730469,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,0.5048313140869141,DSx5,year,dry_spell_duration,days,7
03353_Harburg,0.7914943695068359,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,0.6556968688964844,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,0.7983551025390625,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,0.4739265441894531,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),0.6829624176025391,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,0.5455169677734375,DSx5,year,dry_spell_duration,days,7
03359_Stade,0.5788764953613281,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,0.7542381286621094,DSx5,year,dry_spell_duration,days,7
03361_Verden,0.44484519958496094,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5755176544189453,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,0.5758342742919922,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,0.832179069519043,DSx5,year,dry_spell_duration,days,7
03402_Emden,0.7954158782958984,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.6376266479492188,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),0.6445121765136719,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,0.5566902160644531,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,0.4810934066772461,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,0.75543212890625,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,0.5940265655517578,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,0.5712509155273438,DSx5,year,dry_spell_duration,days,7
03452_Aurich,0.6404666900634766,DSx5,year,dry_spell_duration,days,7
03453_Cloppenburg,0.5219154357910156,DSx5,year,dry_spell_duration,days,7
03454_Emsland,0.5743560791015625,DSx5,year,dry_spell_duration,days,7
03455_Friesland,0.7020740509033203,DSx5,year,dry_spell_duration,days,7
03456_Grafschaft Bentheim,0.5487232208251953,DSx5,year,dry_spell_duration,days,7
03457_Leer,0.6970043182373047,DSx5,year,dry_spell_duration,days,7
03458_Oldenburg,0.6457366943359375,DSx5,year,dry_spell_duration,days,7
03459_Osnabrück,0.6334629058837891,DSx5,year,dry_spell_duration,days,7
03460_Vechta,0.6121501922607422,DSx5,year,dry_spell_duration,days,7
03461_Wesermarsch,0.5346221923828125,DSx5,year,dry_spell_duration,days,7
03462_Wittmund,0.7615509033203125,DSx5,year,dry_spell_duration,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.6156101226806641,DSx5,year,dry_spell_duration,days,7
04011_Bremen,0.4705810546875,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,0.5200185775756836,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,0.5692214965820312,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,0.6890726089477539,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,0.6110906600952148,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.7816905975341797,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,0.7427206039428711,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.5346755981445312,DSx5,year,dry_spell_duration,days,7
05113_Essen,0.6645298004150391,DSx5,year,dry_spell_duration,days,7
