region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
04011_Bremen,-1.8780145645141602,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-2.080404281616211,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,-2.930710792541504,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-2.566807746887207,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,-2.7508296966552734,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-2.1803226470947266,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,-1.8991632461547852,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-1.8746986389160156,DSx5,year,dry_spell_duration,days,7
05113_Essen,-1.8893136978149414,DSx5,year,dry_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-2.480231285095215,DSx5,year,dry_spell_duration,days,7
05114_Krefeld,-2.5883493423461914,DSx5,year,dry_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-2.540536880493164,DSx5,year,dry_spell_duration,days,7
05116_Mönchengladbach,-2.14642333984375,DSx5,year,dry_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-1.9042854309082031,DSx5,year,dry_spell_duration,days,7
05117_Mülheim an der Ruhr,-1.956777572631836,DSx5,year,dry_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-1.9987506866455078,DSx5,year,dry_spell_duration,days,7
05119_Oberhausen,-2.0637168884277344,DSx5,year,dry_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-2.012690544128418,DSx5,year,dry_spell_duration,days,7
05120_Remscheid,-2.5535106658935547,DSx5,year,dry_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,-2.0973806381225586,DSx5,year,dry_spell_duration,days,7
05122_Solingen,-2.912032127380371,DSx5,year,dry_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-1.7023429870605469,DSx5,year,dry_spell_duration,days,7
05124_Wuppertal,-2.0413341522216797,DSx5,year,dry_spell_duration,days,7
05154_Kleve,-2.165318489074707,DSx5,year,dry_spell_duration,days,7
05158_Mettmann,-2.1685714721679688,DSx5,year,dry_spell_duration,days,7
05162_Rhein-Kreis Neuss,-3.0558042526245117,DSx5,year,dry_spell_duration,days,7
05166_Viersen,-2.685832977294922,DSx5,year,dry_spell_duration,days,7
05170_Wesel,-2.1705102920532227,DSx5,year,dry_spell_duration,days,7
05314_05382_Region_um_Bonn,-1.5706520080566406,DSx5,year,dry_spell_duration,days,7
05314_Bonn,-1.9166984558105469,DSx5,year,dry_spell_duration,days,7
05315_Köln,-2.136582374572754,DSx5,year,dry_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,-2.0664052963256836,DSx5,year,dry_spell_duration,days,7
05316_Leverkusen,-2.3620309829711914,DSx5,year,dry_spell_duration,days,7
05334_Städteregion Aachen,-2.558563232421875,DSx5,year,dry_spell_duration,days,7
05358_Düren,-2.109325408935547,DSx5,year,dry_spell_duration,days,7
05362_Rhein-Erft-Kreis,-2.370303153991699,DSx5,year,dry_spell_duration,days,7
05366_Euskirchen,-1.7348499298095703,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,-2.2304840087890625,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,-1.662125587463379,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,-2.45327091217041,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,-1.550642967224121,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-1.9638338088989258,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,-1.8735723495483398,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-1.8903980255126953,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,-2.023509979248047,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,-2.0224809646606445,DSx5,year,dry_spell_duration,days,7
05515_Münster,-2.697869300842285,DSx5,year,dry_spell_duration,days,7
05554_Borken,-1.9159793853759766,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,-2.2984790802001953,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,-1.8613929748535156,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,-2.3053388595581055,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,-1.635782241821289,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,-1.8155765533447266,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,-1.7766170501708984,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,-1.6147747039794922,DSx5,year,dry_spell_duration,days,7
05758_Herford,-1.6014728546142578,DSx5,year,dry_spell_duration,days,7
05762_Höxter,-1.9995307922363281,DSx5,year,dry_spell_duration,days,7
05766_Lippe,-2.084117889404297,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,-1.7508783340454102,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,-1.3919296264648438,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-1.8924236297607422,DSx5,year,dry_spell_duration,days,7
05911_Bochum,-2.499802589416504,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-1.886673927307129,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,-2.2732534408569336,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,-1.800166130065918,DSx5,year,dry_spell_duration,days,7
05914_Hagen,-1.8784904479980469,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-1.5295257568359375,DSx5,year,dry_spell_duration,days,7
05915_Hamm,-1.6622772216796875,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,-1.941941261291504,DSx5,year,dry_spell_duration,days,7
05916_Herne,-2.44216251373291,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,-1.6366949081420898,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,-1.638627052307129,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,-1.8357362747192383,DSx5,year,dry_spell_duration,days,7
05966_Olpe,-1.715475082397461,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,-1.7673721313476562,DSx5,year,dry_spell_duration,days,7
05974_Soest,-1.4020729064941406,DSx5,year,dry_spell_duration,days,7
05978_Unna,-1.9691829681396484,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,-1.6380863189697266,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,-1.9619245529174805,DSx5,year,dry_spell_duration,days,7
