region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09186_Pfaffenhofen a.d. Ilm,-1.93353271484375,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,-2.189126968383789,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,-2.636476516723633,DSx5,year,dry_spell_duration,days,7
09189_Traunstein,-2.116042137145996,DSx5,year,dry_spell_duration,days,7
09190_Weilheim-Schongau,-2.9241161346435547,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,-2.5972461700439453,DSx5,year,dry_spell_duration,days,7
09261_Landshut,-2.2427215576171875,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,-2.5221424102783203,DSx5,year,dry_spell_duration,days,7
09262_Passau,-2.6279335021972656,DSx5,year,dry_spell_duration,days,7
09263_09278_Region_um_Straubing,-2.2826595306396484,DSx5,year,dry_spell_duration,days,7
09263_Straubing,-2.328754425048828,DSx5,year,dry_spell_duration,days,7
09271_Deggendorf,-2.641572952270508,DSx5,year,dry_spell_duration,days,7
09272_Freyung-Grafenau,-1.8938522338867188,DSx5,year,dry_spell_duration,days,7
09273_Kelheim,-2.015653610229492,DSx5,year,dry_spell_duration,days,7
09274_Landshut,-2.6289138793945312,DSx5,year,dry_spell_duration,days,7
09275_Passau,-2.5172367095947266,DSx5,year,dry_spell_duration,days,7
09276_Regen,-2.0320053100585938,DSx5,year,dry_spell_duration,days,7
09277_Rottal-Inn,-2.8937883377075195,DSx5,year,dry_spell_duration,days,7
09278_Straubing-Bogen,-2.2799339294433594,DSx5,year,dry_spell_duration,days,7
09279_Dingolfing-Landau,-2.5531539916992188,DSx5,year,dry_spell_duration,days,7
09361_09371_Region_um_Amberg,-2.6143856048583984,DSx5,year,dry_spell_duration,days,7
09361_Amberg,-2.700000762939453,DSx5,year,dry_spell_duration,days,7
09362_09375_Region_um_Regensburg,-2.2113876342773438,DSx5,year,dry_spell_duration,days,7
09362_Regensburg,-2.427358627319336,DSx5,year,dry_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,-2.2390880584716797,DSx5,year,dry_spell_duration,days,7
09363_Weiden i.d. OPf.,-2.4530982971191406,DSx5,year,dry_spell_duration,days,7
09371_Amberg-Sulzbach,-2.610809326171875,DSx5,year,dry_spell_duration,days,7
09372_Cham,-2.381418228149414,DSx5,year,dry_spell_duration,days,7
09373_Neumarkt i.d. OPf.,-2.2488670349121094,DSx5,year,dry_spell_duration,days,7
09374_Neustadt a.d. Waldnaab,-2.2281951904296875,DSx5,year,dry_spell_duration,days,7
09375_Regensburg,-2.1978111267089844,DSx5,year,dry_spell_duration,days,7
09376_Schwandorf,-2.578723907470703,DSx5,year,dry_spell_duration,days,7
09377_Tirschenreuth,-1.9725780487060547,DSx5,year,dry_spell_duration,days,7
09461_09471_Region_um_Bamberg,-2.5484790802001953,DSx5,year,dry_spell_duration,days,7
09461_Bamberg,-3.056913375854492,DSx5,year,dry_spell_duration,days,7
09462_09472_Region_um_Bayreuth,-2.198272705078125,DSx5,year,dry_spell_duration,days,7
09462_Bayreuth,-3.6247005462646484,DSx5,year,dry_spell_duration,days,7
09463_09473_Region_um_Coburg,-2.7877845764160156,DSx5,year,dry_spell_duration,days,7
09463_Coburg,-2.9638614654541016,DSx5,year,dry_spell_duration,days,7
09464_09475_Region_um_Hof,-2.3042211532592773,DSx5,year,dry_spell_duration,days,7
09464_Hof,-2.4101123809814453,DSx5,year,dry_spell_duration,days,7
09471_Bamberg,-2.5233917236328125,DSx5,year,dry_spell_duration,days,7
09472_Bayreuth,-2.1961898803710938,DSx5,year,dry_spell_duration,days,7
09473_Coburg,-2.774789810180664,DSx5,year,dry_spell_duration,days,7
09474_Forchheim,-2.101318359375,DSx5,year,dry_spell_duration,days,7
09475_Hof,-2.2974348068237305,DSx5,year,dry_spell_duration,days,7
09476_Kronach,-2.183879852294922,DSx5,year,dry_spell_duration,days,7
09477_Kulmbach,-2.0905303955078125,DSx5,year,dry_spell_duration,days,7
09478_Lichtenfels,-2.5382614135742188,DSx5,year,dry_spell_duration,days,7
09479_Wunsiedel i. Fichtelgebirge,-2.511631965637207,DSx5,year,dry_spell_duration,days,7
09561_09571_Region_um_Ansbach,-1.486501693725586,DSx5,year,dry_spell_duration,days,7
09561_Ansbach,-1.9954681396484375,DSx5,year,dry_spell_duration,days,7
09562_09572_09564_09563_Region_um_Erlangen,-1.765336036682129,DSx5,year,dry_spell_duration,days,7
09562_Erlangen,-2.1894702911376953,DSx5,year,dry_spell_duration,days,7
09563_09573_09562_09564_Region_um_Fürth,-1.7727699279785156,DSx5,year,dry_spell_duration,days,7
09563_Fürth,-2.0917463302612305,DSx5,year,dry_spell_duration,days,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,-1.6986122131347656,DSx5,year,dry_spell_duration,days,7
09564_Nürnberg,-1.8487224578857422,DSx5,year,dry_spell_duration,days,7
09565_09576_09564_Region_um_Schwabach,-1.4551753997802734,DSx5,year,dry_spell_duration,days,7
09565_Schwabach,-1.8684730529785156,DSx5,year,dry_spell_duration,days,7
09571_Ansbach,-1.4589080810546875,DSx5,year,dry_spell_duration,days,7
09572_Erlangen-Höchstadt,-2.0707216262817383,DSx5,year,dry_spell_duration,days,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,-1.3547420501708984,DSx5,year,dry_spell_duration,days,7
09573_Fürth,-1.7923831939697266,DSx5,year,dry_spell_duration,days,7
09574_Nürnberger Land,-2.0959854125976562,DSx5,year,dry_spell_duration,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-1.4206428527832031,DSx5,year,dry_spell_duration,days,7
09576_Roth,-1.4720726013183594,DSx5,year,dry_spell_duration,days,7
09577_Weißenburg-Gunzenhausen,-1.7165517807006836,DSx5,year,dry_spell_duration,days,7
09661_09671_09676_Region_um_Aschaffenburg,-1.8576240539550781,DSx5,year,dry_spell_duration,days,7
09661_Aschaffenburg,-1.827047348022461,DSx5,year,dry_spell_duration,days,7
09662_09678_Region_um_Schweinfurt,-1.8052635192871094,DSx5,year,dry_spell_duration,days,7
09662_Schweinfurt,-1.931427001953125,DSx5,year,dry_spell_duration,days,7
09663_09679_Region_um_Würzburg,-1.5129966735839844,DSx5,year,dry_spell_duration,days,7
09663_Würzburg,-1.7784748077392578,DSx5,year,dry_spell_duration,days,7
09671_Aschaffenburg,-1.8329639434814453,DSx5,year,dry_spell_duration,days,7
09672_Bad Kissingen,-1.4270305633544922,DSx5,year,dry_spell_duration,days,7
09673_Rhön-Grabfeld,-1.4663476943969727,DSx5,year,dry_spell_duration,days,7
09674_Haßberge,-2.013826370239258,DSx5,year,dry_spell_duration,days,7
09675_Kitzingen,-1.518559455871582,DSx5,year,dry_spell_duration,days,7
09676_Miltenberg,-1.8840065002441406,DSx5,year,dry_spell_duration,days,7
09677_Main-Spessart,-1.4920549392700195,DSx5,year,dry_spell_duration,days,7
09678_Schweinfurt,-1.7998275756835938,DSx5,year,dry_spell_duration,days,7
09679_Würzburg,-1.5279245376586914,DSx5,year,dry_spell_duration,days,7
09761_09772_09771_Region_um_Augsburg,-2.3542003631591797,DSx5,year,dry_spell_duration,days,7
09761_Augsburg,-2.253631591796875,DSx5,year,dry_spell_duration,days,7
09762_09777_Region_um_Kaufbeuren,-2.4403276443481445,DSx5,year,dry_spell_duration,days,7
09762_Kaufbeuren,-2.498173713684082,DSx5,year,dry_spell_duration,days,7
09763_09780_Region_um_Kempten_(Allgäu),-1.7943296432495117,DSx5,year,dry_spell_duration,days,7
09763_Kempten (Allgäu),-2.237590789794922,DSx5,year,dry_spell_duration,days,7
09764_09778_08436_Region_um_Memmingen,-2.657893180847168,DSx5,year,dry_spell_duration,days,7
09764_Memmingen,-3.0846786499023438,DSx5,year,dry_spell_duration,days,7
09771_Aichach-Friedberg,-2.468942642211914,DSx5,year,dry_spell_duration,days,7
09772_Augsburg,-2.2856836318969727,DSx5,year,dry_spell_duration,days,7
09773_Dillingen a.d. Donau,-1.7891254425048828,DSx5,year,dry_spell_duration,days,7
09774_Günzburg,-2.355794906616211,DSx5,year,dry_spell_duration,days,7
09775_Neu-Ulm,-2.5377912521362305,DSx5,year,dry_spell_duration,days,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),-2.135038375854492,DSx5,year,dry_spell_duration,days,7
09776_Lindau (Bodensee),-2.002251625061035,DSx5,year,dry_spell_duration,days,7
09777_Ostallgäu,-2.438539505004883,DSx5,year,dry_spell_duration,days,7
09778_Unterallgäu,-2.78977108001709,DSx5,year,dry_spell_duration,days,7
09779_Donau-Ries,-1.8073654174804688,DSx5,year,dry_spell_duration,days,7
09780_Oberallgäu,-1.7970056533813477,DSx5,year,dry_spell_duration,days,7
10041_Regionalverband Saarbrücken,-2.011408805847168,DSx5,year,dry_spell_duration,days,7
10042_Merzig-Wadern,-2.4651002883911133,DSx5,year,dry_spell_duration,days,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,-2.235018730163574,DSx5,year,dry_spell_duration,days,7
10043_Neunkirchen,-2.0440454483032227,DSx5,year,dry_spell_duration,days,7
10044_Saarlouis,-2.0797348022460938,DSx5,year,dry_spell_duration,days,7
10045_Saarpfalz-Kreis,-2.447307586669922,DSx5,year,dry_spell_duration,days,7
10046_St. Wendel,-2.2562246322631836,DSx5,year,dry_spell_duration,days,7
11000_Berlin,-2.828338623046875,DSx5,year,dry_spell_duration,days,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,-2.4588022232055664,DSx5,year,dry_spell_duration,days,7
12051_Brandenburg an der Havel,-3.143308639526367,DSx5,year,dry_spell_duration,days,7
12052_12071_Region_um_Cottbus,-4.087543487548828,DSx5,year,dry_spell_duration,days,7
12052_Cottbus,-4.180442810058594,DSx5,year,dry_spell_duration,days,7
12053_12067_12064_Region_um_Frankfurt_(Oder),-3.1562442779541016,DSx5,year,dry_spell_duration,days,7
12053_Frankfurt (Oder),-2.9802494049072266,DSx5,year,dry_spell_duration,days,7
12054_12063_12069_11000_12051_Region_um_Potsdam,-2.3844642639160156,DSx5,year,dry_spell_duration,days,7
12054_Potsdam,-2.7948713302612305,DSx5,year,dry_spell_duration,days,7
12060_Barnim,-3.127685546875,DSx5,year,dry_spell_duration,days,7
12061_Dahme-Spreewald,-4.080167770385742,DSx5,year,dry_spell_duration,days,7
12062_Elbe-Elster,-4.534515380859375,DSx5,year,dry_spell_duration,days,7
12063_Havelland,-2.5017175674438477,DSx5,year,dry_spell_duration,days,7
12064_Märkisch-Oderland,-2.9319190979003906,DSx5,year,dry_spell_duration,days,7
12065_Oberhavel,-2.916839599609375,DSx5,year,dry_spell_duration,days,7
12066_Oberspreewald-Lausitz,-4.011804580688477,DSx5,year,dry_spell_duration,days,7
12067_Oder-Spree,-3.4568119049072266,DSx5,year,dry_spell_duration,days,7
12068_Ostprignitz-Ruppin,-2.5796127319335938,DSx5,year,dry_spell_duration,days,7
12069_Potsdam-Mittelmark,-2.5721912384033203,DSx5,year,dry_spell_duration,days,7
12070_Prignitz,-2.611753463745117,DSx5,year,dry_spell_duration,days,7
12071_Spree-Neiße,-4.078060150146484,DSx5,year,dry_spell_duration,days,7
12072_Teltow-Fläming,-3.3774185180664062,DSx5,year,dry_spell_duration,days,7
12073_Uckermark,-2.566692352294922,DSx5,year,dry_spell_duration,days,7
13003_13072_Region_um_Rostock,-3.3993301391601562,DSx5,year,dry_spell_duration,days,7
13003_Rostock,-3.781879425048828,DSx5,year,dry_spell_duration,days,7
13004_13076_13074_Region_um_Schwerin,-2.575960159301758,DSx5,year,dry_spell_duration,days,7
13004_Schwerin,-2.9372291564941406,DSx5,year,dry_spell_duration,days,7
13071_Mecklenburgische Seenplatte,-3.227506637573242,DSx5,year,dry_spell_duration,days,7
13072_Rostock,-3.3795223236083984,DSx5,year,dry_spell_duration,days,7
13073_Vorpommern-Rügen,-3.1436100006103516,DSx5,year,dry_spell_duration,days,7
13074_Nordwestmecklenburg,-3.0968856811523438,DSx5,year,dry_spell_duration,days,7
13075_Vorpommern-Greifswald,-3.0826034545898438,DSx5,year,dry_spell_duration,days,7
13076_Ludwigslust-Parchim,-2.628782272338867,DSx5,year,dry_spell_duration,days,7
14511_14524_14521_14522_Region_um_Chemnitz,-2.5405683517456055,DSx5,year,dry_spell_duration,days,7
14511_Chemnitz,-2.6316347122192383,DSx5,year,dry_spell_duration,days,7
14521_Erzgebirgskreis,-2.3719100952148438,DSx5,year,dry_spell_duration,days,7
14522_Mittelsachsen,-2.6500511169433594,DSx5,year,dry_spell_duration,days,7
14523_Vogtlandkreis,-3.0323638916015625,DSx5,year,dry_spell_duration,days,7
14524_Zwickau,-3.1706809997558594,DSx5,year,dry_spell_duration,days,7
14612_14627_14625_14628_Region_um_Dresden,-3.60086727142334,DSx5,year,dry_spell_duration,days,7
14612_Dresden,-4.122079849243164,DSx5,year,dry_spell_duration,days,7
14625_Bautzen,-3.7298107147216797,DSx5,year,dry_spell_duration,days,7
14626_Görlitz,-3.911343574523926,DSx5,year,dry_spell_duration,days,7
14627_Meißen,-3.6872482299804688,DSx5,year,dry_spell_duration,days,7
14628_Sächsische Schweiz-Osterzgebirge,-3.295609474182129,DSx5,year,dry_spell_duration,days,7
14713_14729_14730_Region_um_Leipzig,-2.594694137573242,DSx5,year,dry_spell_duration,days,7
14713_Leipzig,-2.5004186630249023,DSx5,year,dry_spell_duration,days,7
14729_Leipzig,-2.456056594848633,DSx5,year,dry_spell_duration,days,7
14730_Nordsachsen,-2.978628158569336,DSx5,year,dry_spell_duration,days,7
15001_15091_15082_Region_um_Dessau-Rolau,-3.121105194091797,DSx5,year,dry_spell_duration,days,7
15001_Dessau-Roßlau,-3.1282730102539062,DSx5,year,dry_spell_duration,days,7
15002_15088_Region_um_Halle_(Saale),-2.120443344116211,DSx5,year,dry_spell_duration,days,7
15002_Halle (Saale),-3.4903697967529297,DSx5,year,dry_spell_duration,days,7
15003_15083_15089_15086_Region_um_Magdeburg,-2.556852340698242,DSx5,year,dry_spell_duration,days,7
15003_Magdeburg,-2.8100528717041016,DSx5,year,dry_spell_duration,days,7
15081_Altmarkkreis Salzwedel,-2.728443145751953,DSx5,year,dry_spell_duration,days,7
15082_Anhalt-Bitterfeld,-2.837331771850586,DSx5,year,dry_spell_duration,days,7
15083_Börde,-2.6691675186157227,DSx5,year,dry_spell_duration,days,7
15084_Burgenlandkreis,-2.5756263732910156,DSx5,year,dry_spell_duration,days,7
15085_Harz,-2.16558837890625,DSx5,year,dry_spell_duration,days,7
15086_Jerichower Land,-2.7381887435913086,DSx5,year,dry_spell_duration,days,7
15087_Mansfeld-Südharz,-2.3301925659179688,DSx5,year,dry_spell_duration,days,7
15088_Saalekreis,-2.165238380432129,DSx5,year,dry_spell_duration,days,7
15089_Salzlandkreis,-2.5023250579833984,DSx5,year,dry_spell_duration,days,7
15090_Stendal,-2.421473503112793,DSx5,year,dry_spell_duration,days,7
15091_Wittenberg,-3.3316593170166016,DSx5,year,dry_spell_duration,days,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,-1.9109840393066406,DSx5,year,dry_spell_duration,days,7
16051_Erfurt,-2.5864639282226562,DSx5,year,dry_spell_duration,days,7
16052_16076_15084_16074_Region_um_Gera,-2.649078369140625,DSx5,year,dry_spell_duration,days,7
16052_Gera,-3.3548126220703125,DSx5,year,dry_spell_duration,days,7
16053_16074_16071_16055_Region_um_Jena,-1.9660053253173828,DSx5,year,dry_spell_duration,days,7
16053_Jena,-2.159769058227539,DSx5,year,dry_spell_duration,days,7
16054_16066_16069_16070_Region_um_Suhl,-1.3866806030273438,DSx5,year,dry_spell_duration,days,7
16054_Suhl,-1.6001567840576172,DSx5,year,dry_spell_duration,days,7
16055_16071_Region_um_Weimar,-2.108759880065918,DSx5,year,dry_spell_duration,days,7
16055_Weimar,-2.046834945678711,DSx5,year,dry_spell_duration,days,7
16056_16063_06636_Region_um_Eisenach,-1.5150585174560547,DSx5,year,dry_spell_duration,days,7
16056_Eisenach,-2.209763526916504,DSx5,year,dry_spell_duration,days,7
16061_Eichsfeld,-2.109734535217285,DSx5,year,dry_spell_duration,days,7
16062_Nordhausen,-2.0884552001953125,DSx5,year,dry_spell_duration,days,7
16063_Wartburgkreis,-1.667764663696289,DSx5,year,dry_spell_duration,days,7
16064_Unstrut-Hainich-Kreis,-1.7924728393554688,DSx5,year,dry_spell_duration,days,7
16065_Kyffhäuserkreis,-1.9347000122070312,DSx5,year,dry_spell_duration,days,7
16066_Schmalkalden-Meiningen,-1.4939422607421875,DSx5,year,dry_spell_duration,days,7
16067_Gotha,-2.1146316528320312,DSx5,year,dry_spell_duration,days,7
16068_Sömmerda,-2.0038318634033203,DSx5,year,dry_spell_duration,days,7
16069_Hildburghausen,-1.7278823852539062,DSx5,year,dry_spell_duration,days,7
16070_Ilm-Kreis,-2.0707550048828125,DSx5,year,dry_spell_duration,days,7
16071_Weimarer Land,-2.1269140243530273,DSx5,year,dry_spell_duration,days,7
16072_Sonneberg,-2.1371116638183594,DSx5,year,dry_spell_duration,days,7
16073_Saalfeld-Rudolstadt,-2.2847652435302734,DSx5,year,dry_spell_duration,days,7
16074_Saale-Holzland-Kreis,-2.6850528717041016,DSx5,year,dry_spell_duration,days,7
16075_Saale-Orla-Kreis,-2.527355194091797,DSx5,year,dry_spell_duration,days,7
16076_Greiz,-2.9803524017333984,DSx5,year,dry_spell_duration,days,7
16077_Altenburger Land,-3.097047805786133,DSx5,year,dry_spell_duration,days,7
