region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,-1.0958805084228516,DSx5,year,dry_spell_duration,days,7
04011_Bremen,-1.9024686813354492,DSx5,year,dry_spell_duration,days,7
04012_03352_03461_Region_um_Bremerhaven,-1.3858299255371094,DSx5,year,dry_spell_duration,days,7
04012_Bremerhaven,-1.6220836639404297,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,-2.399372100830078,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,-2.8329734802246094,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,-2.1554203033447266,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,-1.945683479309082,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,-1.854395866394043,DSx5,year,dry_spell_duration,days,7
05113_Essen,-1.3998231887817383,DSx5,year,dry_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,-2.3089942932128906,DSx5,year,dry_spell_duration,days,7
05114_Krefeld,-2.8823442459106445,DSx5,year,dry_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,-2.1454591751098633,DSx5,year,dry_spell_duration,days,7
05116_Mönchengladbach,-1.5803966522216797,DSx5,year,dry_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,-1.8183727264404297,DSx5,year,dry_spell_duration,days,7
05117_Mülheim an der Ruhr,-2.0122900009155273,DSx5,year,dry_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,-2.003048896789551,DSx5,year,dry_spell_duration,days,7
05119_Oberhausen,-1.7212371826171875,DSx5,year,dry_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,-1.551706314086914,DSx5,year,dry_spell_duration,days,7
05120_Remscheid,-1.475062370300293,DSx5,year,dry_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,-1.7150793075561523,DSx5,year,dry_spell_duration,days,7
05122_Solingen,-1.8332929611206055,DSx5,year,dry_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-1.5242643356323242,DSx5,year,dry_spell_duration,days,7
05124_Wuppertal,-1.5459680557250977,DSx5,year,dry_spell_duration,days,7
05154_Kleve,-2.6673364639282227,DSx5,year,dry_spell_duration,days,7
05158_Mettmann,-1.9871501922607422,DSx5,year,dry_spell_duration,days,7
05162_Rhein-Kreis Neuss,-2.7150449752807617,DSx5,year,dry_spell_duration,days,7
05166_Viersen,-2.2982912063598633,DSx5,year,dry_spell_duration,days,7
05170_Wesel,-2.3437490463256836,DSx5,year,dry_spell_duration,days,7
05314_05382_Region_um_Bonn,-2.854262351989746,DSx5,year,dry_spell_duration,days,7
05314_Bonn,-3.0826263427734375,DSx5,year,dry_spell_duration,days,7
05315_Köln,-3.064105987548828,DSx5,year,dry_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,-2.262894630432129,DSx5,year,dry_spell_duration,days,7
05316_Leverkusen,-1.9807653427124023,DSx5,year,dry_spell_duration,days,7
05334_Städteregion Aachen,-1.979792594909668,DSx5,year,dry_spell_duration,days,7
05358_Düren,-2.869161605834961,DSx5,year,dry_spell_duration,days,7
05362_Rhein-Erft-Kreis,-3.482868194580078,DSx5,year,dry_spell_duration,days,7
05366_Euskirchen,-1.7415580749511719,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,-1.8000993728637695,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,-1.535043716430664,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,-1.8384695053100586,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,-2.8256521224975586,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-2.033365249633789,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,-1.840036392211914,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-1.9949636459350586,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,-1.9311885833740234,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,-2.0321922302246094,DSx5,year,dry_spell_duration,days,7
05515_Münster,-1.9882183074951172,DSx5,year,dry_spell_duration,days,7
05554_Borken,-2.3450136184692383,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,-2.0044431686401367,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,-2.217184066772461,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,-1.976679801940918,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,-2.1411056518554688,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.9372272491455078,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,-0.9419803619384766,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,-1.2576732635498047,DSx5,year,dry_spell_duration,days,7
05758_Herford,-1.304011344909668,DSx5,year,dry_spell_duration,days,7
05762_Höxter,-1.5561742782592773,DSx5,year,dry_spell_duration,days,7
05766_Lippe,-0.7645626068115234,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,-1.0799779891967773,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,-1.2367973327636719,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-1.9252948760986328,DSx5,year,dry_spell_duration,days,7
05911_Bochum,-1.752497673034668,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-1.9808940887451172,DSx5,year,dry_spell_duration,days,7
