region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.1616497039794922,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-0.2676658630371094,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-0.2704887390136719,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-0.14327049255371094,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.37821197509765625,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-0.10007190704345703,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.2196788787841797,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-0.17235946655273438,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,-0.13264846801757812,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-0.25513267517089844,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-0.1880645751953125,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-0.29987525939941406,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,-0.19765472412109375,DSx5,year,dry_spell_duration,days,7
01057_Plön,-0.3280448913574219,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,-0.1673297882080078,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-0.13286399841308594,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-0.13012981414794922,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,-0.18976211547851562,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-0.2330493927001953,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-0.3991737365722656,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.0995025634765625,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-0.2375946044921875,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.01970958709716797,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,-0.07626152038574219,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.2332162857055664,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,-0.25030517578125,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,-0.10799312591552734,DSx5,year,dry_spell_duration,days,7
03153_Goslar,0.056072235107421875,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,-0.12267494201660156,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-0.2006092071533203,DSx5,year,dry_spell_duration,days,7
03157_Peine,0.09395599365234375,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,-0.06661796569824219,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-0.20087242126464844,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-0.09929370880126953,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-0.03456878662109375,DSx5,year,dry_spell_duration,days,7
03252_Hameln-Pyrmont,-0.038516998291015625,DSx5,year,dry_spell_duration,days,7
03254_Hildesheim,0.017984390258789062,DSx5,year,dry_spell_duration,days,7
03255_Holzminden,-0.14075565338134766,DSx5,year,dry_spell_duration,days,7
03256_Nienburg (Weser),0.17936038970947266,DSx5,year,dry_spell_duration,days,7
03257_Schaumburg,-0.05121040344238281,DSx5,year,dry_spell_duration,days,7
03351_Celle,-0.18119049072265625,DSx5,year,dry_spell_duration,days,7
03352_Cuxhaven,-0.24965572357177734,DSx5,year,dry_spell_duration,days,7
03353_Harburg,-0.08795356750488281,DSx5,year,dry_spell_duration,days,7
03354_Lüchow-Dannenberg,-0.31791210174560547,DSx5,year,dry_spell_duration,days,7
03355_Lüneburg,-0.14110088348388672,DSx5,year,dry_spell_duration,days,7
03356_Osterholz,-0.06849384307861328,DSx5,year,dry_spell_duration,days,7
03357_Rotenburg (Wümme),-0.1508636474609375,DSx5,year,dry_spell_duration,days,7
03358_Heidekreis,-0.3445625305175781,DSx5,year,dry_spell_duration,days,7
03359_Stade,-0.20918846130371094,DSx5,year,dry_spell_duration,days,7
03360_Uelzen,-0.273345947265625,DSx5,year,dry_spell_duration,days,7
03361_Verden,-0.15637493133544922,DSx5,year,dry_spell_duration,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.008641242980957031,DSx5,year,dry_spell_duration,days,7
03401_Delmenhorst,-0.22433090209960938,DSx5,year,dry_spell_duration,days,7
03402_03452_03457_Region_um_Emden,-0.06540966033935547,DSx5,year,dry_spell_duration,days,7
03402_Emden,-0.11011695861816406,DSx5,year,dry_spell_duration,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.08256340026855469,DSx5,year,dry_spell_duration,days,7
03403_Oldenburg (Oldb),0.08128166198730469,DSx5,year,dry_spell_duration,days,7
03404_03459_05566_Region_um_Osnabrück,-0.10889434814453125,DSx5,year,dry_spell_duration,days,7
03404_Osnabrück,-0.14560317993164062,DSx5,year,dry_spell_duration,days,7
03405_03455_Region_um_Wilhelmshaven,0.015377044677734375,DSx5,year,dry_spell_duration,days,7
03405_Wilhelmshaven,-0.12781715393066406,DSx5,year,dry_spell_duration,days,7
03451_Ammerland,0.16312026977539062,DSx5,year,dry_spell_duration,days,7
03452_Aurich,-0.12230300903320312,DSx5,year,dry_spell_duration,days,7
