region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-2.1821842193603516,DSx5,year,dry_spell_duration,days,7
01001_Flensburg,-2.166666030883789,DSx5,year,dry_spell_duration,days,7
01002_01057_01058_Region_um_Kiel,-2.155961036682129,DSx5,year,dry_spell_duration,days,7
01002_Kiel,-2.1155548095703125,DSx5,year,dry_spell_duration,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-2.2359848022460938,DSx5,year,dry_spell_duration,days,7
01003_Lübeck,-1.84649658203125,DSx5,year,dry_spell_duration,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-2.140310287475586,DSx5,year,dry_spell_duration,days,7
01004_Neumünster,-2.5044116973876953,DSx5,year,dry_spell_duration,days,7
01051_Dithmarschen,-3.4019412994384766,DSx5,year,dry_spell_duration,days,7
01053_Herzogtum Lauenburg,-2.068118095397949,DSx5,year,dry_spell_duration,days,7
01054_Nordfriesland,-2.2938737869262695,DSx5,year,dry_spell_duration,days,7
01055_Ostholstein,-2.146481513977051,DSx5,year,dry_spell_duration,days,7
01056_Pinneberg,-2.305527687072754,DSx5,year,dry_spell_duration,days,7
01057_Plön,-2.2189903259277344,DSx5,year,dry_spell_duration,days,7
01058_Rendsburg-Eckernförde,-2.1268253326416016,DSx5,year,dry_spell_duration,days,7
01059_Schleswig-Flensburg,-2.197361946105957,DSx5,year,dry_spell_duration,days,7
01060_Segeberg,-2.0788183212280273,DSx5,year,dry_spell_duration,days,7
01061_Steinburg,-2.6890125274658203,DSx5,year,dry_spell_duration,days,7
01062_Stormarn,-2.1274290084838867,DSx5,year,dry_spell_duration,days,7
02000_Hamburg,-1.9522285461425781,DSx5,year,dry_spell_duration,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-2.1099634170532227,DSx5,year,dry_spell_duration,days,7
03101_Braunschweig,-1.6989059448242188,DSx5,year,dry_spell_duration,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-1.5538520812988281,DSx5,year,dry_spell_duration,days,7
03102_Salzgitter,-1.5195465087890625,DSx5,year,dry_spell_duration,days,7
03103_03154_03151_Region_um_Wolfsburg,-2.640615463256836,DSx5,year,dry_spell_duration,days,7
03103_Wolfsburg,-2.4731502532958984,DSx5,year,dry_spell_duration,days,7
03151_Gifhorn,-2.987565040588379,DSx5,year,dry_spell_duration,days,7
03153_Goslar,-1.184234619140625,DSx5,year,dry_spell_duration,days,7
03154_Helmstedt,-1.8826160430908203,DSx5,year,dry_spell_duration,days,7
03155_Northeim,-1.923722267150879,DSx5,year,dry_spell_duration,days,7
03157_Peine,-2.2532215118408203,DSx5,year,dry_spell_duration,days,7
03158_Wolfenbüttel,-1.5757102966308594,DSx5,year,dry_spell_duration,days,7
03159_Göttingen,-2.0008230209350586,DSx5,year,dry_spell_duration,days,7
03241_Region Hannover,-2.510164260864258,DSx5,year,dry_spell_duration,days,7
03251_Diepholz,-2.2636938095092773,DSx5,year,dry_spell_duration,days,7
