region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
04012_Bremerhaven,6.525445938110352,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,7.546424865722656,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,6.831398010253906,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,9.099580764770508,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,9.530817031860352,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,7.783769607543945,DSx5,year,dry_spell_duration,days,7
05113_Essen,7.393560409545898,DSx5,year,dry_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,9.986381530761719,DSx5,year,dry_spell_duration,days,7
05114_Krefeld,9.327775955200195,DSx5,year,dry_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,9.861106872558594,DSx5,year,dry_spell_duration,days,7
05116_Mönchengladbach,9.553155899047852,DSx5,year,dry_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,7.55433464050293,DSx5,year,dry_spell_duration,days,7
05117_Mülheim an der Ruhr,7.2547760009765625,DSx5,year,dry_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,9.967700958251953,DSx5,year,dry_spell_duration,days,7
05119_Oberhausen,10.678220748901367,DSx5,year,dry_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,6.975910186767578,DSx5,year,dry_spell_duration,days,7
05120_Remscheid,7.361103057861328,DSx5,year,dry_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,6.517553329467773,DSx5,year,dry_spell_duration,days,7
05122_Solingen,6.170526504516602,DSx5,year,dry_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,6.837749481201172,DSx5,year,dry_spell_duration,days,7
05124_Wuppertal,6.6636505126953125,DSx5,year,dry_spell_duration,days,7
05154_Kleve,12.340078353881836,DSx5,year,dry_spell_duration,days,7
05158_Mettmann,5.99658203125,DSx5,year,dry_spell_duration,days,7
05162_Rhein-Kreis Neuss,8.267118453979492,DSx5,year,dry_spell_duration,days,7
05166_Viersen,10.565757751464844,DSx5,year,dry_spell_duration,days,7
05170_Wesel,10.807037353515625,DSx5,year,dry_spell_duration,days,7
05314_05382_Region_um_Bonn,9.228755950927734,DSx5,year,dry_spell_duration,days,7
05314_Bonn,9.617671966552734,DSx5,year,dry_spell_duration,days,7
05315_Köln,8.414146423339844,DSx5,year,dry_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,7.144887924194336,DSx5,year,dry_spell_duration,days,7
