region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
04012_Bremerhaven,3.6519298553466797,DSx5,year,dry_spell_duration,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,4.607732772827148,DSx5,year,dry_spell_duration,days,7
05111_Düsseldorf,4.828695297241211,DSx5,year,dry_spell_duration,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,5.023015975952148,DSx5,year,dry_spell_duration,days,7
05112_Duisburg,4.911220550537109,DSx5,year,dry_spell_duration,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,4.242448806762695,DSx5,year,dry_spell_duration,days,7
05113_Essen,4.969902038574219,DSx5,year,dry_spell_duration,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,4.934141159057617,DSx5,year,dry_spell_duration,days,7
05114_Krefeld,4.547748565673828,DSx5,year,dry_spell_duration,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,4.207265853881836,DSx5,year,dry_spell_duration,days,7
05116_Mönchengladbach,4.018566131591797,DSx5,year,dry_spell_duration,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,4.7928466796875,DSx5,year,dry_spell_duration,days,7
05117_Mülheim an der Ruhr,4.157468795776367,DSx5,year,dry_spell_duration,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,5.19105339050293,DSx5,year,dry_spell_duration,days,7
05119_Oberhausen,5.46685791015625,DSx5,year,dry_spell_duration,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,4.241010665893555,DSx5,year,dry_spell_duration,days,7
05120_Remscheid,5.152656555175781,DSx5,year,dry_spell_duration,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,4.766225814819336,DSx5,year,dry_spell_duration,days,7
05122_Solingen,5.235551834106445,DSx5,year,dry_spell_duration,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,4.205835342407227,DSx5,year,dry_spell_duration,days,7
05124_Wuppertal,5.017566680908203,DSx5,year,dry_spell_duration,days,7
05154_Kleve,6.742218017578125,DSx5,year,dry_spell_duration,days,7
05158_Mettmann,4.657318115234375,DSx5,year,dry_spell_duration,days,7
05162_Rhein-Kreis Neuss,4.611635208129883,DSx5,year,dry_spell_duration,days,7
05166_Viersen,4.662651062011719,DSx5,year,dry_spell_duration,days,7
05170_Wesel,5.394559860229492,DSx5,year,dry_spell_duration,days,7
05314_05382_Region_um_Bonn,4.834676742553711,DSx5,year,dry_spell_duration,days,7
05314_Bonn,5.25999641418457,DSx5,year,dry_spell_duration,days,7
05315_Köln,5.18580436706543,DSx5,year,dry_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,4.856904983520508,DSx5,year,dry_spell_duration,days,7
05316_Leverkusen,5.6058349609375,DSx5,year,dry_spell_duration,days,7
05334_Städteregion Aachen,3.0616302490234375,DSx5,year,dry_spell_duration,days,7
05358_Düren,3.1297378540039062,DSx5,year,dry_spell_duration,days,7
05362_Rhein-Erft-Kreis,4.046665191650391,DSx5,year,dry_spell_duration,days,7
05366_Euskirchen,4.210475921630859,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,3.652873992919922,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,3.744600296020508,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,4.617954254150391,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,4.781393051147461,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,4.736467361450195,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,4.955547332763672,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,4.1103515625,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,4.675819396972656,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,3.614145278930664,DSx5,year,dry_spell_duration,days,7
05515_Münster,3.5908737182617188,DSx5,year,dry_spell_duration,days,7
05554_Borken,4.8219146728515625,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,3.976652145385742,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,3.6727218627929688,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,3.5778656005859375,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,3.9944229125976562,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,4.196491241455078,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,4.706644058227539,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,3.5532264709472656,DSx5,year,dry_spell_duration,days,7
05758_Herford,6.1684722900390625,DSx5,year,dry_spell_duration,days,7
05762_Höxter,4.195768356323242,DSx5,year,dry_spell_duration,days,7
