region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05120_Remscheid,-1.8645896911621094,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-1.1974258422851562,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-1.2200736999511719,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,0.6025676727294922,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-0.2155628204345703,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-0.2705211639404297,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-0.031909942626953125,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,0.3686065673828125,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-1.2876148223876953,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-0.08886337280273438,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-0.08838462829589844,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-2.232860565185547,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-1.2716445922851562,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-0.7177200317382812,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-5.008209228515625,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-0.196319580078125,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-2.7711563110351562,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-1.3428688049316406,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-1.3877906799316406,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,1.1106491088867188,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,1.1079025268554688,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,0.19567489624023438,FD,year,days_with_air_temperature_below_threshold,days,7
