region,FD_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-24.433338165283203,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-25.071693420410156,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-24.774181365966797,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-24.792442321777344,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-21.068408966064453,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-25.219348907470703,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-19.124549865722656,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-24.312942504882812,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-25.29415512084961,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-24.44277572631836,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-23.925613403320312,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-25.02362823486328,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-23.72283935546875,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-24.98073959350586,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-23.672183990478516,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-23.339954376220703,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-22.99032211303711,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-23.76677703857422,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-24.06755828857422,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-27.102203369140625,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-27.16812515258789,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-24.557270050048828,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-26.568740844726562,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-23.424121856689453,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-23.489967346191406,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-23.194156646728516,FD,year,days_with_air_temperature_below_threshold,days,7
