region,FD_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-46.005756,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-46.894333,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-47.570587,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-47.703342,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-39.72974,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-48.653584,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-35.949932,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-43.38762,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-46.927147,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-46.16553,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-44.566086,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-48.230118,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-44.763844,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-48.1692,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-45.201157,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-44.726913,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-44.59388,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-46.86022,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-47.249256,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-53.70334,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-55.73015,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-47.5321,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-51.250957,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-44.296223,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-45.72842,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-44.23781,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-43.091545,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-47.477123,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-46.981766,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-50.56642,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-45.14822,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-43.092976,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-44.790092,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-46.91877,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-41.962517,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-47.189873,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-48.600845,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-47.876785,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-43.86774,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-45.359352,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-46.84962,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-44.748344,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-48.498596,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-44.23038,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-42.619904,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-34.041946,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-42.191425,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-42.74898,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-34.425644,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-42.28273,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-35.879124,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-42.02493,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-40.332577,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-40.03901,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-39.51435,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-39.865425,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-42.979664,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-42.485207,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-42.20613,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-41.13758,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-38.467728,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-42.057842,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-40.585583,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-35.346447,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-34.69772,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-36.75983,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-35.16242,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-36.043167,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-36.503235,FD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-34.938152,FD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-45.951065,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-40.922043,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-43.42685,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-36.253372,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-38.4342,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-35.475094,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-35.837708,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-36.682552,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-39.58644,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-36.084763,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-38.119705,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-44.152138,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-39.064396,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-36.168423,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-49.72985,FD,year,days_with_air_temperature_below_threshold,days,7
