region,ci_name,ci_frequency,standard_name,units,mid_month,FD_year_4C_rcp85_ensemble-robustness
05358_Düren,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05362_Rhein-Erft-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05366_Euskirchen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05370_Heinsberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05374_Oberbergischer Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05378_Rheinisch-Bergischer Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05382_Rhein-Sieg-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05512_Bottrop,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05513_Gelsenkirchen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05515_Münster,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05554_Borken,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05558_Coesfeld,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05562_Recklinghausen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05566_Steinfurt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05570_Warendorf,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05711_Bielefeld,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05754_Gütersloh,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05758_Herford,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05762_Höxter,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05766_Lippe,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05770_Minden-Lübbecke,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05774_Paderborn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05911_Bochum,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05913_Dortmund,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05914_Hagen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05915_Hamm,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05916_Herne,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05954_Ennepe-Ruhr-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05958_Hochsauerlandkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05962_Märkischer Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05966_Olpe,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05970_Siegen-Wittgenstein,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05974_Soest,FD,year,days_with_air_temperature_below_threshold,days,7,-2
05978_Unna,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06411_Darmstadt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06412_Frankfurt am Main,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06413_Offenbach am Main,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06414_Wiesbaden,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06431_Bergstraße,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06432_Darmstadt-Dieburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06433_Groß-Gerau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06434_Hochtaunuskreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06435_Main-Kinzig-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
