region,FD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05122_Solingen,-69.760986328125,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-70.95738220214844,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-72.513671875,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-68.30085754394531,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-65.75889587402344,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-70.34019470214844,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-70.79197692871094,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-64.69062805175781,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-62.30344009399414,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-65.93174743652344,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-67.84768676757812,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-69.4427261352539,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-66.21210479736328,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-67.36756134033203,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-70.20217895507812,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-69.55683135986328,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-69.84321594238281,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-68.455078125,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-63.76703643798828,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-61.67169189453125,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-74.30317687988281,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-72.68608856201172,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-72.52061462402344,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-66.15283966064453,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-74.74629211425781,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-73.740234375,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-72.17503356933594,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-73.5565414428711,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-74.05758666992188,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-73.34796142578125,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-73.2834701538086,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-74.85362243652344,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-71.89183807373047,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-65.9493408203125,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-64.26579284667969,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-70.31730651855469,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-72.81463623046875,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-61.93436050415039,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-70.01068878173828,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-71.06419372558594,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-68.54244995117188,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-72.27801513671875,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-73.56489562988281,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-71.07403564453125,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-68.51011657714844,FD,year,days_with_air_temperature_below_threshold,days,7
