region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05166_Viersen,-18.93722,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-19.312592,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-20.636442,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-19.101141,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-19.96588,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-22.144646,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-20.200027,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-19.107393,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-24.436657,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-18.52732,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-24.582705,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-21.879673,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-21.90358,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-18.799757,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-18.534935,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-20.64626,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-20.413212,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-20.502905,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-19.507708,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-21.088263,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-20.632763,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-22.02203,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-21.388979,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-22.041765,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-25.055876,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-23.617027,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-21.79194,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-23.639334,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-19.53781,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-19.510792,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-22.943462,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-19.871237,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-18.669054,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-22.246052,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-26.742418,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-25.02547,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-26.726025,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-27.178247,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-22.14798,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-20.02786,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-21.011196,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-21.796642,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-21.240858,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-22.962687,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-22.036371,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-21.570032,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-21.157038,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-24.567581,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-24.355028,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-22.82994,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-23.845526,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-21.06402,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-24.247478,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-23.832397,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-24.47416,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-25.684185,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-24.581387,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-25.761543,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-25.77155,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-25.576504,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-26.139696,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-25.702751,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-25.688726,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-25.631302,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-26.840437,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-26.128048,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-22.715178,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-24.307255,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-25.027761,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-23.38459,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-24.619133,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-23.898674,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-23.477001,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-23.226984,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-24.474314,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-24.137735,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-25.134626,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-22.475685,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-23.630045,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-24.852015,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-25.8907,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-23.055574,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-20.447319,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-22.844019,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-21.883865,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-20.363605,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-22.076864,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-21.663515,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-22.621597,FD,year,days_with_air_temperature_below_threshold,days,7
