region,FD_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-46.80976867675781,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-46.527427673339844,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-47.414398193359375,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-47.621925354003906,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-39.25474548339844,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-48.325927734375,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-35.69282531738281,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-42.88290023803711,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-46.485198974609375,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-45.71543502807617,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-43.84009552001953,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-48.20855712890625,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-44.0859375,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-48.10973358154297,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-44.37493133544922,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-44.37164306640625,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-43.690269470214844,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-46.57463455200195,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-46.183799743652344,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-53.74247741699219,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-55.29936218261719,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-47.25260925292969,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-50.15531539916992,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-43.63446044921875,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-44.274879455566406,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-42.96250915527344,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-41.81596755981445,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-46.265708923339844,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-46.313499450683594,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-50.75379943847656,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-43.82014083862305,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-41.71603012084961,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-44.099761962890625,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-45.78180694580078,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-40.64373016357422,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-46.993186950683594,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-48.072471618652344,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-47.81783676147461,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-43.522247314453125,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-44.64850616455078,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-46.061431884765625,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-43.49744415283203,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-47.732704162597656,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-42.70072937011719,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-41.1442756652832,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-33.015357971191406,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-41.071998596191406,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-42.27951431274414,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-32.2041015625,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-41.51661682128906,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-33.15831756591797,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-41.01469421386719,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-38.811279296875,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-38.236106872558594,FD,year,days_with_air_temperature_below_threshold,days,7
