region,FD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-23.05976676940918,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-23.45352554321289,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-25.36597442626953,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-25.186866760253906,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-16.64728546142578,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-27.313053131103516,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-13.577030181884766,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-16.597978591918945,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-22.718738555908203,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-22.215065002441406,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-19.76132583618164,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-25.977489471435547,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-20.183862686157227,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-26.967906951904297,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-23.551443099975586,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-24.932933807373047,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-24.75409698486328,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-26.666290283203125,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-26.49679183959961,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-35.014713287353516,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-38.8050537109375,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-29.090070724487305,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-31.910358428955078,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-24.186986923217773,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-24.806371688842773,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-24.124052047729492,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-22.01528549194336,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-26.567062377929688,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-26.900190353393555,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-30.73472023010254,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-21.53975486755371,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-21.646404266357422,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-25.105520248413086,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-25.174781799316406,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-20.363693237304688,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-26.563411712646484,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-28.079023361206055,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-28.02080726623535,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-22.68158531188965,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-24.10274887084961,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-24.91402816772461,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-23.464168548583984,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-28.19247055053711,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-22.90624237060547,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-22.583351135253906,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-14.151216506958008,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-20.89734649658203,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-22.562129974365234,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-14.067145347595215,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-20.51066780090332,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-15.990285873413086,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-20.689334869384766,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-18.26351547241211,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-18.524518966674805,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-17.57126235961914,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-18.517353057861328,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-22.05547332763672,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-20.796228408813477,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-20.748836517333984,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-19.522567749023438,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-18.984304428100586,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-21.547687530517578,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-17.335403442382812,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-15.654943466186523,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-15.09709644317627,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-16.00686264038086,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-15.51785659790039,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-16.584365844726562,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-16.49453353881836,FD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-14.169459342956543,FD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-24.49166488647461,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-20.192291259765625,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-22.026432037353516,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-15.435052871704102,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-17.285167694091797,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-16.218698501586914,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-16.284923553466797,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-16.199804306030273,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-19.606800079345703,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-15.92354679107666,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-16.826574325561523,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-25.474010467529297,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-19.18958282470703,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-15.932832717895508,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-31.77597999572754,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-14.509236335754395,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-27.398263931274414,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-21.09341812133789,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-21.539371490478516,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-14.296307563781738,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-14.407986640930176,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-18.981185913085938,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-18.097536087036133,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-18.23544692993164,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-17.325851440429688,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-19.583087921142578,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-18.877168655395508,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-21.731212615966797,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-19.541885375976562,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-21.827268600463867,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-29.523761749267578,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-26.392419815063477,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-22.230083465576172,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-26.221208572387695,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-16.763439178466797,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-17.929088592529297,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-24.49399185180664,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-17.171852111816406,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-14.603242874145508,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-22.17605972290039,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-37.86231231689453,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-30.108015060424805,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-36.052276611328125,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-40.02857208251953,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-23.868892669677734,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-19.674785614013672,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-25.02119255065918,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-24.687551498413086,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-23.29325294494629,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-25.30324935913086,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-25.179996490478516,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-26.195178985595703,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-22.47689437866211,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-31.87441062927246,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-32.58711242675781,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-24.561298370361328,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-32.18919372558594,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-24.43527603149414,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-27.347606658935547,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-28.814495086669922,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-29.49268341064453,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-34.24212646484375,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-29.950153350830078,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-34.89961242675781,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-38.121421813964844,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-33.092506408691406,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-41.51565933227539,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-34.45882797241211,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-32.53699493408203,FD,year,days_with_air_temperature_below_threshold,days,7
