region,FD_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-18.943418502807617,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-17.410598754882812,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-18.824270248413086,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-18.84639549255371,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-13.965481758117676,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-20.04126739501953,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-11.396384239196777,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-13.927289962768555,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-18.27947425842285,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-18.10143280029297,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-16.508583068847656,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-19.116960525512695,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-16.591449737548828,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-19.161026000976562,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-17.070247650146484,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-18.795480728149414,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-18.46548080444336,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-19.327373504638672,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-20.021963119506836,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-25.04117202758789,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-26.706775665283203,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-20.77139663696289,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-23.002681732177734,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-17.97747230529785,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-19.08683204650879,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-17.535484313964844,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-17.233604431152344,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-20.439746856689453,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-19.239683151245117,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-22.189777374267578,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-17.085756301879883,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-17.23120880126953,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-18.063440322875977,FD,year,days_with_air_temperature_below_threshold,days,7
