region,FD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-40.85722732543945,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-40.75380325317383,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-38.66945266723633,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-37.380393981933594,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-34.477088928222656,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-36.01933670043945,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-32.65210723876953,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-38.50790023803711,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-41.07225799560547,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-38.6975212097168,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-38.595760345458984,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-36.75534439086914,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-36.51074981689453,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-36.30659103393555,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-35.51015853881836,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-34.406654357910156,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-35.07538604736328,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-34.317893981933594,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-34.46321105957031,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-37.219635009765625,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-37.53893280029297,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-34.402427673339844,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-36.698448181152344,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-34.593963623046875,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-34.907798767089844,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-34.67539978027344,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-34.813323974609375,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-35.823570251464844,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-35.780433654785156,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-37.088478088378906,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-36.26469039916992,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-34.88505554199219,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-35.65410232543945,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-34.66144561767578,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-35.051483154296875,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-35.48366928100586,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-34.84314727783203,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-35.46794509887695,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-35.43949890136719,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-35.03474807739258,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-34.683265686035156,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-35.7890510559082,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-34.88591766357422,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-34.781211853027344,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-35.213890075683594,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-33.5430908203125,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-36.52135467529297,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-35.45102310180664,FD,year,days_with_air_temperature_below_threshold,days,7
