region,FD_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-37.41556,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-38.194523,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-38.286713,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-38.27065,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-32.494457,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-38.76402,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-29.846407,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-36.13447,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-38.43391,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-37.494125,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-36.46351,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-38.654984,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-36.141056,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-38.482033,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-36.27445,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-35.661026,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-35.400806,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-37.075417,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-37.48887,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-41.692314,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-42.579174,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-37.520798,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-40.28959,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-35.41621,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-36.211773,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-35.380768,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-34.69393,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-37.60752,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-37.213512,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-39.748703,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-36.364178,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-34.62592,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-35.69716,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-37.342644,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-34.329273,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-37.69902,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-38.44727,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-38.0641,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-35.477306,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-36.489162,FD,year,days_with_air_temperature_below_threshold,days,7
