region,FD_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-60.75722122192383,FD,year,days_with_air_temperature_below_threshold,days,7
01002_Kiel,-62.479400634765625,FD,year,days_with_air_temperature_below_threshold,days,7
01003_Lübeck,-62.245887756347656,FD,year,days_with_air_temperature_below_threshold,days,7
01004_Neumünster,-62.14551544189453,FD,year,days_with_air_temperature_below_threshold,days,7
01051_Dithmarschen,-55.860111236572266,FD,year,days_with_air_temperature_below_threshold,days,7
01053_Herzogtum Lauenburg,-60.153350830078125,FD,year,days_with_air_temperature_below_threshold,days,7
01054_Nordfriesland,-52.12471389770508,FD,year,days_with_air_temperature_below_threshold,days,7
01055_Ostholstein,-60.693702697753906,FD,year,days_with_air_temperature_below_threshold,days,7
01057_Plön,-62.15980529785156,FD,year,days_with_air_temperature_below_threshold,days,7
01058_Rendsburg-Eckernförde,-60.766639709472656,FD,year,days_with_air_temperature_below_threshold,days,7
01059_Schleswig-Flensburg,-59.694557189941406,FD,year,days_with_air_temperature_below_threshold,days,7
01060_Segeberg,-61.69184112548828,FD,year,days_with_air_temperature_below_threshold,days,7
01061_Steinburg,-61.75257873535156,FD,year,days_with_air_temperature_below_threshold,days,7
01062_Stormarn,-61.003509521484375,FD,year,days_with_air_temperature_below_threshold,days,7
02000_Hamburg,-60.47907257080078,FD,year,days_with_air_temperature_below_threshold,days,7
03101_Braunschweig,-58.856101989746094,FD,year,days_with_air_temperature_below_threshold,days,7
03102_Salzgitter,-59.52838897705078,FD,year,days_with_air_temperature_below_threshold,days,7
03103_Wolfsburg,-58.410797119140625,FD,year,days_with_air_temperature_below_threshold,days,7
03151_Gifhorn,-58.907936096191406,FD,year,days_with_air_temperature_below_threshold,days,7
03159_Göttingen,-58.55896759033203,FD,year,days_with_air_temperature_below_threshold,days,7
03153_Goslar,-58.96186828613281,FD,year,days_with_air_temperature_below_threshold,days,7
03154_Helmstedt,-58.885894775390625,FD,year,days_with_air_temperature_below_threshold,days,7
03155_Northeim,-57.59534454345703,FD,year,days_with_air_temperature_below_threshold,days,7
03157_Peine,-59.06616973876953,FD,year,days_with_air_temperature_below_threshold,days,7
03158_Wolfenbüttel,-59.287925720214844,FD,year,days_with_air_temperature_below_threshold,days,7
03241_Region Hannover,-58.42793273925781,FD,year,days_with_air_temperature_below_threshold,days,7
03251_Diepholz,-58.75242614746094,FD,year,days_with_air_temperature_below_threshold,days,7
03252_Hameln-Pyrmont,-58.174110412597656,FD,year,days_with_air_temperature_below_threshold,days,7
03254_Hildesheim,-58.966949462890625,FD,year,days_with_air_temperature_below_threshold,days,7
03255_Holzminden,-57.83091354370117,FD,year,days_with_air_temperature_below_threshold,days,7
01056_Pinneberg,-61.457000732421875,FD,year,days_with_air_temperature_below_threshold,days,7
03256_Nienburg (Weser),-58.508636474609375,FD,year,days_with_air_temperature_below_threshold,days,7
03257_Schaumburg,-58.67906188964844,FD,year,days_with_air_temperature_below_threshold,days,7
03351_Celle,-58.73081970214844,FD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-58.65478515625,FD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-60.19829559326172,FD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-59.09165573120117,FD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-59.73748016357422,FD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-60.38330841064453,FD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-59.87953186035156,FD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-58.51624298095703,FD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-60.80497741699219,FD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-59.629966735839844,FD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-58.99351501464844,FD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-58.780555725097656,FD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-52.54655075073242,FD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-60.364707946777344,FD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-58.704750061035156,FD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-54.261844635009766,FD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-61.27686309814453,FD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-56.39420700073242,FD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-59.66239929199219,FD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-59.30988311767578,FD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-61.81306838989258,FD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-58.50358581542969,FD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-59.236610412597656,FD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-59.191062927246094,FD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-59.05842590332031,FD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-59.30529022216797,FD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-59.31145477294922,FD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-58.68595504760742,FD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-58.65424346923828,FD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-60.99229431152344,FD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-50.84342575073242,FD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-50.60144805908203,FD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-53.90998458862305,FD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-52.485836029052734,FD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-54.65633010864258,FD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-54.43220901489258,FD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-50.739112854003906,FD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-56.02234649658203,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-54.605403900146484,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-55.198768615722656,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-55.61121368408203,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-54.3226318359375,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-51.92355728149414,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-54.268150329589844,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-55.22492599487305,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-52.26507568359375,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-50.93732452392578,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-53.017723083496094,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-55.42853546142578,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-55.28419876098633,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-51.848236083984375,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-55.664817810058594,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-54.90767288208008,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-55.771507263183594,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-54.52522659301758,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-53.79125213623047,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-51.80913543701172,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-50.53046798706055,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-57.852725982666016,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-57.291133880615234,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-57.17582702636719,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-52.87347412109375,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-58.28425598144531,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-57.60694885253906,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-58.267303466796875,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-58.332794189453125,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-58.711936950683594,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-57.35852813720703,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-58.17884063720703,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-58.749305725097656,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-57.864349365234375,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-53.403011322021484,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-51.87852478027344,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-55.66766357421875,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-55.83392333984375,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-50.52259063720703,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-55.77252960205078,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-56.80695724487305,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-55.57091522216797,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-57.08124542236328,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-57.84210968017578,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-56.77345275878906,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-53.856170654296875,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-51.680450439453125,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-55.046783447265625,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-54.227386474609375,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-54.921173095703125,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-53.60008239746094,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-52.91201400756836,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-54.165184020996094,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-56.409088134765625,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-55.51335525512695,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-54.23345947265625,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-54.502201080322266,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-53.35044860839844,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-55.232696533203125,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-55.670570373535156,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-56.16527557373047,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-56.2978515625,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-55.679412841796875,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-57.9697151184082,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-56.9382209777832,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-58.36566925048828,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-57.31611251831055,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-57.39604187011719,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-58.430233001708984,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-57.65534973144531,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-58.97036361694336,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-58.932960510253906,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-55.11742401123047,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-55.53395080566406,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-55.771446228027344,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-55.15794372558594,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-53.862762451171875,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-54.10249328613281,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-55.204856872558594,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-55.571624755859375,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-54.12330627441406,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-54.592185974121094,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-55.99015808105469,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-54.24470520019531,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-53.94464111328125,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-54.1649169921875,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-55.53233337402344,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-54.303138732910156,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-53.9935302734375,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-52.52167510986328,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-53.280609130859375,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-53.80474090576172,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-54.813018798828125,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-53.09492874145508,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-52.918495178222656,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-52.45848846435547,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-53.13520050048828,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-54.01276397705078,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-54.01774978637695,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-52.844505310058594,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-53.978782653808594,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-52.724571228027344,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-53.05757141113281,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-54.09345245361328,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-53.128746032714844,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-53.3131103515625,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-55.096031188964844,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-52.85261535644531,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-53.31964111328125,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-54.41450500488281,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-55.24696350097656,FD,year,days_with_air_temperature_below_threshold,days,7
