region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05122_Solingen,-28.053176879882812,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-29.856170654296875,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-25.57086181640625,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-28.08429718017578,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-26.28292465209961,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-26.183109283447266,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-26.282955169677734,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-27.237091064453125,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-26.130882263183594,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-27.127033233642578,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-28.137653350830078,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-25.999610900878906,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-25.90103530883789,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-30.2789306640625,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-25.087215423583984,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-30.2547607421875,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-27.823287963867188,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-27.94715118408203,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-26.655250549316406,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-26.708770751953125,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-28.03185272216797,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-26.673728942871094,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-26.760784149169922,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-26.560165405273438,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-28.017498016357422,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-27.922454833984375,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-29.264263153076172,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-28.46349334716797,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-29.228599548339844,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-30.620376586914062,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-30.51435089111328,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-29.417179107666016,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-29.62720489501953,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-27.58017349243164,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-26.947101593017578,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-29.692073822021484,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-27.09455108642578,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-26.479503631591797,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-29.739376068115234,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-30.743614196777344,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-30.855560302734375,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-31.62060546875,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-31.650192260742188,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-28.98737335205078,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-27.43572235107422,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-29.538280487060547,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-30.186412811279297,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-29.240806579589844,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-30.218154907226562,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-29.33496856689453,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-29.37802505493164,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-29.064022064208984,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-31.82335662841797,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-30.951446533203125,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-29.785884857177734,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-31.136131286621094,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-29.287925720214844,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-30.54810333251953,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-30.77619171142578,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-31.369873046875,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-31.400680541992188,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-30.99188232421875,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-31.905906677246094,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-32.111968994140625,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-31.33000946044922,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-31.816436767578125,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-32.17115020751953,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-31.573165893554688,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-31.699302673339844,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-31.910430908203125,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-31.79461669921875,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-29.014793395996094,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-29.760902404785156,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-30.76934051513672,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-29.273571014404297,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-30.61071014404297,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-30.33209991455078,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-29.463932037353516,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-29.60363006591797,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-30.481956481933594,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-31.381080627441406,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-31.02051544189453,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-28.72488784790039,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-29.22522735595703,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-30.767662048339844,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-31.758140563964844,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-29.07630157470703,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-28.708946228027344,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-29.781265258789062,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-28.009838104248047,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-28.44286346435547,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-30.17214584350586,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-28.139720916748047,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-29.035018920898438,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-27.585647583007812,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-28.232589721679688,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-27.920169830322266,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-28.62923812866211,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-28.923606872558594,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-29.331920623779297,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-26.60186767578125,FD,year,days_with_air_temperature_below_threshold,days,7
