region,FD_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05122_Solingen,-31.50084114074707,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-33.96404266357422,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-28.354616165161133,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-30.492040634155273,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-27.77904510498047,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-27.337451934814453,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-28.583202362060547,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-30.180131912231445,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-28.75948715209961,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-30.401514053344727,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-33.54075622558594,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-29.572826385498047,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-28.268489837646484,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-38.213470458984375,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-27.260854721069336,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-38.7556037902832,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-33.34603500366211,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-32.673484802246094,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-28.10924530029297,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-27.840112686157227,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-31.455291748046875,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-30.522571563720703,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-31.096603393554688,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-29.16571044921875,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-31.646896362304688,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-30.648948669433594,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-33.41021728515625,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-32.53504943847656,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-33.434120178222656,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-39.23497772216797,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-36.03627395629883,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-32.49243927001953,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-36.16900634765625,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-28.216388702392578,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-29.0082950592041,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-34.65974044799805,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-28.757490158081055,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-27.832216262817383,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-33.602142333984375,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-43.080528259277344,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-39.57878875732422,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-42.66564178466797,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-43.12267303466797,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-32.79302978515625,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-29.553165435791016,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-33.42681121826172,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-34.26950454711914,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-33.372955322265625,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-36.508480072021484,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-34.45142364501953,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-33.80929946899414,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-33.88571548461914,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-39.79731750488281,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-39.628299713134766,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-35.902915954589844,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-37.43360900878906,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-33.70683288574219,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-39.2893180847168,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-37.88531494140625,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-39.59260559082031,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-41.066097259521484,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-39.9578857421875,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-41.956573486328125,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-41.23860168457031,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-40.824790954589844,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-41.732696533203125,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-40.87790298461914,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-40.77300262451172,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-41.50275421142578,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-42.88306427001953,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-42.21122741699219,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-34.85938262939453,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-37.68777847290039,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-38.84898376464844,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-37.8214111328125,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-39.05312728881836,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-37.95920181274414,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-36.76465606689453,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-35.980865478515625,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-38.586585998535156,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-38.065513610839844,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-39.931419372558594,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-34.98084259033203,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-37.274871826171875,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-39.70638656616211,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-41.93642807006836,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-36.40489959716797,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-31.427364349365234,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-36.396759033203125,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-34.7498779296875,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-31.194780349731445,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-34.85453414916992,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-34.42988586425781,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-35.615230560302734,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-31.542200088500977,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-31.925369262695312,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-34.39572525024414,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-34.48179626464844,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-35.23138427734375,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-35.325592041015625,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-30.809913635253906,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-36.45458221435547,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-36.97810745239258,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-34.2017707824707,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-31.737524032592773,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-35.57915496826172,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-36.16169357299805,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-34.746055603027344,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-37.74412155151367,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-37.0751953125,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-39.03437423706055,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-34.37737274169922,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-37.32660675048828,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-34.343955993652344,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-34.47615051269531,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-37.34043502807617,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-38.953487396240234,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-37.812259674072266,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-41.591400146484375,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-39.77880096435547,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-34.68510818481445,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-29.519733428955078,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-32.062259674072266,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-34.401588439941406,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-33.32745361328125,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-31.346630096435547,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-38.4685173034668,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-34.773956298828125,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-35.53925704956055,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-39.55598449707031,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-34.38014602661133,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-41.30034637451172,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-34.1152229309082,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-38.63425064086914,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-35.58287811279297,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-35.448577880859375,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-41.07016372680664,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-42.69075012207031,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-43.39387512207031,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-40.13713836669922,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-38.312232971191406,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-41.01663589477539,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-41.496639251708984,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-37.590965270996094,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-41.831260681152344,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-41.3282356262207,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-41.93380355834961,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-41.330650329589844,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-37.37770080566406,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-40.43846893310547,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-42.547035217285156,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-39.73307418823242,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-39.3239631652832,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-39.3460693359375,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-40.37340545654297,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-41.838531494140625,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-42.413719177246094,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-39.86282730102539,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-39.618717193603516,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-41.5330810546875,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-40.769676208496094,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-39.7562141418457,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-40.00811767578125,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-43.40288543701172,FD,year,days_with_air_temperature_below_threshold,days,7
