region,FD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05120_Remscheid,-7.480354309082031,FD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-5.667270660400391,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-6.095600128173828,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-3.291959762573242,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-3.8312339782714844,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-3.2219276428222656,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-3.1922664642333984,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-3.3950958251953125,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-4.850372314453125,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-3.111940383911133,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-3.7351951599121094,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-7.1375274658203125,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-5.591463088989258,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-4.069433212280273,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-10.642257690429688,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-3.598501205444336,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-8.176132202148438,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-5.567888259887695,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-5.264949798583984,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-2.6673831939697266,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-2.6728343963623047,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-3.687732696533203,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-4.329977035522461,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-3.9595184326171875,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-3.191774368286133,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-3.8974456787109375,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-3.542236328125,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-4.960353851318359,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-3.962505340576172,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-4.461647033691406,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-6.681556701660156,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-5.655296325683594,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-4.384468078613281,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-5.801059722900391,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-3.4103031158447266,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-3.054555892944336,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-6.454498291015625,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-3.7516212463378906,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-2.7097320556640625,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-5.683773040771484,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-11.525623321533203,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-8.364360809326172,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-10.186416625976562,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-12.26889419555664,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-4.942775726318359,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-3.532154083251953,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-5.876823425292969,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-5.165031433105469,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-4.634246826171875,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-7.237335205078125,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-7.223690032958984,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-6.1144866943359375,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-5.252902984619141,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-7.156787872314453,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-7.733406066894531,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-6.789073944091797,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-9.418987274169922,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-4.865318298339844,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-7.597309112548828,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-6.790355682373047,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-7.249214172363281,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-8.996147155761719,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-7.688362121582031,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-8.751964569091797,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-9.714130401611328,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-7.547992706298828,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-10.693119049072266,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-8.224777221679688,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-7.678958892822266,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-8.463138580322266,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-10.884838104248047,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-8.351009368896484,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-5.268154144287109,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-9.111194610595703,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-7.839637756347656,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-8.262020111083984,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-10.858348846435547,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-8.33554458618164,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-7.503795623779297,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-5.708709716796875,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-8.468318939208984,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-6.766284942626953,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-8.703948974609375,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-7.700675964355469,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-8.180778503417969,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-10.688961029052734,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-13.279998779296875,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-8.776485443115234,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-5.959083557128906,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-8.29330825805664,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-8.723628997802734,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-5.966701507568359,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-5.3089752197265625,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-7.975826263427734,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-8.903194427490234,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-6.563076019287109,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-6.1675567626953125,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-7.692848205566406,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-6.372276306152344,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-7.957691192626953,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-7.810283660888672,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-6.005340576171875,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-8.343711853027344,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-8.26430892944336,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-8.267601013183594,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-6.459808349609375,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-6.478099822998047,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-9.21649169921875,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-9.142471313476562,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-10.641006469726562,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-10.09572982788086,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-11.125717163085938,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-7.739227294921875,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-9.903553009033203,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-7.554912567138672,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-7.780830383300781,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-9.813789367675781,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-11.084583282470703,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-9.623329162597656,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-13.082481384277344,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-11.5362548828125,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-8.727191925048828,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-5.41956901550293,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-6.846199035644531,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-8.91973876953125,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-7.1629180908203125,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-5.042329788208008,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-10.311702728271484,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-7.660060882568359,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-9.732074737548828,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-13.867752075195312,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-9.206714630126953,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-15.126697540283203,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-8.288711547851562,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-12.014251708984375,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-9.610248565673828,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-9.197925567626953,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-15.295238494873047,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-16.10845947265625,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-15.436080932617188,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-12.518619537353516,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-12.148704528808594,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-14.58823013305664,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-14.600692749023438,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-11.691741943359375,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-14.917518615722656,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-13.289867401123047,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-13.886016845703125,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-12.647907257080078,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-8.482525825500488,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-13.626953125,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-15.108207702636719,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-9.644622802734375,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-9.862422943115234,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-11.503433227539062,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-8.07452392578125,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-13.175926208496094,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-14.315933227539062,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-10.452281951904297,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-10.571144104003906,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-11.186920166015625,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-9.174575805664062,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-9.50558090209961,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-11.529407501220703,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-13.48968505859375,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-12.432315826416016,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-13.795280456542969,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-9.45059585571289,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-10.711357116699219,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-9.616390228271484,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-9.349327087402344,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-12.2646484375,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-12.44437026977539,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-12.2064208984375,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-13.24093246459961,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-9.519325256347656,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-11.617973327636719,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-11.211647033691406,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-12.385520935058594,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-16.40155792236328,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-10.12057876586914,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-9.741260528564453,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-11.248584747314453,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-16.377037048339844,FD,year,days_with_air_temperature_below_threshold,days,7
