region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05122_Solingen,-15.838272094726562,FD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-16.343887329101562,FD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-14.200675964355469,FD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-14.992380142211914,FD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-13.422117233276367,FD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-13.655401229858398,FD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-14.27374267578125,FD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-14.75088882446289,FD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-14.056230545043945,FD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-14.86027717590332,FD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-16.492271423339844,FD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-14.436006546020508,FD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-13.65571403503418,FD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-17.503543853759766,FD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-12.976030349731445,FD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-18.34890365600586,FD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-16.121700286865234,FD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-16.02154541015625,FD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-14.006904602050781,FD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-13.506507873535156,FD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-15.27618408203125,FD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-15.069381713867188,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-15.385997772216797,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-14.98563003540039,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-15.548961639404297,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-15.442127227783203,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-16.33800506591797,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-16.25299072265625,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-16.35430908203125,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-18.473007202148438,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-17.437644958496094,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-16.523067474365234,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-17.24045181274414,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-14.171916961669922,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-14.286901473999023,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-16.823110580444336,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-14.805824279785156,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-13.957914352416992,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-16.55068016052246,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-19.110336303710938,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-18.477806091308594,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-19.150527954101562,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-19.038902282714844,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-16.0914306640625,FD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-14.881366729736328,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-15.202407836914062,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-15.11935043334961,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-14.859691619873047,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-16.07373809814453,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-16.268400192260742,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-15.699810028076172,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-15.021041870117188,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-17.768165588378906,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-17.36541748046875,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-15.926025390625,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-16.970531463623047,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-15.330390930175781,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-17.26357650756836,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-17.20703887939453,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-17.50726318359375,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-18.56954574584961,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-17.843170166015625,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-18.46509552001953,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-18.801254272460938,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-18.148208618164062,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-18.671142578125,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-18.770652770996094,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-18.78949737548828,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-18.678306579589844,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-19.093093872070312,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-18.73943328857422,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-16.739837646484375,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-17.45383071899414,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-18.12295150756836,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-16.944141387939453,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-17.6207275390625,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-17.39299774169922,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-17.049118041992188,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-16.842422485351562,FD,year,days_with_air_temperature_below_threshold,days,7
