region,SU35_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.157124,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.12243326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.27336776,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.2735349,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.47428218,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,0.46280393,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.32705235,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.4015493,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.27832058,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,0.6496064,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.13480225,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.21635665,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,0.52276164,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.250633,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.28468224,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.15803382,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,0.4580919,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.39571324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,0.56019217,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,0.6316836,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.9419982,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,1.0042025,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.72713035,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,0.87661624,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,0.9503043,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,0.9616348,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,0.9574325,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.3471066,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,0.9301651,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,0.6395182,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,0.9820292,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,0.88848203,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,0.5661988,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,0.91865325,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,0.7283196,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,0.6498328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,0.74820524,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,0.57845527,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),0.85320926,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,0.7271407,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,0.9064999,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.40943557,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,0.66939807,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,0.97515917,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,0.81693625,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,0.5637452,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),0.6205734,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,0.7675215,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,0.49054927,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,0.83489686,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,0.72706294,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.62834114,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,0.65417784,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_03452_03457_Region_um_Emden,0.31394604,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,0.25780395,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.50270694,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),0.5248,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_03459_05566_Region_um_Osnabrück,0.76199305,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,0.68936574,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_03455_Region_um_Wilhelmshaven,0.27909786,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.18422958,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,0.46350345,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,0.25637868,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,0.5842844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,0.62361896,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,0.29581016,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,0.7176679,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,0.39037126,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,0.6044136,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,0.7196648,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,0.7006559,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,0.4063775,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
