region,SU35_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.22073721885681152,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,-0.21217119693756104,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,-0.15505029261112213,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,-0.15991118550300598,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.1348656713962555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,-0.12037751078605652,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.1580028384923935,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,-0.22414293885231018,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,-0.20618171989917755,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,-0.14161919057369232,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,-0.1422855406999588,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,-0.15301549434661865,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,-0.1746388077735901,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,-0.19645237922668457,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,-0.16900645196437836,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,-0.22096189856529236,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,-0.16146515309810638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,-0.17709293961524963,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,-0.20015591382980347,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,-0.1806594729423523,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.36473241448402405,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,-0.3724336326122284,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.31499266624450684,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,-0.3685149550437927,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,-0.368191123008728,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,-0.43067389726638794,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,-0.35620036721229553,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,-0.17354047298431396,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,-0.37686264514923096,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,-0.25905412435531616,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,-0.3680519163608551,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,-0.34743914008140564,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,-0.25662961602211,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
