region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
03405_03455_Region_um_Wilhelmshaven,1.2993499040603638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.8844271302223206,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,2.1116411685943604,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,1.1629317998886108,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,2.564668655395508,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,2.4454407691955566,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,1.4233733415603638,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,2.5385665893554688,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,1.8097411394119263,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,2.5836434364318848,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,2.586820602416992,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,2.761085033416748,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,1.7029013633728027,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,1.271354079246521,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,2.4595274925231934,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,2.6548614501953125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_03352_03461_Region_um_Bremerhaven,1.956146240234375,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,2.0914225578308105,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_05162_05158_05112_Region_um_Düsseldorf,3.4139301776885986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,3.7272682189941406,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,3.2836055755615234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,3.86909556388855,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,3.109327554702759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,2.970707416534424,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_05112_05162_05166_05170_Region_um_Krefeld,3.3026158809661865,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,3.502004623413086,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_05370_05166_05162_Region_um_Mönchengladbach,3.024129867553711,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,2.9377193450927734,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,3.1906232833862305,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,2.9541521072387695,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,3.3017053604125977,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,3.776805877685547,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_05124_05122_05378_05374_Region_um_Remscheid,1.7816650867462158,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,1.4073673486709595,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_05158_05124_05378_05120_Region_um_Solingen,2.3063154220581055,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,2.229679822921753,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.873559594154358,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,1.7962939739227295,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,2.8477370738983154,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,2.859158515930176,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,3.5045504570007324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,3.018122673034668,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,3.191230535507202,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_05382_Region_um_Bonn,2.8166465759277344,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,3.2155935764312744,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,3.963123083114624,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_05315_05378_05158_Region_um_Leverkusen,2.978757858276367,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,3.881392002105713,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,1.4511529207229614,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,2.3074281215667725,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,3.4108264446258545,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,1.3083436489105225,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,2.7763376235961914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,1.541212558746338,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,2.3651790618896484,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,2.784694194793701,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,3.3982956409454346,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,3.76348876953125,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,3.5249507427215576,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,4.016141414642334,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_05566_05558_05570_Region_um_Münster,2.8706350326538086,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,3.0837860107421875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,2.866171360015869,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,2.9711005687713623,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,3.6291072368621826,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,2.704988718032837,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,3.154235601425171,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_05754_05758_05766_Region_um_Bielefeld,2.6412391662597656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,3.0385019779205322,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,3.0738229751586914,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,2.5173535346984863,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,2.303511142730713,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,2.369199275970459,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,3.058072328567505,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,2.106938600540161,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,3.173476219177246,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,3.0589089393615723,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,3.0660974979400635,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,3.566409111022949,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,2.0895462036132812,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,1.6972734928131104,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,2.776735782623291,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,3.146515369415283,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_05513_05562_05911_Region_um_Herne,3.610783815383911,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,3.9852824211120605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,1.860630989074707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.9621222019195557,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,1.2981200218200684,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.9865307807922363,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,1.045881986618042,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,2.21486234664917,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,3.2425711154937744,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_06432_06438_Region_um_Darmstadt,5.404850006103516,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,5.599612712860107,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,4.198915481567383,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,5.039116859436035,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,4.172890663146973,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,5.486300468444824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,4.4250383377075195,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,4.069549560546875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,5.244725227355957,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,5.1716108322143555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,5.986124515533447,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,3.3495843410491943,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,3.5806822776794434,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,4.103331089019775,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,4.332926273345947,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,3.767080307006836,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,4.55699348449707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,5.785531044006348,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,3.2011756896972656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,3.995084762573242,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,3.383659839630127,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,2.322963237762451,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,3.1374292373657227,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,2.6774423122406006,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,2.2820889949798584,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_06633_03159_Region_um_Kassel,2.4231557846069336,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,2.5102367401123047,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
