region,SU35_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.4252928,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01001_Flensburg,0.36340824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_01057_01058_Region_um_Kiel,0.66442615,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,0.6653323,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_13074_01055_01053_01062_Region_um_Lübeck,1.0688999,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,1.0585713,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.7791667,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,0.94784635,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,0.66029733,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,1.4280465,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,0.3675844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,0.526437,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,1.2061788,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,0.6054864,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,0.6937326,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,0.42691588,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,1.0586679,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,0.9272602,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,1.271172,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,1.4442643,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,2.0817986,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,2.2000444,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,1.6918321,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,1.998555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_03154_03151_Region_um_Wolfsburg,2.0840476,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,2.1184185,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,2.09308,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,0.9385534,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,2.0523417,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,1.5759252,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,2.1617022,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,2.010029,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,1.4368784,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,2.040528,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,1.6836234,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,1.55921,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,1.7548331,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,1.427399,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),1.9117072,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,1.6958196,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,1.97981,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,0.9672861,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,1.4945221,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,2.0657423,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,1.7551777,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,1.334474,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),1.4093087,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,1.7110789,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
